Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
CABO DELGADO,MOCIMBOA DA PRAIA,M. PRAIA SEDE ,VILA SEDE ,EP1 DE  PANDIQUE,0207301 .,800,219,12,370,601,14,15,630,170
CABO DELGADO,MOCIMBOA DA PRAIA,M. PRAIA SEDE ,VILA SEDE ,EP1 DE  PANDIQUE,0207302 .,800,254,6,323,583,12,11,606,194
CABO DELGADO,MOCIMBOA DA PRAIA,M. PRAIA SEDE ,VILA SEDE ,EP1 DE  PANDIQUE,0207303 .,800,300,10,297,607,17,10,634,166
CABO DELGADO,MOCIMBOA DA PRAIA,M. PRAIA SEDE ,VILA SEDE ,EP1 DE  PANDIQUE,0207304 .,800,265,9,294,568,9,10,587,213
CABO DELGADO,MOCIMBOA DA PRAIA,M. PRAIA SEDE ,VILA SEDE ,EP1 DE  PANDIQUE,0207305 .,800,254,11,263,528,26,17,571,229
CABO DELGADO,MOCIMBOA DA PRAIA,M. PRAIA SEDE ,VILA SEDE ,EP1 DE  PANDIQUE,0207306 .,800,216,12,288,516,24,21,561,239
CABO DELGADO,MOCIMBOA DA PRAIA,M. PRAIA SEDE ,VILA SEDE ,EP1 DE  PANDIQUE,0207307 .,800,261,13,276,550,23,11,584,216
CABO DELGADO,MOCIMBOA DA PRAIA,M. PRAIA SEDE ,VILA SEDE ,EP1 DE  PANDIQUE,0207308 .,800,255,14,241,510,21,8,539,261
CABO DELGADO,MOCIMBOA DA PRAIA,M. PRAIA SEDE ,VILA SEDE ,EP1 DE  PANDIQUE,0207309 .,624,173,10,168,351,11,10,372,252
CABO DELGADO,MOCIMBOA DA PRAIA,M. PRAIA SEDE ,VILA SEDE ,EPC 30 DE JUNHO,0220801 .,800,510,8,33,551,23,42,616,184
CABO DELGADO,MOCIMBOA DA PRAIA,M. PRAIA SEDE ,VILA SEDE ,EPC 30 DE JUNHO,0220802 .,800,543,7,27,577,31,9,617,183
CABO DELGADO,MOCIMBOA DA PRAIA,M. PRAIA SEDE ,VILA SEDE ,EPC 30 DE JUNHO,0220803 .,800,496,6,36,538,20,23,581,219
CABO DELGADO,MOCIMBOA DA PRAIA,M. PRAIA SEDE ,VILA SEDE ,EPC 30 DE JUNHO,0220804 .,800,533,11,45,589,18,4,611,189
CABO DELGADO,MOCIMBOA DA PRAIA,M. PRAIA SEDE ,VILA SEDE ,EPC 30 DE JUNHO,0220805 .,800,506,9,27,542,19,18,579,221
CABO DELGADO,MOCIMBOA DA PRAIA,M. PRAIA SEDE ,VILA SEDE ,EPC 30 DE JUNHO,0220806 .,800,459,12,50,521,36,33,590,210
CABO DELGADO,MOCIMBOA DA PRAIA,M. PRAIA SEDE ,VILA SEDE ,EPC 30 DE JUNHO,0220807 .,800,471,9,29,509,28,26,563,237
CABO DELGADO,MOCIMBOA DA PRAIA,M. PRAIA SEDE ,VILA SEDE ,EPC 30 DE JUNHO,0220808A .,400,192,3,25,220,12,5,237,163
CABO DELGADO,MOCIMBOA DA PRAIA,M. PRAIA SEDE ,VILA SEDE ,EPC 30 DE JUNHO,0220808B .,526,257,5,28,290,16,7,313,213
CABO DELGADO,MOCIMBOA DA PRAIA,M. PRAIA SEDE ,VILA SEDE ,EPC DO 3°  CONGRESSO,0206801 .,800,285,14,267,566,15,8,589,211
CABO DELGADO,MOCIMBOA DA PRAIA,M. PRAIA SEDE ,VILA SEDE ,EPC DO 3°  CONGRESSO,0206802 .,800,265,13,275,553,16,14,583,217
CABO DELGADO,MOCIMBOA DA PRAIA,M. PRAIA SEDE ,VILA SEDE ,EPC DO 3°  CONGRESSO,0206803 .,800,236,16,231,483,10,12,505,295
CABO DELGADO,MOCIMBOA DA PRAIA,M. PRAIA SEDE ,VILA SEDE ,EPC DO 3°  CONGRESSO,0206804 .,800,314,7,207,528,7,5,540,260
CABO DELGADO,MOCIMBOA DA PRAIA,M. PRAIA SEDE ,VILA SEDE ,EPC DO 3°  CONGRESSO,0206805 .,800,313,7,225,545,19,16,580,220
CABO DELGADO,MOCIMBOA DA PRAIA,M. PRAIA SEDE ,VILA SEDE ,EPC DO 3°  CONGRESSO,0206806 .,800,256,12,231,499,13,11,523,277
CABO DELGADO,MOCIMBOA DA PRAIA,M. PRAIA SEDE ,VILA SEDE ,EPC DO 3°  CONGRESSO,0206807 .,800,239,7,180,426,14,21,461,339
