Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,EP1 PITIMPINI,0211203 .,800,145,14,125,284,17,5,306,494
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,EP1 PITIMPINI,0211204 .,558,53,9,93,155,6,6,167,391
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,EPC MATUNDA,0211003 .,800,167,11,193,371,19,5,395,405
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,EPC MATUNDA,0211004 .,800,104,8,193,305,20,10,335,465
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,EPC MATUNDA,0211005A .,400,46,10,76,132,8,9,149,251
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,EPC MATUNDA,0211005B .,581,60,8,135,203,4,7,214,367
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,EPC MATUTO,0202101 .,800,330,12,119,461,27,24,512,288
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,EPC MATUTO,0202102 .,800,267,10,136,413,21,16,450,350
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,EPC MATUTO,0202103 .,800,272,12,136,420,9,15,444,356
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,EPC MATUTO,0202104 .,800,176,9,143,328,19,9,356,444
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,EPC MATUTO,0202105 .,800,172,13,132,317,15,4,336,464
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,EPC MATUTO,0202106 .,800,213,18,145,376,6,15,397,403
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,EPC MATUTO,0202107 .,800,199,8,151,358,7,5,370,430
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,EPC MATUTO,0202108 .,348,76,10,78,164,4,4,172,176
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,EPC MIRIGE,0218201 .,800,245,15,149,409,21,22,452,348
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,EPC MIRIGE,0218202 .,800,178,17,146,341,28,16,385,415
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,EPC MIRIGE,0218203 .,800,191,15,135,341,24,9,374,426
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,EPC MIRIGE,0218204 .,800,168,9,162,339,11,11,361,439
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,EPC MIRIGE,0218205 .,800,163,9,133,305,7,6,318,482
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,EPC MIRIGE,0218206 .,800,145,14,109,268,12,10,290,510
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,EPC MIRIGE,0218207 .,800,133,20,143,296,9,11,316,484
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,EPC MIRIGE,0218208 .,800,138,9,158,305,5,8,318,482
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,EPC MIRIGE,0218209 .,468,67,6,92,165,3,2,170,298
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,EPC NACATE,0209401 .,800,212,22,209,443,16,23,482,318
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,EPC NACATE,0209402 .,800,183,25,160,368,33,19,420,380
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,EPC NACATE,0209403 .,800,201,17,212,430,12,17,459,341
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,EPC NACATE,0209404 .,800,193,15,221,429,15,11,455,345
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,EPC NACATE,0209405 .,800,184,16,206,406,13,11,430,370
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,EPC NACATE,0209406 .,800,160,16,207,383,3,17,403,397
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,EPC NACATE,0209407 .,800,139,9,222,370,5,13,388,412
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,EPC NACATE,0209408A .,400,62,9,86,157,7,4,168,232
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,EPC NACATE,0209408B .,499,71,8,93,172,3,8,183,316
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,EPC NAPAI,0212301 .,800,259,18,170,447,28,22,497,303
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,EPC NAPAI,0212302 .,800,214,20,152,386,30,11,427,373
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,EPC NAPAI,0212303 .,800,166,26,178,370,26,11,407,393
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,EPC NAPAI,0212304 .,800,160,17,150,327,22,19,368,432
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,EPC NAPAI,0212305 .,800,153,21,131,305,11,9,325,475
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,EPC NAPAI,0212306 .,800,150,21,119,290,8,13,311,489
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,EPC NAPAI,0212307A .,400,52,10,65,127,6,3,136,264
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,EPC NAPAI,0212307B .,443,61,8,88,157,7,6,170,273
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,EPC NIUHULA,0210601 .,800,268,15,149,432,30,21,483,317
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,EPC NIUHULA,0210602 .,800,194,15,144,353,15,13,381,419
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,EPC NIUHULA,0210603 .,800,197,14,151,362,8,15,385,415
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,EPC NIUHULA,0210604 .,800,227,14,140,381,11,12,404,396
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,EPC NIUHULA,0210605 .,800,259,15,124,398,15,14,427,373
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,EPC NIUHULA,0210606 .,800,172,6,163,341,19,27,387,413
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,EPC NIUHULA,0210607A .,400,70,9,76,155,6,9,170,230
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,EPC NIUHULA,0210607B .,504,106,5,83,194,4,9,207,297
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,EPC SEBASTIÃO M. MABOTE (MATUTO 4),0206903 .,800,271,16,192,479,8,10,497,303
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,EPC SEBASTIÃO M. MABOTE (MATUTO 4),0206904 .,800,232,22,161,415,18,7,440,360
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,EPC SEBASTIÃO M. MABOTE (MATUTO 4),0206905 .,800,196,21,150,367,18,10,395,405
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,EPC SEBASTIÃO M. MABOTE (MATUTO 4),0206906 .,632,131,14,120,265,9,7,281,351
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,ESC. SECUND. DE MONTEPUEZ,0204201 .,800,278,16,199,493,13,15,521,279
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,ESC. SECUND. DE MONTEPUEZ,0204202 .,800,205,18,186,409,11,9,429,371
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,ESC. SECUND. DE MONTEPUEZ,0204203 .,800,218,21,184,423,9,13,445,355
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,ESC. SECUND. DE MONTEPUEZ,0204204 .,800,208,16,188,412,3,17,432,368
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,ESC. SECUND. DE MONTEPUEZ,0204205 .,800,174,16,184,374,9,4,387,413
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,ESC. SECUND. DE MONTEPUEZ,0204206 .,800,178,15,122,315,10,9,334,466
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,ESC. SECUND. DE MONTEPUEZ,0204207 .,800,191,11,168,370,6,24,400,400
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,ESC. SECUND. DE MONTEPUEZ,0204208 .,800,185,17,177,379,4,10,393,407
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,ESC. SECUND. DE MONTEPUEZ,0204209A .,400,94,7,89,190,4,4,198,202
CABO DELGADO,MONTEPUEZ,MONTEPUEZ CIDADE ,SEDE ,ESC. SECUND. DE MONTEPUEZ,0204209B .,438,90,13,97,200,1,3,204,234
CABO DELGADO,MONTEPUEZ,SEDE MONTEPUEZ ,MILAPANE ,EP1 MATICO,0218503 .,800,208,23,133,364,22,12,398,402
CABO DELGADO,MONTEPUEZ,SEDE MONTEPUEZ ,MILAPANE ,EP1 MATICO,0218504 .,309,78,5,32,115,8,2,125,184
CABO DELGADO,MONTEPUEZ,SEDE MONTEPUEZ ,MILAPANE ,EP1 MAVIHA,0201205 .,642,293,10,51,354,33,11,398,244
CABO DELGADO,MONTEPUEZ,SEDE MONTEPUEZ ,MILAPANE ,EP1 MELAPANE,0218501 .,800,205,18,145,368,34,12,414,386
CABO DELGADO,MONTEPUEZ,SEDE MONTEPUEZ ,MILAPANE ,EP1 MELAPANE,0218502 .,299,51,5,52,108,6,1,115,184
CABO DELGADO,MONTEPUEZ,SEDE MONTEPUEZ ,MILAPANE ,EP1 NAMUETO,0206301 .,800,192,17,201,410,25,8,443,357
CABO DELGADO,MONTEPUEZ,SEDE MONTEPUEZ ,MILAPANE ,EP1 NAMUETO,0206302 .,800,163,15,155,333,10,12,355,445
CABO DELGADO,MONTEPUEZ,SEDE MONTEPUEZ ,MILAPANE ,EP1 NAMUETO,0206303 .,800,148,16,151,315,11,8,334,466
CABO DELGADO,MONTEPUEZ,SEDE MONTEPUEZ ,MILAPANE ,EP1 NAMUETO,0206304 .,800,95,10,157,262,9,4,275,525
CABO DELGADO,MONTEPUEZ,SEDE MONTEPUEZ ,MILAPANE ,EP1 NAMUETO,0206305A .,400,68,7,81,156,3,3,162,238
CABO DELGADO,MONTEPUEZ,SEDE MONTEPUEZ ,MILAPANE ,EP1 NAMUETO,0206305B .,585,59,7,87,153,9,6,168,417
CABO DELGADO,MONTEPUEZ,SEDE MONTEPUEZ ,MILAPANE ,EP1 NANCARAMO A,0218505 .,386,122,5,91,218,13,10,241,145
CABO DELGADO,MONTEPUEZ,SEDE MONTEPUEZ ,MILAPANE ,EPC NCORIPO,0208401 .,800,210,25,195,430,20,12,462,338
CABO DELGADO,MONTEPUEZ,SEDE MONTEPUEZ ,MILAPANE ,EPC NCORIPO,0208402 .,800,185,20,153,358,29,11,398,402
CABO DELGADO,MONTEPUEZ,SEDE MONTEPUEZ ,MILAPANE ,EPC NCORIPO,0208403 .,800,192,22,165,379,21,16,416,384
CABO DELGADO,MONTEPUEZ,SEDE MONTEPUEZ ,MILAPANE ,EPC NCORIPO,0208404 .,800,163,18,180,361,16,7,384,416
CABO DELGADO,MONTEPUEZ,SEDE MONTEPUEZ ,MILAPANE ,EPC NCORIPO,0208405 .,800,205,22,173,400,12,3,415,385
CABO DELGADO,MONTEPUEZ,SEDE MONTEPUEZ ,MILAPANE ,EPC NCORIPO,0208406A .,400,102,15,79,196,3,7,206,194
CABO DELGADO,MONTEPUEZ,SEDE MONTEPUEZ ,MILAPANE ,EPC NCORIPO,0208406B .,478,123,13,108,244,6,5,255,223
CABO DELGADO,MONTEPUEZ,SEDE MONTEPUEZ ,MILAPANE ,EPC NICUAPA,0206901 .,800,182,16,104,302,40,19,361,439
CABO DELGADO,MONTEPUEZ,SEDE MONTEPUEZ ,MILAPANE ,EPC NICUAPA,0206902 .,710,128,13,86,227,12,7,246,464
