Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
CABO DELGADO,MUEDA,MUEDA SEDE ,VILA DE MUEDA,EPC BAIRRO MAPUTO ,0210501 .,800,434,31,12,477,26,16,519,281
CABO DELGADO,MUEDA,MUEDA SEDE ,VILA DE MUEDA,EPC BAIRRO MAPUTO ,0210502 .,800,430,30,18,478,15,14,507,293
CABO DELGADO,MUEDA,MUEDA SEDE ,VILA DE MUEDA,EPC BAIRRO MAPUTO ,0210503 .,800,436,36,8,480,16,20,516,284
CABO DELGADO,MUEDA,MUEDA SEDE ,VILA DE MUEDA,EPC BAIRRO MAPUTO ,0210504 .,800,412,39,12,463,18,11,492,308
CABO DELGADO,MUEDA,MUEDA SEDE ,VILA DE MUEDA,EPC BAIRRO MAPUTO ,0210505 .,800,390,33,5,428,15,20,463,337
CABO DELGADO,MUEDA,MUEDA SEDE ,VILA DE MUEDA,EPC BAIRRO MAPUTO ,0210506 .,800,369,27,8,404,15,8,427,373
CABO DELGADO,MUEDA,MUEDA SEDE ,VILA DE MUEDA,EPC BAIRRO MAPUTO ,0210507 .,499,184,15,5,204,8,8,220,279
CABO DELGADO,MUEDA,MUEDA SEDE ,VILA DE MUEDA,EPC BAIRRO NTANDEDI,0207101 .,800,510,28,13,551,22,9,582,218
CABO DELGADO,MUEDA,MUEDA SEDE ,VILA DE MUEDA,EPC BAIRRO NTANDEDI,0207102 .,800,424,30,12,466,17,18,501,299
CABO DELGADO,MUEDA,MUEDA SEDE ,VILA DE MUEDA,EPC BAIRRO NTANDEDI,0207103 .,800,420,34,6,460,21,18,499,301
CABO DELGADO,MUEDA,MUEDA SEDE ,VILA DE MUEDA,EPC BAIRRO NTANDEDI,0207104 .,800,395,12,8,415,19,15,449,351
CABO DELGADO,MUEDA,MUEDA SEDE ,VILA DE MUEDA,EPC BAIRRO NTANDEDI,0207105 .,800,388,18,7,413,23,12,448,352
CABO DELGADO,MUEDA,MUEDA SEDE ,VILA DE MUEDA,EPC BAIRRO NTANDEDI,0207106 .,800,357,28,10,395,9,14,418,382
CABO DELGADO,MUEDA,MUEDA SEDE ,VILA DE MUEDA,EPC BAIRRO NTANDEDI,0207107 .,766,275,25,10,310,14,12,336,430
CABO DELGADO,MUEDA,MUEDA SEDE ,VILA DE MUEDA,EPC CHUDI,0215801 .,800,434,14,7,455,30,9,494,306
CABO DELGADO,MUEDA,MUEDA SEDE ,VILA DE MUEDA,EPC CHUDI,0215802 .,537,251,15,2,268,24,5,297,240
CABO DELGADO,MUEDA,MUEDA SEDE ,VILA DE MUEDA,EPC DA VILA,0201501 .,365,109,10,9,128,3,4,135,230
CABO DELGADO,MUEDA,MUEDA SEDE ,VILA DE MUEDA,EPC DA VILA,0215501 .,800,448,17,22,487,15,13,515,285
