Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,PAHUMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
CABO DELGADO,PEMBA,SEDE,SEDE,CASA PROV. CULTURA,0210201 .,800,394,24,150,1,569,14,6,589,211
CABO DELGADO,PEMBA,SEDE,SEDE,CASA PROV. CULTURA,0210202 .,800,330,19,172,4,525,23,11,559,241
CABO DELGADO,PEMBA,SEDE,SEDE,CASA PROV. CULTURA,0210203 .,800,307,18,182,6,513,8,12,533,267
CABO DELGADO,PEMBA,SEDE,SEDE,CASA PROV. CULTURA,0210204 .,800,310,24,166,2,502,9,10,521,279
CABO DELGADO,PEMBA,SEDE,SEDE,CASA PROV. CULTURA,0210205 .,800,274,18,185,0,477,10,8,495,305
CABO DELGADO,PEMBA,SEDE,SEDE,CASA PROV. CULTURA,0210206 .,800,252,7,207,2,468,7,5,480,320
CABO DELGADO,PEMBA,SEDE,SEDE,CASA PROV. CULTURA,0210207 .,800,284,19,181,1,485,8,9,502,298
CABO DELGADO,PEMBA,SEDE,SEDE,CASA PROV. CULTURA,0210208A  .,400,144,15,75,0,234,7,1,242,158
CABO DELGADO,PEMBA,SEDE,SEDE,CASA PROV. CULTURA,0210208B .,459,131,11,72,0,214,7,6,227,232
CABO DELGADO,PEMBA,SEDE,SEDE,CHIBUABUARE - UNIDADE G,0211501 .,777,113,17,183,2,315,3,6,324,453
CABO DELGADO,PEMBA,SEDE,SEDE,COLEGIO ANDALUCIA,0221801 .,800,361,16,187,4,568,14,23,605,195
CABO DELGADO,PEMBA,SEDE,SEDE,COLEGIO ANDALUCIA,0221802 .,800,310,17,206,4,537,15,14,566,234
CABO DELGADO,PEMBA,SEDE,SEDE,COLEGIO ANDALUCIA,0221803 .,800,317,17,174,1,509,8,9,526,274
CABO DELGADO,PEMBA,SEDE,SEDE,COLEGIO ANDALUCIA,0221804 .,800,299,21,186,1,507,2,18,527,273
CABO DELGADO,PEMBA,SEDE,SEDE,COLEGIO ANDALUCIA,0221805 .,800,304,10,173,0,487,6,12,505,295
CABO DELGADO,PEMBA,SEDE,SEDE,COLEGIO ANDALUCIA,0221806 .,800,269,19,195,0,483,10,8,501,299
CABO DELGADO,PEMBA,SEDE,SEDE,COLEGIO ANDALUCIA,0221807 .,285,75,7,79,1,162,0,5,167,118
CABO DELGADO,PEMBA,SEDE,SEDE,COLEGIO LICEAL,0221401 .,800,301,28,148,3,480,16,11,507,293
CABO DELGADO,PEMBA,SEDE,SEDE,COLEGIO LICEAL,0221402 .,800,251,23,161,4,439,13,16,468,332
CABO DELGADO,PEMBA,SEDE,SEDE,COLEGIO LICEAL,0221403 .,800,228,19,195,2,444,12,16,472,328
CABO DELGADO,PEMBA,SEDE,SEDE,COLEGIO LICEAL,0221404 .,800,230,18,169,3,420,15,16,451,349
CABO DELGADO,PEMBA,SEDE,SEDE,COLEGIO LICEAL,0221405 .,800,198,17,165,3,383,6,19,408,392
CABO DELGADO,PEMBA,SEDE,SEDE,COLEGIO LICEAL,0221406 .,800,227,24,187,1,439,14,12,465,335
CABO DELGADO,PEMBA,SEDE,SEDE,COLEGIO LICEAL,0221407 .,800,207,18,154,2,381,15,4,400,400
CABO DELGADO,PEMBA,SEDE,SEDE,COLEGIO LICEAL,0221408 .,783,147,26,166,6,345,8,8,361,422
CABO DELGADO,PEMBA,SEDE,SEDE,EPC DE ALTO GINGONE,0200401 .,800,281,22,152,3,458,17,23,498,302
CABO DELGADO,PEMBA,SEDE,SEDE,EPC DE ALTO GINGONE,0200402 .,800,268,13,190,1,472,16,5,493,307
CABO DELGADO,PEMBA,SEDE,SEDE,EPC DE ALTO GINGONE,0200403 .,800,287,11,170,2,470,9,11,490,310
CABO DELGADO,PEMBA,SEDE,SEDE,EPC DE ALTO GINGONE,0200404 .,800,271,24,151,3,449,22,11,482,318
CABO DELGADO,PEMBA,SEDE,SEDE,EPC DE ALTO GINGONE,0200405 .,800,261,18,168,5,452,13,10,475,325
CABO DELGADO,PEMBA,SEDE,SEDE,EPC DE ALTO GINGONE,0200406 .,800,226,22,158,5,411,7,14,432,368
CABO DELGADO,PEMBA,SEDE,SEDE,EPC DE ALTO GINGONE,0200407 .,800,218,14,156,4,392,8,19,419,381
CABO DELGADO,PEMBA,SEDE,SEDE,EPC DE ALTO GINGONE,0200408 .,800,218,19,171,6,414,4,5,423,377
CABO DELGADO,PEMBA,SEDE,SEDE,EPC DE ALTO GINGONE,0200409 .,545,120,12,125,3,260,8,4,272,273
CABO DELGADO,PEMBA,SEDE,SEDE,EPC DE CARIACÓ,0211901 .,800,328,15,167,3,513,9,19,541,259
CABO DELGADO,PEMBA,SEDE,SEDE,EPC DE CARIACÓ,0211902 .,800,292,18,165,3,478,5,10,493,307
CABO DELGADO,PEMBA,SEDE,SEDE,EPC DE CARIACÓ,0211903 .,800,259,12,176,3,450,12,15,477,323
CABO DELGADO,PEMBA,SEDE,SEDE,EPC DE CARIACÓ,0211904 .,800,242,10,168,2,422,7,9,438,362
CABO DELGADO,PEMBA,SEDE,SEDE,EPC DE CARIACÓ,0211905 .,800,200,10,148,3,361,8,11,380,420
CABO DELGADO,PEMBA,SEDE,SEDE,EPC DE CARIACÓ,0211906 .,800,181,15,171,5,372,9,11,392,408
CABO DELGADO,PEMBA,SEDE,SEDE,EPC DE CARIACÓ,0211907 .,800,209,12,166,3,390,5,18,413,387
CABO DELGADO,PEMBA,SEDE,SEDE,EPC DE CARIACÓ,0211908 .,800,236,28,150,3,417,3,6,426,374
CABO DELGADO,PEMBA,SEDE,SEDE,EPC DE CARIACÓ,0211909A .,400,104,4,67,0,175,2,2,179,221
CABO DELGADO,PEMBA,SEDE,SEDE,EPC DE CARIACÓ,0211909B .,584,138,8,116,0,262,4,11,277,307
CABO DELGADO,PEMBA,SEDE,SEDE,EPC DE CHUIBA,0221201 .,800,203,89,188,5,485,33,15,533,267
CABO DELGADO,PEMBA,SEDE,SEDE,EPC DE CHUIBA,0221202 .,800,195,72,173,4,444,16,29,489,311
CABO DELGADO,PEMBA,SEDE,SEDE,EPC DE CHUIBA,0221203 .,800,182,61,140,5,388,16,21,425,375
CABO DELGADO,PEMBA,SEDE,SEDE,EPC DE CHUIBA,0221204 .,800,140,59,127,2,328,19,20,367,433
CABO DELGADO,PEMBA,SEDE,SEDE,EPC DE CHUIBA,0221205 .,800,154,21,123,0,298,9,10,317,483
CABO DELGADO,PEMBA,SEDE,SEDE,EPC DE CHUIBA,0221206 .,595,106,34,69,2,211,2,13,226,369
CABO DELGADO,PEMBA,SEDE,SEDE,EPC DE INGONANE,0212701 .,800,377,12,217,3,609,11,13,633,167
CABO DELGADO,PEMBA,SEDE,SEDE,EPC DE INGONANE,0212702 .,800,301,16,229,3,549,8,12,569,231
CABO DELGADO,PEMBA,SEDE,SEDE,EPC DE INGONANE,0212703 .,800,267,20,231,1,519,16,19,554,246
CABO DELGADO,PEMBA,SEDE,SEDE,EPC DE INGONANE,0212704 .,800,285,15,197,3,500,12,4,516,284
CABO DELGADO,PEMBA,SEDE,SEDE,EPC DE INGONANE,0212705 .,800,251,20,233,5,509,7,12,528,272
CABO DELGADO,PEMBA,SEDE,SEDE,EPC DE INGONANE,0212706 .,800,249,18,210,1,478,10,10,498,302
CABO DELGADO,PEMBA,SEDE,SEDE,EPC DE INGONANE,0212707 .,784,194,11,200,2,407,13,14,434,350
CABO DELGADO,PEMBA,SEDE,SEDE,EPC DE MAHATE,0201401 .,800,206,37,205,10,458,14,21,493,307
