Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
GAZA,CHIBUTO,MUNICÍPIO ,SEDE ,BAIRRO 1 DA CIDADE,0906701 .,800,532,14,22,568,17,25,610,190
GAZA,CHIBUTO,MUNICÍPIO ,SEDE ,BAIRRO 1 DA CIDADE,0906702 .,800,510,14,26,550,11,20,581,219
GAZA,CHIBUTO,MUNICÍPIO ,SEDE ,BAIRRO 1 DA CIDADE,0906703 .,800,332,10,14,356,5,10,371,429
GAZA,CHIBUTO,MUNICÍPIO ,SEDE ,BAIRRO 1 DA CIDADE,0906704 .,800,265,16,22,303,4,9,316,484
GAZA,CHIBUTO,MUNICÍPIO ,SEDE ,BAIRRO 1 DA CIDADE,0906705 .,774,133,12,8,153,1,1,155,619
GAZA,CHIBUTO,MUNICÍPIO ,SEDE ,BAIRRO 2 DA CIDADE,0906801 .,800,454,26,74,554,17,27,598,202
GAZA,CHIBUTO,MUNICÍPIO ,SEDE ,BAIRRO 2 DA CIDADE,0906802 .,800,439,36,50,525,19,24,568,232
GAZA,CHIBUTO,MUNICÍPIO ,SEDE ,BAIRRO 2 DA CIDADE,0906803 .,800,468,42,47,557,20,24,601,199
GAZA,CHIBUTO,MUNICÍPIO ,SEDE ,BAIRRO 2 DA CIDADE,0906804 .,800,406,44,45,495,7,17,519,281
GAZA,CHIBUTO,MUNICÍPIO ,SEDE ,BAIRRO 2 DA CIDADE,0906805A .,600,137,23,27,187,3,5,195,405
GAZA,CHIBUTO,MUNICÍPIO ,SEDE ,BAIRRO 2 DA CIDADE,0906806 .,470,80,12,16,108,1,3,112,358
GAZA,CHIBUTO,MUNICÍPIO ,SEDE ,BAIRRO 3 DA CIDADE,0906901 .,800,467,38,26,531,33,25,589,211
GAZA,CHIBUTO,MUNICÍPIO ,SEDE ,BAIRRO 3 DA CIDADE,0906902 .,800,481,36,35,552,9,18,579,221
GAZA,CHIBUTO,MUNICÍPIO ,SEDE ,BAIRRO 3 DA CIDADE,0906903 .,800,461,45,48,554,5,17,576,224
GAZA,CHIBUTO,MUNICÍPIO ,SEDE ,BAIRRO 3 DA CIDADE,0906904 .,800,437,47,39,523,5,22,550,250
GAZA,CHIBUTO,MUNICÍPIO ,SEDE ,BAIRRO 3 DA CIDADE,0906905 .,800,505,36,29,570,8,9,587,213
GAZA,CHIBUTO,MUNICÍPIO ,SEDE ,BAIRRO 3 DA CIDADE,0906906A .,400,137,24,18,179,4,6,189,211
GAZA,CHIBUTO,MUNICÍPIO ,SEDE ,BAIRRO 3 DA CIDADE,0906906B .,535,346,18,17,381,0,3,384,151
GAZA,CHIBUTO,MUNICÍPIO ,SEDE ,CENTRO DE CANHANDA,0907401 .,800,493,36,21,550,12,29,591,209
GAZA,CHIBUTO,MUNICÍPIO ,SEDE ,CENTRO DE CANHANDA,0907402 .,800,509,25,43,577,10,13,600,200
GAZA,CHIBUTO,MUNICÍPIO ,SEDE ,CENTRO DE CANHANDA,0907403 .,800,237,13,19,269,3,22,294,506
GAZA,CHIBUTO,MUNICÍPIO ,SEDE ,CENTRO DE CANHANDA,0907404 .,718,195,9,6,210,2,2,214,504
GAZA,CHIBUTO,MUNICÍPIO ,SEDE ,EP1 MUSSAVENE,0907701 .,800,674,19,16,709,20,33,762,38
GAZA,CHIBUTO,MUNICÍPIO ,SEDE ,EP1 MUSSAVENE,0907702 .,800,626,16,16,658,15,25,698,102
GAZA,CHIBUTO,MUNICÍPIO ,SEDE ,EP1 MUSSAVENE,0907703 .,800,678,9,17,704,23,25,752,48
GAZA,CHIBUTO,MUNICÍPIO ,SEDE ,EP1 MUSSAVENE,0907704 .,800,582,11,14,607,15,13,635,165
GAZA,CHIBUTO,MUNICÍPIO ,SEDE ,EP1 MUSSAVENE,0907705 .,800,146,6,7,159,1,4,164,636
GAZA,CHIBUTO,MUNICÍPIO ,SEDE ,EP1 MUSSAVENE,0907706 .,800,64,3,6,73,0,3,76,724
GAZA,CHIBUTO,MUNICÍPIO ,SEDE ,EP1 MUSSAVENE,0907707 .,653,65,4,3,72,1,3,76,577
GAZA,CHIBUTO,MUNICÍPIO ,SEDE ,EPC 25 DE JUNHO UNIDADE 4,0907301 .,800,522,15,16,553,14,31,598,202
GAZA,CHIBUTO,MUNICÍPIO ,SEDE ,EPC 25 DE JUNHO UNIDADE 4,0907302 .,800,562,11,17,590,14,17,621,179
GAZA,CHIBUTO,MUNICÍPIO ,SEDE ,EPC 25 DE JUNHO UNIDADE 4,0907303 .,800,405,14,17,436,1,4,441,359
GAZA,CHIBUTO,MUNICÍPIO ,SEDE ,EPC 25 DE JUNHO UNIDADE 4,0907304 .,377,352,4,2,358,6,3,367,10
GAZA,CHIBUTO,MUNICÍPIO ,SEDE ,EPC 25 JUNHO UNIDADE 1,0907201 .,800,620,9,20,649,7,34,690,110
GAZA,CHIBUTO,MUNICÍPIO ,SEDE ,EPC 25 JUNHO UNIDADE 1,0907202 .,800,554,17,24,595,9,22,626,174
GAZA,CHIBUTO,MUNICÍPIO ,SEDE ,EPC 25 JUNHO UNIDADE 1,0907203 .,800,412,21,21,454,5,19,478,322
GAZA,CHIBUTO,MUNICÍPIO ,SEDE ,EPC 25 JUNHO UNIDADE 1,0907204 .,800,327,18,9,354,2,2,358,442
GAZA,CHIBUTO,MUNICÍPIO ,SEDE ,EPC 25 JUNHO UNIDADE 1,0907205 .,731,663,10,15,688,3,4,695,36
GAZA,CHIBUTO,MUNICÍPIO ,SEDE ,EPC SAMORA MACHEL B.D,0907501 .,800,482,21,22,525,28,30,583,217
GAZA,CHIBUTO,MUNICÍPIO ,SEDE ,EPC SAMORA MACHEL B.D,0907502 .,800,564,15,18,597,18,31,646,154
GAZA,CHIBUTO,MUNICÍPIO ,SEDE ,EPC SAMORA MACHEL B.D,0907503 .,800,588,11,6,605,6,32,643,157
GAZA,CHIBUTO,MUNICÍPIO ,SEDE ,EPC SAMORA MACHEL B.D,0907504 .,800,307,14,12,333,4,6,343,457
GAZA,CHIBUTO,MUNICÍPIO ,SEDE ,EPC SAMORA MACHEL B.D,0907505 .,800,403,2,4,409,4,1,414,386
