Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
GAZA,CHOKWE,SEDE,MACHEL,EP1 CHAKWARINE,0915101 .,800,523,19,15,557,21,26,604,196
GAZA,CHOKWE,SEDE,MACHEL,EP1 CHAKWARINE,0915102 .,800,572,21,17,610,15,29,654,146
GAZA,CHOKWE,SEDE,MACHEL,EP1 CHAKWARINE,0915103 .,345,250,11,10,271,8,8,287,58
GAZA,CHOKWE,SEDE,MACHEL,EP1 NKANHINE,0915201 .,800,371,27,29,427,10,17,454,346
GAZA,CHOKWE,SEDE,MACHEL,EP1 NKANHINE,0915202 .,800,297,20,27,344,8,12,364,436
GAZA,CHOKWE,SEDE,MACHEL,EP1 NKANHINE,0915203 .,800,187,11,18,216,0,4,220,580
GAZA,CHOKWE,SEDE,MACHEL,EP1 NKANHINE,0915204 .,568,389,12,24,425,6,7,438,130
GAZA,CHOKWE,SEDE,MACHEL,EPC 2º BAIRRO,0914801 .,800,289,52,58,399,5,11,415,385
GAZA,CHOKWE,SEDE,MACHEL,EPC 2º BAIRRO,0914802 .,800,459,46,40,545,4,15,564,236
GAZA,CHOKWE,SEDE,MACHEL,EPC 2º BAIRRO,0914803 .,800,309,35,32,376,3,5,384,416
GAZA,CHOKWE,SEDE,MACHEL,EPC 2º BAIRRO,0914804A .,600,236,53,30,319,2,7,328,272
GAZA,CHOKWE,SEDE,MACHEL,EPC 2º BAIRRO,0914805 .,437,168,44,29,241,6,6,253,184
GAZA,CHOKWE,SEDE,MACHEL,EPC 3º BAIRRO,0914901 .,800,479,43,25,547,23,28,598,202
GAZA,CHOKWE,SEDE,MACHEL,EPC 3º BAIRRO,0914902 .,800,502,32,16,550,11,19,580,220
GAZA,CHOKWE,SEDE,MACHEL,EPC 3º BAIRRO,0914903 .,800,449,35,34,518,19,21,558,242
GAZA,CHOKWE,SEDE,MACHEL,EPC 3º BAIRRO,0914904 .,800,451,26,26,503,8,8,519,281
GAZA,CHOKWE,SEDE,MACHEL,EPC 3º BAIRRO,0914905A .,600,322,28,17,367,6,8,381,219
GAZA,CHOKWE,SEDE,MACHEL,EPC 3º BAIRRO,0914906 .,411,386,13,13,412,4,4,420,-9
GAZA,CHOKWE,SEDE,MACHEL,EPC AFRICA AMIGA,0914701 .,800,343,21,16,380,16,20,416,384
GAZA,CHOKWE,SEDE,MACHEL,EPC AFRICA AMIGA,0914702 .,800,335,17,13,365,7,2,374,426
GAZA,CHOKWE,SEDE,MACHEL,EPC AFRICA AMIGA,0914703 .,800,306,11,2,319,10,3,332,468
GAZA,CHOKWE,SEDE,MACHEL,EPC AFRICA AMIGA,0914704A .,400,301,9,9,319,1,5,325,75
GAZA,CHOKWE,SEDE,MACHEL,EPC AFRICA AMIGA,0914704B .,405,245,9,5,259,3,3,265,140
GAZA,CHOKWE,SEDE,MACHEL,EPC DE 7º BAIRRO,0915901 .,800,466,19,18,503,18,28,549,251
GAZA,CHOKWE,SEDE,MACHEL,EPC DE 7º BAIRRO,0915902 .,800,400,17,16,433,5,18,456,344
GAZA,CHOKWE,SEDE,MACHEL,EPC DE 7º BAIRRO,0915903 .,800,64,2,4,70,0,3,73,727
GAZA,CHOKWE,SEDE,MACHEL,EPC DE 7º BAIRRO,0915904 .,308,81,6,2,89,0,4,93,215
GAZA,CHOKWE,SEDE,MACHEL,EPC DE NKOSSE,0915001 .,800,477,24,17,518,24,32,574,226
GAZA,CHOKWE,SEDE,MACHEL,EPC DE NKOSSE,0915002 .,800,441,13,13,467,9,19,495,305
GAZA,CHOKWE,SEDE,MACHEL,EPC DE NKOSSE,0915003 .,800,333,8,12,353,5,16,374,426
GAZA,CHOKWE,SEDE,MACHEL,EPC DE NKOSSE,0915004A .,400,120,5,7,132,1,6,139,261
GAZA,CHOKWE,SEDE,MACHEL,EPC DE NKOSSE,0915004B .,476,124,4,5,133,4,5,142,334
GAZA,CHOKWE,SEDE,NKAVELANE,E.S. NGUNGUNHANE,0915501 .,800,260,15,14,289,5,8,302,498
GAZA,CHOKWE,SEDE,NKAVELANE,E.S. NGUNGUNHANE,0915502 .,800,165,11,3,179,1,4,184,616
GAZA,CHOKWE,SEDE,NKAVELANE,E.S. NGUNGUNHANE,0915503 .,800,97,6,4,107,1,2,110,690
GAZA,CHOKWE,SEDE,NKAVELANE,E.S. NGUNGUNHANE,0915504A .,400,77,4,4,85,1,1,87,313
GAZA,CHOKWE,SEDE,NKAVELANE,E.S. NGUNGUNHANE,0915504B .,411,118,10,4,132,1,1,134,277
GAZA,CHOKWE,SEDE,NKAVELANE,EP1 4º BAIRRO,0915401 .,800,389,31,29,449,3,16,468,332
GAZA,CHOKWE,SEDE,NKAVELANE,EP1 4º BAIRRO,0915402 .,800,247,16,13,276,3,8,287,513
GAZA,CHOKWE,SEDE,NKAVELANE,EP1 4º BAIRRO,0915403 .,800,210,13,16,239,3,4,246,554
GAZA,CHOKWE,SEDE,NKAVELANE,EP1 4º BAIRRO,0915404 .,662,196,19,14,229,5,3,237,425
GAZA,CHOKWE,SEDE,NKAVELANE,EP1 5º BAIRRO - A,0915701 .,800,501,39,26,566,13,20,599,201
GAZA,CHOKWE,SEDE,NKAVELANE,EP1 5º BAIRRO - A,0915702 .,800,494,37,24,555,24,12,591,209
