Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
GAZA,D. XAI-XAI,INHAMISSA,B. M.N´GOABY A,EPC U.1 INHAMISSA ,0902301 .,800,445,28,48,521,13,14,548,252
GAZA,D. XAI-XAI,INHAMISSA,B. M.N´GOABY A,EPC U.1 INHAMISSA ,0902302 .,800,690,5,9,704,2,5,711,89
GAZA,D. XAI-XAI,INHAMISSA,B. M.N´GOABY A,EPC U.1 INHAMISSA ,0902303 .,800,261,8,7,276,2,3,281,519
GAZA,D. XAI-XAI,INHAMISSA,B. M.N´GOABY A,EPC U.1 INHAMISSA ,0902304 .,370,175,21,18,214,1,6,221,149
GAZA,D. XAI-XAI,INHAMISSA,B. M.N´GOABY A,ESCOLA PROFISSIONAL DE INHAMISSA,0902601 .,800,504,8,21,533,4,23,560,240
GAZA,D. XAI-XAI,INHAMISSA,B. M.N´GOABY A,ESCOLA PROFISSIONAL DE INHAMISSA,0902602 .,800,415,9,9,433,2,2,437,363
GAZA,D. XAI-XAI,INHAMISSA,B. M.N´GOABY A,ESCOLA PROFISSIONAL DE INHAMISSA,0902603A .,600,526,7,5,538,4,1,543,57
GAZA,D. XAI-XAI,INHAMISSA,B. M.N´GOABY A,ESCOLA PROFISSIONAL DE INHAMISSA,0902603B .,425,352,5,17,374,2,2,378,47
GAZA,D. XAI-XAI,INHAMISSA,B. M.N´GOABY A,ESCOLA SECUNDARIA MARIEN N´GOABY,0902401 .,800,496,28,31,555,5,19,579,221
GAZA,D. XAI-XAI,INHAMISSA,B. M.N´GOABY A,ESCOLA SECUNDARIA MARIEN N´GOABY,0902402 .,800,269,11,15,295,5,10,310,490
GAZA,D. XAI-XAI,INHAMISSA,B. M.N´GOABY A,ESCOLA SECUNDARIA MARIEN N´GOABY,0902403 .,800,116,9,9,134,2,1,137,663
GAZA,D. XAI-XAI,INHAMISSA,B. M.N´GOABY A,ESCOLA SECUNDARIA MARIEN N´GOABY,0902404 .,800,191,7,9,207,6,4,217,583
GAZA,D. XAI-XAI,INHAMISSA,B. M.N´GOABY A,ESCOLA SECUNDARIA MARIEN N´GOABY,0902405 .,635,233,19,25,277,3,4,284,351
GAZA,D. XAI-XAI,INHAMISSA,B. M.N´GOABY A,ESCOLA SECUNDRIA DE INHAMISSA,0902501 .,800,494,22,46,562,11,15,588,212
GAZA,D. XAI-XAI,INHAMISSA,B. M.N´GOABY A,ESCOLA SECUNDRIA DE INHAMISSA,0902502 .,800,345,23,32,400,7,14,421,379
GAZA,D. XAI-XAI,INHAMISSA,B. M.N´GOABY A,ESCOLA SECUNDRIA DE INHAMISSA,0902503 .,800,227,25,46,298,4,8,310,490
GAZA,D. XAI-XAI,INHAMISSA,B. M.N´GOABY A,ESCOLA SECUNDRIA DE INHAMISSA,0902504 .,375,207,16,43,266,1,5,272,103
GAZA,D. XAI-XAI,INHAMISSA,B.M.N´GOABY B,CENTRO . RESERVA DO MUNICIPIO,0902901 .,800,271,25,44,340,4,8,352,448
GAZA,D. XAI-XAI,INHAMISSA,B.M.N´GOABY B,CENTRO . RESERVA DO MUNICIPIO,0902902 .,800,232,22,41,295,1,4,300,500
GAZA,D. XAI-XAI,INHAMISSA,B.M.N´GOABY B,CENTRO . RESERVA DO MUNICIPIO,0902903 .,800,197,10,17,224,1,4,229,571
GAZA,D. XAI-XAI,INHAMISSA,B.M.N´GOABY B,CENTRO . RESERVA DO MUNICIPIO,0902904 .,664,205,20,38,263,2,0,265,399
GAZA,D. XAI-XAI,INHAMISSA,B.M.N´GOABY B,EPC 4 DE OUTUBRO,0902801 .,800,422,26,51,499,5,22,526,274
GAZA,D. XAI-XAI,INHAMISSA,B.M.N´GOABY B,EPC 4 DE OUTUBRO,0902802 .,800,422,27,60,509,7,13,529,271
GAZA,D. XAI-XAI,INHAMISSA,B.M.N´GOABY B,EPC 4 DE OUTUBRO,0902803 .,800,198,18,29,245,3,7,255,545
GAZA,D. XAI-XAI,INHAMISSA,B.M.N´GOABY B,EPC 4 DE OUTUBRO,0902804 .,726,325,25,38,388,7,6,401,325
GAZA,D. XAI-XAI,INHAMISSA,B.M.N´GOABY B,EPC UNIDADE 5- MARIEN N´GOABY,0902701 .,800,451,21,51,523,18,28,569,231
GAZA,D. XAI-XAI,INHAMISSA,B.M.N´GOABY B,EPC UNIDADE 5- MARIEN N´GOABY,0902702 .,800,325,19,30,374,5,6,385,415
GAZA,D. XAI-XAI,INHAMISSA,B.M.N´GOABY B,EPC UNIDADE 5- MARIEN N´GOABY,0902703 .,333,202,17,10,229,2,7,238,95
GAZA,D. XAI-XAI,INHAMISSA,BAIRRO INHAMISSA A,EPC 25 DE MAIO,0901701 .,800,369,13,42,424,10,11,445,355
GAZA,D. XAI-XAI,INHAMISSA,BAIRRO INHAMISSA A,EPC 25 DE MAIO,0901702A .,600,195,14,17,226,1,4,231,369
GAZA,D. XAI-XAI,INHAMISSA,BAIRRO INHAMISSA A,EPC 25 DE MAIO,0901703 .,439,117,16,23,156,0,3,159,280
GAZA,D. XAI-XAI,INHAMISSA,BAIRRO INHAMISSA A,EPC U.5 INHAMISSA B,0901901 .,800,458,30,44,532,11,11,554,246
GAZA,D. XAI-XAI,INHAMISSA,BAIRRO INHAMISSA A,EPC U.5 INHAMISSA B,0901902 .,800,457,39,69,565,4,7,576,224
GAZA,D. XAI-XAI,INHAMISSA,BAIRRO INHAMISSA A,EPC U.5 INHAMISSA B,0901903 .,800,348,38,51,437,3,8,448,352
GAZA,D. XAI-XAI,INHAMISSA,BAIRRO INHAMISSA A,EPC U.5 INHAMISSA B,0901904 .,800,197,26,34,257,1,8,266,534
GAZA,D. XAI-XAI,INHAMISSA,BAIRRO INHAMISSA A,EPC U.5 INHAMISSA B,0901905 .,731,387,41,70,498,9,14,521,210
GAZA,D. XAI-XAI,INHAMISSA,BAIRRO INHAMISSA A,EPC UNIDADE 2 INHAMISSA A,0901801 .,800,404,27,60,491,15,14,520,280
GAZA,D. XAI-XAI,INHAMISSA,BAIRRO INHAMISSA A,EPC UNIDADE 2 INHAMISSA A,0901802 .,800,148,12,23,183,0,6,189,611
GAZA,D. XAI-XAI,INHAMISSA,BAIRRO INHAMISSA A,EPC UNIDADE 2 INHAMISSA A,0901803 .,343,126,16,26,168,2,2,172,171
GAZA,D. XAI-XAI,INHAMISSA,BAIRRO INHAMISSA B,CENTRO DE UNIDADE 3 TEMBENE,0902002 .,800,285,20,37,342,6,14,362,438
GAZA,D. XAI-XAI,INHAMISSA,BAIRRO INHAMISSA B,CENTRO DE UNIDADE 3 TEMBENE,0902003 .,531,56,6,6,68,0,5,73,458
GAZA,D. XAI-XAI,INHAMISSA,BAIRRO INHAMISSA B,EPC 12 DE OUTUBRO,0902001 .,800,217,26,30,273,2,7,282,518
