Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
GAZA,MANDLAKAZI,MUNICÍPIO,MAPANDANE,EP1 DE MUKHOMANE,0930301 .,800,238,16,13,267,5,19,291,509
GAZA,MANDLAKAZI,MUNICÍPIO,MAPANDANE,EP1 DE MUKHOMANE,0930302 .,693,55,3,1,59,2,0,61,632
GAZA,MANDLAKAZI,MUNICÍPIO,MAPANDANE,EPC  DE MACASSELANE,0930202A .,400,306,1,2,309,5,8,322,78
GAZA,MANDLAKAZI,MUNICÍPIO,MAPANDANE,EPC  DE MACASSELANE,0930202B .,454,319,2,2,323,3,6,332,122
GAZA,MANDLAKAZI,MUNICÍPIO,MAPANDANE,EPC DE MAPANDANE,0930201 .,728,475,6,9,490,17,25,532,196
GAZA,MANDLAKAZI,MUNICÍPIO,MAPANDANE,EPC ED. MONDLANE DE MAUSSE,0930103 .,679,305,5,3,313,23,4,340,339
GAZA,MANDLAKAZI,MUNICÍPIO,MAPANDANE,ESCOLA FAMILIAR RURAL,0930101A .,400,257,6,20,283,5,10,298,102
GAZA,MANDLAKAZI,MUNICÍPIO,MAPANDANE,ESCOLA FAMILIAR RURAL,0930101B .,531,300,9,30,339,6,6,351,180
GAZA,MANDLAKAZI,MUNICÍPIO,MUNICÍPIO SEDE,BAIRRO DE LIBERDADE,0929801 .,800,486,25,52,563,15,23,601,199
GAZA,MANDLAKAZI,MUNICÍPIO,MUNICÍPIO SEDE,BAIRRO DE LIBERDADE,0929802A .,400,267,13,21,301,3,7,311,89
GAZA,MANDLAKAZI,MUNICÍPIO,MUNICÍPIO SEDE,BAIRRO DE LIBERDADE,0929802B .,560,183,8,30,221,1,4,226,334
GAZA,MANDLAKAZI,MUNICÍPIO,MUNICÍPIO SEDE,CAIP,0929803 .,800,452,15,40,507,12,16,535,265
GAZA,MANDLAKAZI,MUNICÍPIO,MUNICÍPIO SEDE,CAIP,0929804 .,768,138,8,25,171,1,4,176,592
GAZA,MANDLAKAZI,MUNICÍPIO,MUNICÍPIO SEDE,EPC DE MAGUIGUANE,0929701 .,800,492,25,43,560,7,10,577,223
GAZA,MANDLAKAZI,MUNICÍPIO,MUNICÍPIO SEDE,EPC DE MAGUIGUANE,0929702 .,800,407,30,72,509,2,4,515,285
GAZA,MANDLAKAZI,MUNICÍPIO,MUNICÍPIO SEDE,EPC DE MAGUIGUANE,0929703 .,667,269,27,53,349,3,5,357,310
GAZA,MANDLAKAZI,MUNICÍPIO,MUNICÍPIO SEDE,EPC EDUARDO MONDLANE,0929501 .,800,505,24,54,583,10,8,601,199
GAZA,MANDLAKAZI,MUNICÍPIO,MUNICÍPIO SEDE,EPC EDUARDO MONDLANE,0929502 .,800,380,27,53,460,4,13,477,323
GAZA,MANDLAKAZI,MUNICÍPIO,MUNICÍPIO SEDE,EPC EDUARDO MONDLANE,0929503 .,800,150,12,30,192,0,5,197,603
GAZA,MANDLAKAZI,MUNICÍPIO,MUNICÍPIO SEDE,EPC EDUARDO MONDLANE,0929504 .,800,233,11,28,272,2,4,278,522
GAZA,MANDLAKAZI,MUNICÍPIO,MUNICÍPIO SEDE,EPC EDUARDO MONDLANE,0929505A .,400,168,9,31,208,1,1,210,190
GAZA,MANDLAKAZI,MUNICÍPIO,MUNICÍPIO SEDE,EPC EDUARDO MONDLANE,0929505B .,424,103,6,32,141,0,1,142,282
GAZA,MANDLAKAZI,MUNICÍPIO,MUNICÍPIO SEDE,EPC MACAVE,0929601 .,800,488,11,39,538,12,11,561,239
GAZA,MANDLAKAZI,MUNICÍPIO,MUNICÍPIO SEDE,EPC MACAVE,0929602A .,400,64,7,5,76,2,1,79,321
GAZA,MANDLAKAZI,MUNICÍPIO,MUNICÍPIO SEDE,EPC MACAVE,0929602B .,401,35,3,6,44,0,0,44,357
GAZA,MANDLAKAZI,MUNICÍPIO,MUZAMANE,EPC DINGANE,0930001 .,800,547,13,27,587,17,14,618,182
GAZA,MANDLAKAZI,MUNICÍPIO,MUZAMANE,EPC DINGANE,0930002 .,760,215,10,28,253,4,9,266,494
GAZA,MANDLAKAZI,MUNICÍPIO,MUZAMANE,EPC JOSINA MACHEL,0930004 .,685,516,10,16,542,11,12,565,120
GAZA,MANDLAKAZI,MUNICÍPIO,MUZAMANE,EPC MAGOENE,0929902 .,800,480,42,7,529,10,13,552,248
GAZA,MANDLAKAZI,MUNICÍPIO,MUZAMANE,EPC MAGOENE,0929903 .,761,21,6,1,28,0,0,28,733
GAZA,MANDLAKAZI,MUNICÍPIO,MUZAMANE,EPC MUZAMANE,0929901A .,400,218,5,6,229,5,14,248,152
GAZA,MANDLAKAZI,MUNICÍPIO,MUZAMANE,EPC MUZAMANE,0929901B .,556,262,5,10,277,6,17,300,256
GAZA,MANDLAKAZI,MUNICÍPIO,MUZAMANE,LIGAGUENE,0930003 .,546,463,2,2,467,0,2,469,77
