Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
INHAMBANE,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º GRAU DA ILHA DE INHAMBANE,0811001 .,325,205,12,6,223,2,10,235,90
INHAMBANE,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º GRAU DE JOGO,0802402 .,513,212,11,11,234,16,14,264,249
INHAMBANE,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º GRAU DE MACHAVENGA,0805502 .,730,292,36,33,361,17,22,400,330
INHAMBANE,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º GRAU DE MARRAMBONE,0805401 .,800,430,25,56,511,11,26,548,252
INHAMBANE,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º GRAU DE MARRAMBONE,0805402 .,800,383,28,76,487,6,13,506,294
INHAMBANE,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º GRAU DE MARRAMBONE,0805403 .,532,251,16,45,312,6,9,327,205
INHAMBANE,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º GRAU DE QUELEGUELE*,0814901 .,399,221,11,17,249,8,12,269,130
INHAMBANE,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º-2º GRAUS 1° DE MAIO,0813101 .,800,475,15,73,563,12,20,595,205
INHAMBANE,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º-2º GRAUS 1° DE MAIO,0813102 .,800,468,21,90,579,11,10,600,200
INHAMBANE,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º-2º GRAUS 1° DE MAIO,0813103 .,800,460,17,68,545,11,16,572,228
INHAMBANE,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º-2º GRAUS 1° DE MAIO,0813104 .,800,441,15,88,544,6,10,560,240
