Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,PAHUMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
INHAMBANE,MAXIXE,MAXIXE,BEMBE,EP 1º-2º GRAUS DE BATO,0807801 .,800,344,20,40,4,408,15,17,440,360
INHAMBANE,MAXIXE,MAXIXE,BEMBE,EP 1º-2º GRAUS DE BATO,0807802 .,800,280,13,43,1,337,12,21,370,430
INHAMBANE,MAXIXE,MAXIXE,BEMBE,EP 1º-2º GRAUS DE BATO,0807803 .,800,294,20,37,4,355,9,6,370,430
INHAMBANE,MAXIXE,MAXIXE,BEMBE,EP 1º-2º GRAUS DE BATO,0807804 .,305,83,6,14,1,104,1,3,108,197
INHAMBANE,MAXIXE,MAXIXE,BEMBE,EP 1º-2º GRAUS DE HABANA,0806101 .,800,345,23,30,4,402,22,32,456,344
INHAMBANE,MAXIXE,MAXIXE,BEMBE,EP 1º-2º GRAUS DE HABANA,0806102A .,400,140,10,21,2,173,3,4,180,220
INHAMBANE,MAXIXE,MAXIXE,BEMBE,EP 1º-2º GRAUS DE HABANA,0806102B .,538,164,14,28,1,207,7,13,227,311
INHAMBANE,MAXIXE,MAXIXE,BEMBE,EP 1º-2º GRAUS DE MAQUETELA*,0806104 .,672,207,16,30,0,253,5,4,262,410
INHAMBANE,MAXIXE,MAXIXE,BEMBE,EP 1º-2º GRAUS DE MAUÉUÉ,0806001 .,800,296,40,32,1,369,17,15,401,399
INHAMBANE,MAXIXE,MAXIXE,BEMBE,EP 1º-2º GRAUS DE MAUÉUÉ,0806002 .,758,234,44,27,1,306,7,14,327,431
INHAMBANE,MAXIXE,MAXIXE,CHAMBONE,CAMPUS 2 UP*,0802501 .,800,315,51,104,5,475,15,14,504,296
INHAMBANE,MAXIXE,MAXIXE,CHAMBONE,CAMPUS 2 UP*,0802502A .,400,121,18,54,0,193,4,8,205,195
INHAMBANE,MAXIXE,MAXIXE,CHAMBONE,CAMPUS 2 UP*,0802502B .,487,138,20,67,0,225,2,6,233,254
INHAMBANE,MAXIXE,MAXIXE,CHAMBONE,EP 1º-2º GRAUS DE JOSINA MACHEL,0818501 .,800,288,49,78,5,420,8,18,446,354
