Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
INHAMBANE,ZAVALA,AUTARQUIA DA VILA DE QUISSICO,AUTARQUIA,EP 1º-2º GRAUS 25 DE SETEMBRO,0815102 .,288,89,14,43,146,1,3,150,138
INHAMBANE,ZAVALA,AUTARQUIA DA VILA DE QUISSICO,AUTARQUIA,EP 1º-2º GRAUS 4 DE OUTUBRO,0816001A .,400,147,18,23,188,3,6,197,203
INHAMBANE,ZAVALA,AUTARQUIA DA VILA DE QUISSICO,AUTARQUIA,EP 1º-2º GRAUS 4 DE OUTUBRO,0816001B .,520,207,17,18,242,6,15,263,257
INHAMBANE,ZAVALA,AUTARQUIA DA VILA DE QUISSICO,AUTARQUIA,EP 1º-2º GRAUS DE INCAVELA,0815602 .,615,255,7,72,334,11,12,357,258
INHAMBANE,ZAVALA,AUTARQUIA DA VILA DE QUISSICO,AUTARQUIA,EP 1º-2º GRAUS DE MACOMANE*,0815603 .,307,220,11,17,248,11,6,265,42
INHAMBANE,ZAVALA,AUTARQUIA DA VILA DE QUISSICO,AUTARQUIA,EP 1º-2º GRAUS DE MAHUMANE,0815601 .,473,181,24,61,266,15,9,290,183
INHAMBANE,ZAVALA,AUTARQUIA DA VILA DE QUISSICO,AUTARQUIA,EP 1º-2º GRAUS DE MUSSACATE,0816401 .,800,315,22,82,419,8,14,441,359
INHAMBANE,ZAVALA,AUTARQUIA DA VILA DE QUISSICO,AUTARQUIA,EP 1º-2º GRAUS DE MUSSACATE,0816402 .,346,94,9,33,136,5,0,141,205
INHAMBANE,ZAVALA,AUTARQUIA DA VILA DE QUISSICO,AUTARQUIA,EP 1º-2º GRAUS DE NGOMENE NORTE,0815101 .,526,201,36,18,255,10,6,271,255
INHAMBANE,ZAVALA,AUTARQUIA DA VILA DE QUISSICO,AUTARQUIA,EP 1º-2º GRAUS DE NHABINDE,0806301A .,400,157,25,31,213,7,7,227,173
INHAMBANE,ZAVALA,AUTARQUIA DA VILA DE QUISSICO,AUTARQUIA,EP 1º-2º GRAUS DE NHABINDE,0806301B .,436,171,20,28,219,12,3,234,202
INHAMBANE,ZAVALA,AUTARQUIA DA VILA DE QUISSICO,AUTARQUIA,EP 1º-2º GRAUS DE QUISSICO,0802101 .,800,291,30,145,466,4,4,474,326
INHAMBANE,ZAVALA,AUTARQUIA DA VILA DE QUISSICO,AUTARQUIA,EP 1º-2º GRAUS DE QUISSICO,0802102A .,400,119,11,78,208,1,4,213,187
INHAMBANE,ZAVALA,AUTARQUIA DA VILA DE QUISSICO,AUTARQUIA,EP 1º-2º GRAUS DE QUISSICO,0802102B .,440,120,16,79,215,3,4,222,218
INHAMBANE,ZAVALA,AUTARQUIA DA VILA DE QUISSICO,AUTARQUIA,EP 1º-2º GRAUS JOAQUIM CHISSANO,0812701 .,800,288,20,173,481,11,8,500,300
INHAMBANE,ZAVALA,AUTARQUIA DA VILA DE QUISSICO,AUTARQUIA,EP 1º-2º GRAUS JOAQUIM CHISSANO,0812702 .,800,229,27,166,422,3,11,436,364
INHAMBANE,ZAVALA,AUTARQUIA DA VILA DE QUISSICO,AUTARQUIA,EP 1º-2º GRAUS JOAQUIM CHISSANO,0812703 .,800,263,27,152,442,3,11,456,344
INHAMBANE,ZAVALA,AUTARQUIA DA VILA DE QUISSICO,AUTARQUIA,EP 1º-2º GRAUS JOAQUIM CHISSANO,0812704 .,800,230,21,170,421,3,5,429,371
INHAMBANE,ZAVALA,AUTARQUIA DA VILA DE QUISSICO,AUTARQUIA,EP 1º-2º GRAUS JOAQUIM CHISSANO,0812705 .,800,236,30,155,421,5,10,436,364
INHAMBANE,ZAVALA,AUTARQUIA DA VILA DE QUISSICO,AUTARQUIA,EP 1º-2º GRAUS JOAQUIM CHISSANO,0812706 .,376,109,7,78,194,0,2,196,180
