Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
MANICA,BÁRUÈ,CATANDICA,CATANDICA,EP1 1- DE JUNHO,0605301 .,800,417,9,181,607,8,6,621,179
MANICA,BÁRUÈ,CATANDICA,CATANDICA,EP1 1- DE JUNHO,0605302 .,800,450,14,152,616,16,4,636,164
MANICA,BÁRUÈ,CATANDICA,CATANDICA,EP1 1- DE JUNHO,0605303 .,800,380,11,177,568,10,7,585,215
MANICA,BÁRUÈ,CATANDICA,CATANDICA,EP1 1- DE JUNHO,0605304 .,800,409,12,167,588,4,9,601,199
MANICA,BÁRUÈ,CATANDICA,CATANDICA,EP1 1- DE JUNHO,0605305 .,800,397,11,179,587,10,7,604,196
MANICA,BÁRUÈ,CATANDICA,CATANDICA,EP1 1- DE JUNHO,0605306 .,800,332,11,192,535,5,8,548,252
MANICA,BÁRUÈ,CATANDICA,CATANDICA,EP1 1- DE JUNHO,0605307 .,800,373,16,171,560,1,4,565,235
MANICA,BÁRUÈ,CATANDICA,CATANDICA,EP1 1- DE JUNHO,0605308 .,800,351,8,163,522,4,0,526,274
MANICA,BÁRUÈ,CATANDICA,CATANDICA,EP1 1- DE JUNHO,0605309 .,459,185,5,96,286,4,3,293,166
MANICA,BÁRUÈ,CATANDICA,CATANDICA,EP1 TSUANDA,0605601 .,800,364,11,221,596,21,27,644,156
MANICA,BÁRUÈ,CATANDICA,CATANDICA,EP1 TSUANDA,0605602 .,800,343,16,241,600,21,6,627,173
MANICA,BÁRUÈ,CATANDICA,CATANDICA,EP1 TSUANDA,0605603 .,800,310,13,236,559,14,21,594,206
MANICA,BÁRUÈ,CATANDICA,CATANDICA,EP1 TSUANDA,0605604 .,800,356,16,219,591,0,7,598,202
MANICA,BÁRUÈ,CATANDICA,CATANDICA,EP1 TSUANDA,0605605 .,785,276,21,204,501,3,6,510,275
MANICA,BÁRUÈ,CATANDICA,CATANDICA,EP1E2 - 3 DE FEVEREIRO,0605701 .,800,441,14,166,621,10,7,638,162
MANICA,BÁRUÈ,CATANDICA,CATANDICA,EP1E2 - 3 DE FEVEREIRO,0605702  .,800,427,17,165,609,9,4,622,178
MANICA,BÁRUÈ,CATANDICA,CATANDICA,EP1E2 - 3 DE FEVEREIRO,0605703 .,800,393,20,171,584,12,4,600,200
MANICA,BÁRUÈ,CATANDICA,CATANDICA,EP1E2 - 3 DE FEVEREIRO,0605704 .,800,365,16,171,552,21,4,577,223
MANICA,BÁRUÈ,CATANDICA,CATANDICA,EP1E2 - 3 DE FEVEREIRO,0605705 .,800,347,14,171,532,15,5,552,248
MANICA,BÁRUÈ,CATANDICA,CATANDICA,EP1E2 - 3 DE FEVEREIRO,0605706 .,800,338,11,174,523,12,4,539,261
MANICA,BÁRUÈ,CATANDICA,CATANDICA,EP1E2 - 3 DE FEVEREIRO,0605707 .,527,208,13,91,312,7,6,325,202
MANICA,BÁRUÈ,CATANDICA,CATANDICA,EP1E2 -1º DE MAIO,0605401 .,800,377,12,208,597,13,5,615,185
MANICA,BÁRUÈ,CATANDICA,CATANDICA,EP1E2 -1º DE MAIO,0605402 .,800,333,10,216,559,17,8,584,216
MANICA,BÁRUÈ,CATANDICA,CATANDICA,EP1E2 -1º DE MAIO,0605403 .,800,360,13,171,544,7,64,615,185
MANICA,BÁRUÈ,CATANDICA,CATANDICA,EP1E2 -1º DE MAIO,0605404 .,800,304,11,178,493,28,16,537,263
MANICA,BÁRUÈ,CATANDICA,CATANDICA,EP1E2 -1º DE MAIO,0605405 .,800,240,10,211,461,17,11,489,311
MANICA,BÁRUÈ,CATANDICA,CATANDICA,EP1E2 -1º DE MAIO,0605406 .,800,273,10,218,501,15,10,526,274
MANICA,BÁRUÈ,CATANDICA,CATANDICA,EP1E2 -1º DE MAIO,0605407 .,405,123,4,90,217,5,5,227,178
MANICA,BÁRUÈ,CATANDICA,CATANDICA,EP1E2 SANHANTHUNZE,0605501 .,800,357,13,202,572,11,4,587,213
MANICA,BÁRUÈ,CATANDICA,CATANDICA,EP1E2 SANHANTHUNZE,0605502 .,800,388,18,196,602,20,8,630,170
MANICA,BÁRUÈ,CATANDICA,CATANDICA,EP1E2 SANHANTHUNZE,0605503 .,800,372,9,161,542,14,9,565,235
MANICA,BÁRUÈ,CATANDICA,CATANDICA,EP1E2 SANHANTHUNZE,0605504 .,800,339,10,192,541,20,4,565,235
MANICA,BÁRUÈ,CATANDICA,CATANDICA,EP1E2 SANHANTHUNZE,0605505 .,800,366,5,168,539,11,7,557,243
MANICA,BÁRUÈ,CATANDICA,CATANDICA,EP1E2 SANHANTHUNZE,0605506 .,798,287,14,187,488,7,2,497,301
