Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
MANICA,CHIMOIO,POSTO ADMINISTRATIVO URBANO Nº 1,NÃO APLICÁVEL,EP1E2 - 25 DE JUNHO,0600201 .,800,384,18,171,573,17,17,607,193
MANICA,CHIMOIO,POSTO ADMINISTRATIVO URBANO Nº 1,NÃO APLICÁVEL,EP1E2 - 25 DE JUNHO,0600202 .,800,354,18,195,567,8,9,584,216
MANICA,CHIMOIO,POSTO ADMINISTRATIVO URBANO Nº 1,NÃO APLICÁVEL,EP1E2 - 25 DE JUNHO,0600203 .,800,319,18,177,514,6,14,534,266
MANICA,CHIMOIO,POSTO ADMINISTRATIVO URBANO Nº 1,NÃO APLICÁVEL,EP1E2 - 25 DE JUNHO,0600204 .,800,344,15,184,543,10,9,562,238
MANICA,CHIMOIO,POSTO ADMINISTRATIVO URBANO Nº 1,NÃO APLICÁVEL,EP1E2 - 25 DE JUNHO,0600205 .,800,317,14,194,525,7,3,535,265
MANICA,CHIMOIO,POSTO ADMINISTRATIVO URBANO Nº 1,NÃO APLICÁVEL,EP1E2 - 25 DE JUNHO,0600206 .,800,304,9,185,498,6,4,508,292
MANICA,CHIMOIO,POSTO ADMINISTRATIVO URBANO Nº 1,NÃO APLICÁVEL,EP1E2 - 25 DE JUNHO,0600207 .,800,267,19,175,461,9,3,473,327
MANICA,CHIMOIO,POSTO ADMINISTRATIVO URBANO Nº 1,NÃO APLICÁVEL,EP1E2 - 25 DE JUNHO,0600208A .,500,161,9,121,291,5,3,299,201
MANICA,CHIMOIO,POSTO ADMINISTRATIVO URBANO Nº 1,NÃO APLICÁVEL,EP1E2 - 25 DE JUNHO,0600208B .,510,168,8,87,263,5,4,272,238
MANICA,CHIMOIO,POSTO ADMINISTRATIVO URBANO Nº 1,NÃO APLICÁVEL,EP1E2 CENTRO HÍPICO,0600101 .,800,417,12,155,584,16,14,614,186
MANICA,CHIMOIO,POSTO ADMINISTRATIVO URBANO Nº 1,NÃO APLICÁVEL,EP1E2 CENTRO HÍPICO,0600102 .,800,403,12,162,577,6,7,590,210
MANICA,CHIMOIO,POSTO ADMINISTRATIVO URBANO Nº 1,NÃO APLICÁVEL,EP1E2 CENTRO HÍPICO,0600103 .,800,383,15,185,583,5,8,596,204
MANICA,CHIMOIO,POSTO ADMINISTRATIVO URBANO Nº 1,NÃO APLICÁVEL,EP1E2 CENTRO HÍPICO,0600104 .,800,372,15,156,543,5,15,563,237
MANICA,CHIMOIO,POSTO ADMINISTRATIVO URBANO Nº 1,NÃO APLICÁVEL,EP1E2 CENTRO HÍPICO,0600105 .,800,344,7,195,546,11,4,561,239
MANICA,CHIMOIO,POSTO ADMINISTRATIVO URBANO Nº 1,NÃO APLICÁVEL,EP1E2 CENTRO HÍPICO,0600106 .,800,339,15,185,539,4,12,555,245
MANICA,CHIMOIO,POSTO ADMINISTRATIVO URBANO Nº 1,NÃO APLICÁVEL,EP1E2 CENTRO HÍPICO,0600107 .,800,340,17,186,543,5,3,551,249
MANICA,CHIMOIO,POSTO ADMINISTRATIVO URBANO Nº 1,NÃO APLICÁVEL,EP1E2 CENTRO HÍPICO,0600108 .,800,346,8,159,513,8,1,522,278
MANICA,CHIMOIO,POSTO ADMINISTRATIVO URBANO Nº 1,NÃO APLICÁVEL,EP1E2 CENTRO HÍPICO,0600109 .,702,247,15,163,425,7,13,445,257
MANICA,CHIMOIO,POSTO ADMINISTRATIVO URBANO Nº 1,NÃO APLICÁVEL,EP1E2 CENTRO HÍPICO,0614601 .,800,281,10,200,491,2,3,496,304
MANICA,CHIMOIO,POSTO ADMINISTRATIVO URBANO Nº 1,NÃO APLICÁVEL,EP1E2 CENTRO HÍPICO,0614602 .,415,149,6,87,242,2,0,244,171
MANICA,CHIMOIO,POSTO ADMINISTRATIVO URBANO Nº 1,NÃO APLICÁVEL,EP1E2 HERÓIS MOÇAMBICANOS,0600601 .,800,387,9,184,580,10,11,601,199
MANICA,CHIMOIO,POSTO ADMINISTRATIVO URBANO Nº 1,NÃO APLICÁVEL,EP1E2 HERÓIS MOÇAMBICANOS,0600602 .,800,310,12,197,519,8,8,535,265
MANICA,CHIMOIO,POSTO ADMINISTRATIVO URBANO Nº 1,NÃO APLICÁVEL,EP1E2 HERÓIS MOÇAMBICANOS,0600603 .,800,296,18,162,476,3,15,494,306
MANICA,CHIMOIO,POSTO ADMINISTRATIVO URBANO Nº 1,NÃO APLICÁVEL,EP1E2 HERÓIS MOÇAMBICANOS,0600604A .,500,159,13,90,262,2,5,269,231
MANICA,CHIMOIO,POSTO ADMINISTRATIVO URBANO Nº 1,NÃO APLICÁVEL,EP1E2 HERÓIS MOÇAMBICANOS,0600604B .,482,140,9,84,233,0,0,233,249
MANICA,CHIMOIO,POSTO ADMINISTRATIVO URBANO Nº 1,NÃO APLICÁVEL,EP1E2 HOMBUA,0600501A .,500,183,11,142,336,9,5,350,150
MANICA,CHIMOIO,POSTO ADMINISTRATIVO URBANO Nº 1,NÃO APLICÁVEL,EP1E2 HOMBUA,0600501B .,436,145,6,102,253,4,5,262,174
MANICA,CHIMOIO,POSTO ADMINISTRATIVO URBANO Nº 1,NÃO APLICÁVEL,EP1E2 IV CONGRESSO (AGOSTINHO NETO),0600401 .,800,395,11,141,547,20,8,575,225
MANICA,CHIMOIO,POSTO ADMINISTRATIVO URBANO Nº 1,NÃO APLICÁVEL,EP1E2 IV CONGRESSO (AGOSTINHO NETO),0600402 .,762,293,14,100,407,8,4,419,343
MANICA,CHIMOIO,POSTO ADMINISTRATIVO URBANO Nº 1,NÃO APLICÁVEL,EP1E2 JOSINA MACHEL,0600701 .,800,311,16,208,535,15,8,558,242
MANICA,CHIMOIO,POSTO ADMINISTRATIVO URBANO Nº 1,NÃO APLICÁVEL,EP1E2 JOSINA MACHEL,0600702 .,800,286,14,191,491,18,11,520,280
MANICA,CHIMOIO,POSTO ADMINISTRATIVO URBANO Nº 1,NÃO APLICÁVEL,EP1E2 JOSINA MACHEL,0600703 .,800,305,25,179,509,7,7,523,277
MANICA,CHIMOIO,POSTO ADMINISTRATIVO URBANO Nº 1,NÃO APLICÁVEL,EP1E2 JOSINA MACHEL,0600704 .,800,261,15,194,470,13,13,496,304
MANICA,CHIMOIO,POSTO ADMINISTRATIVO URBANO Nº 1,NÃO APLICÁVEL,EP1E2 JOSINA MACHEL,0600705 .,800,267,15,192,474,9,2,485,315
MANICA,CHIMOIO,POSTO ADMINISTRATIVO URBANO Nº 1,NÃO APLICÁVEL,EP1E2 JOSINA MACHEL,0600706 .,800,198,16,219,433,8,12,453,347
MANICA,CHIMOIO,POSTO ADMINISTRATIVO URBANO Nº 1,NÃO APLICÁVEL,EP1E2 JOSINA MACHEL,0600707A .,500,124,12,127,263,2,1,266,234
MANICA,CHIMOIO,POSTO ADMINISTRATIVO URBANO Nº 1,NÃO APLICÁVEL,EP1E2 JOSINA MACHEL,0600707B .,454,117,7,97,221,3,1,225,229
MANICA,CHIMOIO,POSTO ADMINISTRATIVO URBANO Nº 1,NÃO APLICÁVEL,EP1E2 JOSINA MACHEL,0617101 .,670,191,12,133,336,3,3,342,328
MANICA,CHIMOIO,POSTO ADMINISTRATIVO URBANO Nº 1,NÃO APLICÁVEL,EP1E2 NHAMADJESSA,0600301 .,800,342,16,188,546,5,7,558,242
MANICA,CHIMOIO,POSTO ADMINISTRATIVO URBANO Nº 1,NÃO APLICÁVEL,EP1E2 NHAMADJESSA,0600302 .,800,304,15,170,489,8,6,503,297
MANICA,CHIMOIO,POSTO ADMINISTRATIVO URBANO Nº 1,NÃO APLICÁVEL,EP1E2 NHAMADJESSA,0600303 .,800,287,13,201,501,13,5,519,281
