Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
MANICA,GONDOLA,VILA MUNICIPAL,GONDOLA SEDE,EP1 NHACHOCO 1,0607401 .,800,249,20,172,441,13,12,466,334
MANICA,GONDOLA,VILA MUNICIPAL,GONDOLA SEDE,EP1 NHACHOCO 1,0607402 .,800,244,19,145,408,3,2,413,387
MANICA,GONDOLA,VILA MUNICIPAL,GONDOLA SEDE,EP1 NHACHOCO 1,0607403 .,800,206,18,166,390,8,3,401,399
MANICA,GONDOLA,VILA MUNICIPAL,GONDOLA SEDE,EP1 NHACHOCO 1,0607404 .,543,139,14,89,242,5,3,250,293
MANICA,GONDOLA,VILA MUNICIPAL,GONDOLA SEDE,EP1E2 MUCESSUA,0607501 .,800,306,20,244,570,4,12,586,214
MANICA,GONDOLA,VILA MUNICIPAL,GONDOLA SEDE,EP1E2 MUCESSUA,0607502 .,800,271,12,208,491,11,5,507,293
MANICA,GONDOLA,VILA MUNICIPAL,GONDOLA SEDE,EP1E2 MUCESSUA,0607503 .,800,269,25,178,472,4,13,489,311
MANICA,GONDOLA,VILA MUNICIPAL,GONDOLA SEDE,EP1E2 MUCESSUA,0607504 .,800,238,17,154,409,10,3,422,378
MANICA,GONDOLA,VILA MUNICIPAL,GONDOLA SEDE,EP1E2 MUCESSUA,0607505 .,509,135,14,107,256,2,1,259,250
MANICA,GONDOLA,VILA MUNICIPAL,GONDOLA SEDE,ESG BENGO,0616601 .,800,312,42,168,522,7,2,531,269
MANICA,GONDOLA,VILA MUNICIPAL,GONDOLA SEDE,ESG BENGO,0616602 .,800,247,18,204,469,3,2,474,326
MANICA,GONDOLA,VILA MUNICIPAL,GONDOLA SEDE,ESG BENGO,0616603 .,800,227,15,196,438,5,1,444,356
MANICA,GONDOLA,VILA MUNICIPAL,GONDOLA SEDE,ESG BENGO,0616604 .,800,240,13,195,448,7,5,460,340
MANICA,GONDOLA,VILA MUNICIPAL,GONDOLA SEDE,ESG BENGO,0616605 .,694,172,22,139,333,8,4,345,349
MANICA,GONDOLA,VILA MUNICIPAL,GONDOLA SEDE,ESG JOSINA MACHEL,0607101 .,800,350,22,192,564,7,7,578,222
MANICA,GONDOLA,VILA MUNICIPAL,GONDOLA SEDE,ESG JOSINA MACHEL,0607102 .,800,357,19,186,562,4,11,577,223
MANICA,GONDOLA,VILA MUNICIPAL,GONDOLA SEDE,ESG JOSINA MACHEL,0607103 .,800,343,19,182,544,5,6,555,245
MANICA,GONDOLA,VILA MUNICIPAL,GONDOLA SEDE,ESG JOSINA MACHEL,0607104 .,800,319,16,146,481,4,26,511,289
MANICA,GONDOLA,VILA MUNICIPAL,GONDOLA SEDE,ESG JOSINA MACHEL,0607105 .,800,302,21,193,516,11,1,528,272
MANICA,GONDOLA,VILA MUNICIPAL,GONDOLA SEDE,ESG JOSINA MACHEL,0607106 .,800,276,15,191,482,4,7,493,307
MANICA,GONDOLA,VILA MUNICIPAL,GONDOLA SEDE,ESG JOSINA MACHEL,0607107 .,800,227,19,206,452,10,4,466,334
MANICA,GONDOLA,VILA MUNICIPAL,GONDOLA SEDE,ESG JOSINA MACHEL,0607108 .,469,136,9,100,245,4,2,251,218
MANICA,GONDOLA,VILA MUNICIPAL,GONDOLA SEDE,ESG MACOMBE,0607001 .,800,370,30,171,571,7,16,594,206
MANICA,GONDOLA,VILA MUNICIPAL,GONDOLA SEDE,ESG MACOMBE,0607002 .,800,374,24,157,555,19,9,583,217
MANICA,GONDOLA,VILA MUNICIPAL,GONDOLA SEDE,ESG MACOMBE,0607003 .,800,342,18,199,559,12,12,583,217
MANICA,GONDOLA,VILA MUNICIPAL,GONDOLA SEDE,ESG MACOMBE,0607004 .,800,367,17,179,563,8,5,576,224
MANICA,GONDOLA,VILA MUNICIPAL,GONDOLA SEDE,ESG MACOMBE,0607005 .,800,365,16,156,537,11,9,557,243
MANICA,GONDOLA,VILA MUNICIPAL,GONDOLA SEDE,ESG MACOMBE,0607006 .,800,323,16,183,522,5,6,533,267
MANICA,GONDOLA,VILA MUNICIPAL,GONDOLA SEDE,ESG MACOMBE,0607007 .,800,328,26,145,499,6,1,506,294
MANICA,GONDOLA,VILA MUNICIPAL,GONDOLA SEDE,ESG MACOMBE,0607008A .,500,159,14,93,266,0,4,270,230
MANICA,GONDOLA,VILA MUNICIPAL,GONDOLA SEDE,ESG MACOMBE,0607008B .,310,96,11,59,166,2,0,168,142
MANICA,GONDOLA,VILA MUNICIPAL,GONDOLA SEDE,ESG MAZICUERA,0607201 .,800,248,23,160,431,6,4,441,359
MANICA,GONDOLA,VILA MUNICIPAL,GONDOLA SEDE,ESG MAZICUERA,0607202 .,800,253,24,183,460,0,5,465,335
MANICA,GONDOLA,VILA MUNICIPAL,GONDOLA SEDE,ESG MAZICUERA,0607203 .,800,244,21,194,459,10,1,470,330
MANICA,GONDOLA,VILA MUNICIPAL,GONDOLA SEDE,ESG MAZICUERA,0607204 .,800,229,22,162,413,13,3,429,371
MANICA,GONDOLA,VILA MUNICIPAL,GONDOLA SEDE,ESG MAZICUERA,0607205 .,800,185,18,148,351,3,5,359,441
MANICA,GONDOLA,VILA MUNICIPAL,GONDOLA SEDE,ESG MAZICUERA,0607206 .,714,164,12,109,285,8,3,296,418
