Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
MANICA,MANICA,CIDADE DE MANICA,MANICA SEDE,EP1 CACÁRUE,0608801A .,500,261,14,92,367,3,8,378,122
MANICA,MANICA,CIDADE DE MANICA,MANICA SEDE,EP1 CACÁRUE,0608801B .,429,188,19,76,283,5,2,290,139
MANICA,MANICA,CIDADE DE MANICA,MANICA SEDE,EP1 MACORREIA,0608901 .,800,357,19,179,555,14,7,576,224
MANICA,MANICA,CIDADE DE MANICA,MANICA SEDE,EP1 MACORREIA,0608902 .,800,303,16,165,484,9,8,501,299
MANICA,MANICA,CIDADE DE MANICA,MANICA SEDE,EP1 MACORREIA,0608903 .,800,292,15,164,471,5,4,480,320
MANICA,MANICA,CIDADE DE MANICA,MANICA SEDE,EP1 MACORREIA,0608904A .,500,154,12,96,262,5,6,273,227
MANICA,MANICA,CIDADE DE MANICA,MANICA SEDE,EP1 MACORREIA,0608904B .,580,141,12,105,258,0,5,263,317
MANICA,MANICA,CIDADE DE MANICA,MANICA SEDE,EP1E2 EDUARDO MONDLANE,0608401 .,800,350,12,190,552,9,5,566,234
MANICA,MANICA,CIDADE DE MANICA,MANICA SEDE,EP1E2 EDUARDO MONDLANE,0608402 .,800,333,18,161,512,7,8,527,273
MANICA,MANICA,CIDADE DE MANICA,MANICA SEDE,EP1E2 EDUARDO MONDLANE,0608403 .,800,336,19,181,536,3,3,542,258
MANICA,MANICA,CIDADE DE MANICA,MANICA SEDE,EP1E2 EDUARDO MONDLANE,0608404 .,800,373,19,157,549,6,2,557,243
MANICA,MANICA,CIDADE DE MANICA,MANICA SEDE,EP1E2 EDUARDO MONDLANE,0608405 .,800,320,19,179,518,6,9,533,267
MANICA,MANICA,CIDADE DE MANICA,MANICA SEDE,EP1E2 EDUARDO MONDLANE,0608406 .,800,295,14,172,481,5,7,493,307
MANICA,MANICA,CIDADE DE MANICA,MANICA SEDE,EP1E2 EDUARDO MONDLANE,0608407 .,583,173,17,118,308,4,2,314,269
MANICA,MANICA,CIDADE DE MANICA,MANICA SEDE,EP1E2 EDUARDO MONDLANE,0613201 .,642,196,9,140,345,4,5,354,288
MANICA,MANICA,CIDADE DE MANICA,MANICA SEDE,EP1E2 IV CONGRESSO,0608601 .,800,389,18,170,577,14,10,601,199
MANICA,MANICA,CIDADE DE MANICA,MANICA SEDE,EP1E2 IV CONGRESSO,0608602 .,800,390,7,154,551,12,15,578,222
MANICA,MANICA,CIDADE DE MANICA,MANICA SEDE,EP1E2 IV CONGRESSO,0608603 .,800,377,12,141,530,10,6,546,254
MANICA,MANICA,CIDADE DE MANICA,MANICA SEDE,EP1E2 IV CONGRESSO,0608604 .,800,379,13,154,546,6,11,563,237
MANICA,MANICA,CIDADE DE MANICA,MANICA SEDE,EP1E2 IV CONGRESSO,0608605 .,800,355,19,175,549,5,9,563,237
MANICA,MANICA,CIDADE DE MANICA,MANICA SEDE,EP1E2 IV CONGRESSO,0608606 .,800,315,13,160,488,8,8,504,296
MANICA,MANICA,CIDADE DE MANICA,MANICA SEDE,EP1E2 IV CONGRESSO,0608607 .,800,289,16,175,480,5,7,492,308
MANICA,MANICA,CIDADE DE MANICA,MANICA SEDE,EP1E2 IV CONGRESSO,0608608 .,349,121,8,59,188,4,4,196,153
MANICA,MANICA,CIDADE DE MANICA,MANICA SEDE,EP1E2 MANICA,0608501 .,800,342,21,170,533,14,16,563,237
MANICA,MANICA,CIDADE DE MANICA,MANICA SEDE,EP1E2 MANICA,0608502 .,800,340,16,168,524,4,6,534,266
