Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
MANICA,SUSSUNDENGA,SUSSUNDENGA SEDE,MUNHINGA,EP1 DOUA,0612203 .,800,330,21,117,468,19,11,498,302
MANICA,SUSSUNDENGA,SUSSUNDENGA SEDE,MUNHINGA,EP1 DOUA,0612204 .,556,158,17,80,255,10,9,274,282
MANICA,SUSSUNDENGA,SUSSUNDENGA SEDE,SUSSUNDENGA SEDE,EP1 - 1 DE JUNHO,0617401 .,800,438,44,134,616,14,6,636,164
MANICA,SUSSUNDENGA,SUSSUNDENGA SEDE,SUSSUNDENGA SEDE,EP1 - 1 DE JUNHO,0617402 .,800,376,52,125,553,6,8,567,233
MANICA,SUSSUNDENGA,SUSSUNDENGA SEDE,SUSSUNDENGA SEDE,EP1 - 1 DE JUNHO,0617403 .,800,350,54,121,525,13,5,543,257
MANICA,SUSSUNDENGA,SUSSUNDENGA SEDE,SUSSUNDENGA SEDE,EP1 - 1 DE JUNHO,0617404 .,800,337,38,158,533,16,10,559,241
MANICA,SUSSUNDENGA,SUSSUNDENGA SEDE,SUSSUNDENGA SEDE,EP1 - 1 DE JUNHO,0617405 .,800,317,67,115,499,12,5,516,284
MANICA,SUSSUNDENGA,SUSSUNDENGA SEDE,SUSSUNDENGA SEDE,EP1 - 1 DE JUNHO,0617406A .,500,205,39,71,315,3,5,323,177
MANICA,SUSSUNDENGA,SUSSUNDENGA SEDE,SUSSUNDENGA SEDE,EP1 - 1 DE JUNHO,0617406B .,510,194,28,70,292,9,4,305,205
MANICA,SUSSUNDENGA,SUSSUNDENGA SEDE,SUSSUNDENGA SEDE,EP1 E 2 BAIRRO DA UNIDADE,0611501 .,800,442,36,111,589,12,9,610,190
MANICA,SUSSUNDENGA,SUSSUNDENGA SEDE,SUSSUNDENGA SEDE,EP1 E 2 BAIRRO DA UNIDADE,0611502 .,800,336,49,117,502,8,15,525,275
MANICA,SUSSUNDENGA,SUSSUNDENGA SEDE,SUSSUNDENGA SEDE,EP1 E 2 BAIRRO DA UNIDADE,0611503 .,467,158,22,47,227,5,4,236,231
MANICA,SUSSUNDENGA,SUSSUNDENGA SEDE,SUSSUNDENGA SEDE,EP1 SAMORA MACHEL,0611401A .,500,235,14,74,323,7,2,332,168
MANICA,SUSSUNDENGA,SUSSUNDENGA SEDE,SUSSUNDENGA SEDE,EP1 SAMORA MACHEL,0611401B .,321,124,9,62,195,4,3,202,119
MANICA,SUSSUNDENGA,SUSSUNDENGA SEDE,SUSSUNDENGA SEDE,EP1E2 MUZÓRIA,0611303A .,500,231,26,74,331,6,6,343,157
MANICA,SUSSUNDENGA,SUSSUNDENGA SEDE,SUSSUNDENGA SEDE,EP1E2 MUZÓRIA,0611303B .,479,187,31,80,298,9,6,313,166
MANICA,SUSSUNDENGA,SUSSUNDENGA SEDE,SUSSUNDENGA SEDE,EP1E2 NHANGUZWE,0611301A .,500,270,13,71,354,11,10,375,125
MANICA,SUSSUNDENGA,SUSSUNDENGA SEDE,SUSSUNDENGA SEDE,EP1E2 NHANGUZWE,0611301B .,391,198,8,67,273,9,2,284,107
MANICA,SUSSUNDENGA,SUSSUNDENGA SEDE,SUSSUNDENGA SEDE,ESG  SUSSUNDENGA,0611201 .,800,326,127,129,582,14,5,601,199
MANICA,SUSSUNDENGA,SUSSUNDENGA SEDE,SUSSUNDENGA SEDE,ESG  SUSSUNDENGA,0611202 .,800,279,122,134,535,11,10,556,244
MANICA,SUSSUNDENGA,SUSSUNDENGA SEDE,SUSSUNDENGA SEDE,ESG  SUSSUNDENGA,0611203 .,800,308,96,134,538,6,7,551,249
MANICA,SUSSUNDENGA,SUSSUNDENGA SEDE,SUSSUNDENGA SEDE,ESG  SUSSUNDENGA,0611204 .,800,302,93,124,519,7,8,534,266
MANICA,SUSSUNDENGA,SUSSUNDENGA SEDE,SUSSUNDENGA SEDE,ESG  SUSSUNDENGA,0611205 .,800,269,98,99,466,9,11,486,314
MANICA,SUSSUNDENGA,SUSSUNDENGA SEDE,SUSSUNDENGA SEDE,ESG  SUSSUNDENGA,0611206 .,706,203,70,93,366,4,6,376,330
