Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,JPC,CAD,E-POVO,UE,PPPM,PVM,PASOMO,SCM,PDM,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
MAPUTO CIDADE,MUNICIPAL KAMAXAQUENE,MUNICIPAL KAMAXAQUENE,MAFALALA,ESCOLA COMUNITÁRIA "SE RISHILE" - RELENTO,1105101 .,800,305,34,182,0,3,0,0,0,1,0,0,0,525,4,14,543,257
MAPUTO CIDADE,MUNICIPAL KAMAXAQUENE,MUNICIPAL KAMAXAQUENE,MAFALALA,ESCOLA COMUNITÁRIA "SE RISHILE" - RELENTO,1105102 .,800,251,35,210,2,1,0,0,0,0,0,0,0,499,2,11,512,288
MAPUTO CIDADE,MUNICIPAL KAMAXAQUENE,MUNICIPAL KAMAXAQUENE,MAFALALA,ESCOLA COMUNITÁRIA "SE RISHILE" - RELENTO,1105103 .,767,233,27,184,1,0,0,0,0,0,0,0,0,445,1,15,461,306
MAPUTO CIDADE,MUNICIPAL KAMAXAQUENE,MUNICIPAL KAMAXAQUENE,MAFALALA,ESCOLA PRIMÁRIA UNIDADE 22,1105001 .,800,327,15,206,2,2,1,0,0,0,0,0,0,553,11,28,592,208
MAPUTO CIDADE,MUNICIPAL KAMAXAQUENE,MUNICIPAL KAMAXAQUENE,MAFALALA,ESCOLA PRIMÁRIA UNIDADE 22,1105002 .,800,266,32,224,3,2,0,0,2,0,0,0,1,530,9,17,556,244
MAPUTO CIDADE,MUNICIPAL KAMAXAQUENE,MUNICIPAL KAMAXAQUENE,MAFALALA,ESCOLA PRIMÁRIA UNIDADE 22,1105003 .,800,292,16,213,3,0,0,0,0,0,2,0,0,526,6,10,542,258
MAPUTO CIDADE,MUNICIPAL KAMAXAQUENE,MUNICIPAL KAMAXAQUENE,MAFALALA,ESCOLA PRIMÁRIA UNIDADE 22,1105004 .,800,267,18,222,0,0,1,0,0,0,1,0,0,509,4,13,526,274
MAPUTO CIDADE,MUNICIPAL KAMAXAQUENE,MUNICIPAL KAMAXAQUENE,MAFALALA,ESCOLA PRIMÁRIA UNIDADE 22,1105005 .,800,249,24,200,1,1,0,0,0,0,2,0,0,477,3,6,486,314
MAPUTO CIDADE,MUNICIPAL KAMAXAQUENE,MUNICIPAL KAMAXAQUENE,MAFALALA,ESCOLA PRIMÁRIA UNIDADE 22,1105006 .,443,143,9,123,0,0,0,0,0,0,1,0,0,276,1,3,280,163
MAPUTO CIDADE,MUNICIPAL KAMAXAQUENE,MUNICIPAL KAMAXAQUENE,MAFALALA,ESCOLA PRIMÁRIA UNIDADE 23,1114901 .,800,293,22,217,3,2,0,0,0,0,0,0,0,537,9,18,564,236
MAPUTO CIDADE,MUNICIPAL KAMAXAQUENE,MUNICIPAL KAMAXAQUENE,MAFALALA,ESCOLA PRIMÁRIA UNIDADE 23,1114902 .,800,286,29,227,4,3,0,0,1,0,0,1,0,551,4,16,571,229
MAPUTO CIDADE,MUNICIPAL KAMAXAQUENE,MUNICIPAL KAMAXAQUENE,MAFALALA,ESCOLA PRIMÁRIA UNIDADE 23,1114903 .,800,272,30,239,2,0,0,0,0,0,0,0,1,544,8,15,567,233
MAPUTO CIDADE,MUNICIPAL KAMAXAQUENE,MUNICIPAL KAMAXAQUENE,MAFALALA,ESCOLA PRIMÁRIA UNIDADE 23,1114904 .,800,276,29,195,4,1,1,0,0,0,0,0,0,506,7,12,525,275
MAPUTO CIDADE,MUNICIPAL KAMAXAQUENE,MUNICIPAL KAMAXAQUENE,MAFALALA,ESCOLA PRIMÁRIA UNIDADE 23,1114905A .,400,127,23,103,3,0,1,1,0,0,0,2,0,260,1,3,264,136
MAPUTO CIDADE,MUNICIPAL KAMAXAQUENE,MUNICIPAL KAMAXAQUENE,MAFALALA,ESCOLA PRIMÁRIA UNIDADE 23,1114905B .,420,141,16,112,2,1,0,0,0,0,0,0,0,272,0,2,274,146
MAPUTO CIDADE,MUNICIPAL KAMAXAQUENE,MUNICIPAL KAMAXAQUENE,MAXAQUENE  " B",ESCOLA PRIMÁRIA MAXAQUENE "B",1106001 .,800,349,15,137,1,1,0,5,1,0,0,0,1,510,18,19,547,253
MAPUTO CIDADE,MUNICIPAL KAMAXAQUENE,MUNICIPAL KAMAXAQUENE,MAXAQUENE  " B",ESCOLA PRIMÁRIA MAXAQUENE "B",1106002 .,800,308,16,189,0,0,0,1,0,0,0,0,1,515,8,20,543,257
MAPUTO CIDADE,MUNICIPAL KAMAXAQUENE,MUNICIPAL KAMAXAQUENE,MAXAQUENE  " B",ESCOLA PRIMÁRIA MAXAQUENE "B",1106003 .,800,326,13,157,0,0,0,0,0,1,1,1,1,500,8,10,518,282
MAPUTO CIDADE,MUNICIPAL KAMAXAQUENE,MUNICIPAL KAMAXAQUENE,MAXAQUENE  " B",ESCOLA PRIMÁRIA MAXAQUENE "B",1106004 .,800,299,23,163,1,3,4,0,0,2,0,0,1,496,6,12,514,286
MAPUTO CIDADE,MUNICIPAL KAMAXAQUENE,MUNICIPAL KAMAXAQUENE,MAXAQUENE  " B",ESCOLA PRIMÁRIA MAXAQUENE "B",1106005 .,800,291,21,157,1,0,1,0,0,0,0,2,2,475,10,8,493,307
MAPUTO CIDADE,MUNICIPAL KAMAXAQUENE,MUNICIPAL KAMAXAQUENE,MAXAQUENE  " B",ESCOLA PRIMÁRIA MAXAQUENE "B",1106006A .,400,151,9,79,1,0,1,0,0,0,0,0,0,241,1,6,248,152
MAPUTO CIDADE,MUNICIPAL KAMAXAQUENE,MUNICIPAL KAMAXAQUENE,MAXAQUENE  " B",ESCOLA PRIMÁRIA MAXAQUENE "B",1106006B .,551,214,17,92,0,1,4,1,1,0,0,0,2,332,2,11,345,206
MAPUTO CIDADE,MUNICIPAL KAMAXAQUENE,MUNICIPAL KAMAXAQUENE,MAXAQUENE  " B",ESCOLA PRIMÁRIA UNIDADE 24,1105701 .,800,342,8,184,0,1,0,4,1,0,0,0,0,540,6,22,568,232
MAPUTO CIDADE,MUNICIPAL KAMAXAQUENE,MUNICIPAL KAMAXAQUENE,MAXAQUENE  " B",ESCOLA PRIMÁRIA UNIDADE 24,1105702 .,800,286,27,194,2,1,3,3,0,0,0,0,0,516,2,12,530,270
MAPUTO CIDADE,MUNICIPAL KAMAXAQUENE,MUNICIPAL KAMAXAQUENE,MAXAQUENE  " B",ESCOLA PRIMÁRIA UNIDADE 24,1105703 .,800,270,21,193,3,2,3,2,0,0,1,0,0,495,2,9,506,294
MAPUTO CIDADE,MUNICIPAL KAMAXAQUENE,MUNICIPAL KAMAXAQUENE,MAXAQUENE  " B",ESCOLA PRIMÁRIA UNIDADE 24,1105704 .,800,251,20,226,0,2,2,4,1,0,0,0,0,506,8,12,526,274
MAPUTO CIDADE,MUNICIPAL KAMAXAQUENE,MUNICIPAL KAMAXAQUENE,MAXAQUENE  " B",ESCOLA PRIMÁRIA UNIDADE 24,1105705 .,800,285,31,167,1,0,2,0,0,0,0,0,0,486,6,12,504,296
MAPUTO CIDADE,MUNICIPAL KAMAXAQUENE,MUNICIPAL KAMAXAQUENE,MAXAQUENE  " B",ESCOLA PRIMÁRIA UNIDADE 24,1105706 .,535,183,16,131,0,3,0,2,0,0,0,2,0,337,3,7,347,188
