Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,JPC,CAD,E-POVO,UE,PPPM,PVM,PASOMO,SCM,PDM,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
MAPUTO CIDADE,MUNICIPAL KAMPFUMO,MUNICIPAL KAMPFUMO,ALTO - MAE "B",ESCOLA SECUNDÁRIA FRANCISCO MANYANGA,1101401 .,800,314,28,224,10,0,0,0,2,0,0,1,0,579,4,9,592,208
MAPUTO CIDADE,MUNICIPAL KAMPFUMO,MUNICIPAL KAMPFUMO,ALTO - MAE "B",ESCOLA SECUNDÁRIA FRANCISCO MANYANGA,1101402 .,800,272,42,235,9,0,0,0,0,0,0,0,1,559,2,23,584,216
MAPUTO CIDADE,MUNICIPAL KAMPFUMO,MUNICIPAL KAMPFUMO,ALTO - MAE "B",ESCOLA SECUNDÁRIA FRANCISCO MANYANGA,1101403 .,800,293,53,226,19,1,0,0,0,0,0,0,0,592,3,12,607,193
MAPUTO CIDADE,MUNICIPAL KAMPFUMO,MUNICIPAL KAMPFUMO,ALTO - MAE "B",ESCOLA SECUNDÁRIA FRANCISCO MANYANGA,1101404 .,526,180,29,116,15,0,0,0,1,0,1,0,0,342,1,2,345,181
MAPUTO CIDADE,MUNICIPAL KAMPFUMO,MUNICIPAL KAMPFUMO,ALTO -MAE "A",ESCOLA SEC. ESTRELA VERMELHA,1101301A .,400,133,19,112,6,2,0,0,0,0,0,0,0,272,1,12,285,115
MAPUTO CIDADE,MUNICIPAL KAMPFUMO,MUNICIPAL KAMPFUMO,ALTO -MAE "A",ESCOLA SEC. ESTRELA VERMELHA,1101301B .,670,204,20,190,3,0,1,0,1,0,0,0,0,419,2,3,424,246
MAPUTO CIDADE,MUNICIPAL KAMPFUMO,MUNICIPAL KAMPFUMO,CENTRAL " B ",ESCOLA PRIMÁRIA 16 DE JUNHO,1100701 .,800,320,43,197,27,0,0,1,0,0,0,2,0,590,6,9,605,195
MAPUTO CIDADE,MUNICIPAL KAMPFUMO,MUNICIPAL KAMPFUMO,CENTRAL " B ",ESCOLA PRIMÁRIA 16 DE JUNHO,1100702 .,800,302,52,203,19,0,0,0,0,0,0,2,0,578,4,14,596,204
MAPUTO CIDADE,MUNICIPAL KAMPFUMO,MUNICIPAL KAMPFUMO,CENTRAL " B ",ESCOLA PRIMÁRIA 16 DE JUNHO,1100703 .,628,226,46,159,21,0,0,1,1,1,0,0,0,455,6,8,469,159
MAPUTO CIDADE,MUNICIPAL KAMPFUMO,MUNICIPAL KAMPFUMO,CENTRAL " B ",ESCOLA PRIMÁRIA MAXAQUENE KHOVO,1100801 .,800,313,30,243,11,1,0,1,0,0,3,1,0,603,3,11,617,183
MAPUTO CIDADE,MUNICIPAL KAMPFUMO,MUNICIPAL KAMPFUMO,CENTRAL " B ",ESCOLA PRIMÁRIA MAXAQUENE KHOVO,1100802 .,800,301,41,209,11,1,0,0,1,0,3,0,0,567,3,11,581,219
MAPUTO CIDADE,MUNICIPAL KAMPFUMO,MUNICIPAL KAMPFUMO,CENTRAL " B ",ESCOLA PRIMÁRIA MAXAQUENE KHOVO,1100803 .,800,328,41,227,22,1,0,0,0,1,1,1,0,622,2,8,632,168
MAPUTO CIDADE,MUNICIPAL KAMPFUMO,MUNICIPAL KAMPFUMO,CENTRAL " B ",ESCOLA PRIMÁRIA MAXAQUENE KHOVO,1100804 .,800,350,32,198,13,0,0,0,0,3,0,0,1,597,7,4,608,192
MAPUTO CIDADE,MUNICIPAL KAMPFUMO,MUNICIPAL KAMPFUMO,CENTRAL " B ",ESCOLA PRIMÁRIA MAXAQUENE KHOVO,1100805 .,521,193,32,116,6,0,0,0,0,0,0,0,0,347,2,7,356,165
MAPUTO CIDADE,MUNICIPAL KAMPFUMO,MUNICIPAL KAMPFUMO,CENTRAL " B ",ESCOLA PRIMÁRIA MAXAQUENE KHOVO,1119701 .,322,115,20,90,3,0,0,0,0,0,1,1,0,230,4,0,234,88
MAPUTO CIDADE,MUNICIPAL KAMPFUMO,MUNICIPAL KAMPFUMO,CENTRAL " B ",INSTITUTO INDUSTRIAL 1º MAIO,1100601 .,800,338,27,225,15,2,0,0,0,0,1,0,2,610,4,6,620,180
