Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,JPC,CAD,E-POVO,UE,PPPM,PVM,PASOMO,SCM,PDM,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
MAPUTO CIDADE,MUNICIPAL NLHAMANKULO,MUNICIPAL NLHAMANKULO,AEROPORTO " A ",ESCOLA NACIONAL DE  ARTES VISUAIS,1104601 .,800,321,30,210,1,1,0,1,0,1,0,1,0,566,4,4,574,226
MAPUTO CIDADE,MUNICIPAL NLHAMANKULO,MUNICIPAL NLHAMANKULO,AEROPORTO " A ",ESCOLA NACIONAL DE  ARTES VISUAIS,1104602 .,800,267,42,196,8,0,1,1,0,0,0,0,1,516,3,17,536,264
MAPUTO CIDADE,MUNICIPAL NLHAMANKULO,MUNICIPAL NLHAMANKULO,AEROPORTO " A ",ESCOLA NACIONAL DE  ARTES VISUAIS,1104603A .,400,150,21,104,0,0,0,0,0,0,0,0,0,275,5,12,292,108
MAPUTO CIDADE,MUNICIPAL NLHAMANKULO,MUNICIPAL NLHAMANKULO,AEROPORTO " A ",ESCOLA NACIONAL DE  ARTES VISUAIS,1104603B .,633,203,32,152,7,0,0,0,0,0,1,0,0,395,2,16,413,220
MAPUTO CIDADE,MUNICIPAL NLHAMANKULO,MUNICIPAL NLHAMANKULO,AEROPORTO " A ",ESCOLA PRIMÁRIA UNIDADE 18,1104401 .,800,318,28,173,4,1,1,0,0,1,1,0,5,532,5,14,551,249
MAPUTO CIDADE,MUNICIPAL NLHAMANKULO,MUNICIPAL NLHAMANKULO,AEROPORTO " A ",ESCOLA PRIMÁRIA UNIDADE 18,1104402 .,800,303,25,180,4,0,0,1,0,0,0,0,1,514,3,7,524,276
MAPUTO CIDADE,MUNICIPAL NLHAMANKULO,MUNICIPAL NLHAMANKULO,AEROPORTO " A ",ESCOLA PRIMÁRIA UNIDADE 18,1104403 .,800,251,28,168,4,0,0,3,0,1,0,0,0,455,2,32,489,311
MAPUTO CIDADE,MUNICIPAL NLHAMANKULO,MUNICIPAL NLHAMANKULO,AEROPORTO " A ",ESCOLA PRIMÁRIA UNIDADE 18,1104404 .,800,286,28,165,5,0,0,0,0,0,0,0,0,484,6,17,507,293
MAPUTO CIDADE,MUNICIPAL NLHAMANKULO,MUNICIPAL NLHAMANKULO,AEROPORTO " A ",ESCOLA PRIMÁRIA UNIDADE 18,1104405 .,457,129,20,88,2,0,0,1,0,1,0,2,1,244,2,3,249,208
MAPUTO CIDADE,MUNICIPAL NLHAMANKULO,MUNICIPAL NLHAMANKULO,AEROPORTO " A ",ESCOLA PRIMÁRIA UNIDADE 19,1104501 .,800,345,36,152,2,1,0,0,0,0,0,0,0,536,7,18,561,239
MAPUTO CIDADE,MUNICIPAL NLHAMANKULO,MUNICIPAL NLHAMANKULO,AEROPORTO " A ",ESCOLA PRIMÁRIA UNIDADE 19,1104502 .,800,311,25,195,2,1,0,0,0,0,1,0,0,535,8,16,559,241
MAPUTO CIDADE,MUNICIPAL NLHAMANKULO,MUNICIPAL NLHAMANKULO,AEROPORTO " A ",ESCOLA PRIMÁRIA UNIDADE 19,1104503 .,800,286,20,190,4,1,0,0,0,0,0,0,0,501,8,24,533,267
MAPUTO CIDADE,MUNICIPAL NLHAMANKULO,MUNICIPAL NLHAMANKULO,AEROPORTO " A ",ESCOLA PRIMÁRIA UNIDADE 19,1104504 .,800,301,32,189,0,0,0,0,1,0,2,0,2,527,2,3,532,268
MAPUTO CIDADE,MUNICIPAL NLHAMANKULO,MUNICIPAL NLHAMANKULO,AEROPORTO " A ",ESCOLA PRIMÁRIA UNIDADE 19,1104505 .,421,127,16,85,3,0,0,0,0,0,0,0,0,231,4,4,239,182
MAPUTO CIDADE,MUNICIPAL NLHAMANKULO,MUNICIPAL NLHAMANKULO,AEROPORTO"B",CAMPO DE FUTEBOL VICTÓRIA - RELENTO,1104301 .,800,232,25,229,1,1,3,0,0,0,0,0,0,491,10,23,524,276
MAPUTO CIDADE,MUNICIPAL NLHAMANKULO,MUNICIPAL NLHAMANKULO,AEROPORTO"B",CAMPO DE FUTEBOL VICTÓRIA - RELENTO,1104302 .,800,260,25,201,1,0,0,0,0,0,0,0,0,487,3,4,494,306
MAPUTO CIDADE,MUNICIPAL NLHAMANKULO,MUNICIPAL NLHAMANKULO,AEROPORTO"B",CAMPO DE FUTEBOL VICTÓRIA - RELENTO,1104303 .,800,233,21,205,1,1,0,1,0,0,0,0,0,462,9,4,475,325
MAPUTO CIDADE,MUNICIPAL NLHAMANKULO,MUNICIPAL NLHAMANKULO,AEROPORTO"B",CAMPO DE FUTEBOL VICTÓRIA - RELENTO,1104304 .,569,162,14,129,1,0,0,1,0,1,0,0,0,308,4,4,316,253
MAPUTO CIDADE,MUNICIPAL NLHAMANKULO,MUNICIPAL NLHAMANKULO,AEROPORTO"B",CENTRO COMUNIT. DO AEROPORTO "B",1104701 .,800,313,22,183,1,1,1,1,1,2,0,0,0,525,10,17,552,248
MAPUTO CIDADE,MUNICIPAL NLHAMANKULO,MUNICIPAL NLHAMANKULO,AEROPORTO"B",CENTRO COMUNIT. DO AEROPORTO "B",1104702 .,800,264,33,180,2,0,1,1,0,0,0,0,1,482,7,10,499,301
MAPUTO CIDADE,MUNICIPAL NLHAMANKULO,MUNICIPAL NLHAMANKULO,AEROPORTO"B",CENTRO COMUNIT. DO AEROPORTO "B",1104703 .,394,124,13,87,1,0,0,1,0,0,0,0,0,226,1,2,229,165
MAPUTO CIDADE,MUNICIPAL NLHAMANKULO,MUNICIPAL NLHAMANKULO,AEROPORTO"B",KAPENE,1104801 .,800,312,31,179,1,3,2,0,1,0,1,1,0,531,3,17,551,249
