Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,JPC,CAD,E-POVO,UE,PPPM,PVM,PASOMO,SCM,PDM,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
MAPUTO CIDADE,MUNICIPAL DE KATEMBE,MUNICIPAL KATEMBE,CHALI,CENTRO DE ALFABETIZAÇÃO DE ADULTOS,1117401 .,706,275,22,82,0,0,1,1,0,0,0,0,0,381,8,18,407,299
MAPUTO CIDADE,MUNICIPAL DE KATEMBE,MUNICIPAL KATEMBE,CHALI,ESCOLA PRIMÁRIA DE CATEMBE,1117501A .,400,191,25,79,0,0,0,1,0,0,0,0,0,296,2,6,304,96
MAPUTO CIDADE,MUNICIPAL DE KATEMBE,MUNICIPAL KATEMBE,CHALI,ESCOLA PRIMÁRIA DE CATEMBE,1117501B .,413,201,16,75,1,0,0,0,0,0,0,0,1,294,0,7,301,112
MAPUTO CIDADE,MUNICIPAL DE KATEMBE,MUNICIPAL KATEMBE,CHALI,ESCOLA PRIMÁRIA SAUL FILIPE TEMBE,1117301 .,800,370,28,103,6,1,0,1,0,0,0,0,1,510,10,19,539,261
MAPUTO CIDADE,MUNICIPAL DE KATEMBE,MUNICIPAL KATEMBE,CHALI,ESCOLA PRIMÁRIA SAUL FILIPE TEMBE,1117302A .,400,191,15,52,2,0,0,0,0,0,0,1,0,261,0,9,270,130
MAPUTO CIDADE,MUNICIPAL DE KATEMBE,MUNICIPAL KATEMBE,CHALI,ESCOLA PRIMÁRIA SAUL FILIPE TEMBE,1117302B .,477,208,21,60,2,0,0,0,0,0,0,0,0,291,6,6,303,174
MAPUTO CIDADE,MUNICIPAL DE KATEMBE,MUNICIPAL KATEMBE,CHALI,ESCOLA SECUNDÁRIA DA CATEMBE,1117601 .,800,381,35,110,3,1,0,2,0,0,0,0,0,532,10,8,550,250
MAPUTO CIDADE,MUNICIPAL DE KATEMBE,MUNICIPAL KATEMBE,CHALI,ESCOLA SECUNDÁRIA DA CATEMBE,1117602 .,204,108,7,31,1,0,0,0,1,0,0,0,0,148,2,3,153,51
MAPUTO CIDADE,MUNICIPAL DE KATEMBE,MUNICIPAL KATEMBE,CHAMISSAVA,ESCOLA PRIMÁRIA 10 DE JULHO,1118501 .,800,273,14,134,1,0,0,2,0,0,0,0,0,424,14,36,474,326
MAPUTO CIDADE,MUNICIPAL DE KATEMBE,MUNICIPAL KATEMBE,CHAMISSAVA,ESCOLA PRIMÁRIA 10 DE JULHO,1118502A .,400,130,10,76,0,1,0,0,0,0,0,0,1,218,2,2,222,178
MAPUTO CIDADE,MUNICIPAL DE KATEMBE,MUNICIPAL KATEMBE,CHAMISSAVA,ESCOLA PRIMÁRIA 10 DE JULHO,1118502B .,567,156,20,118,1,0,1,0,1,0,0,0,0,297,3,9,309,258
MAPUTO CIDADE,MUNICIPAL DE KATEMBE,MUNICIPAL KATEMBE,CHAMISSAVA,ESCOLA PRIMÁRIA DE CHAMISSAVA,1118401 .,800,360,23,128,0,1,0,0,1,0,0,0,0,513,12,21,546,254
MAPUTO CIDADE,MUNICIPAL DE KATEMBE,MUNICIPAL KATEMBE,CHAMISSAVA,ESCOLA PRIMÁRIA DE CHAMISSAVA,1118402A .,400,168,11,66,0,0,0,0,0,0,0,0,0,245,3,12,260,140
MAPUTO CIDADE,MUNICIPAL DE KATEMBE,MUNICIPAL KATEMBE,CHAMISSAVA,ESCOLA PRIMÁRIA DE CHAMISSAVA,1118402B .,603,233,21,87,0,0,0,0,0,0,2,0,0,343,5,11,359,244
MAPUTO CIDADE,MUNICIPAL DE KATEMBE,MUNICIPAL KATEMBE,GUACHENE,ESCOLA PRIMÁRIA DE GUACHENE,1117701 .,800,319,25,154,1,0,0,0,0,1,0,0,2,502,5,16,523,277
MAPUTO CIDADE,MUNICIPAL DE KATEMBE,MUNICIPAL KATEMBE,GUACHENE,ESCOLA PRIMÁRIA DE GUACHENE,1117702 .,800,344,27,106,2,0,1,0,1,0,1,0,0,482,3,9,494,306
MAPUTO CIDADE,MUNICIPAL DE KATEMBE,MUNICIPAL KATEMBE,GUACHENE,ESCOLA PRIMÁRIA DE GUACHENE,1117703 .,683,274,27,97,1,1,0,0,0,0,0,0,0,400,5,11,416,267
MAPUTO CIDADE,MUNICIPAL DE KATEMBE,MUNICIPAL KATEMBE,INGUIDE,ESCOLA COMERCIAL DE CATEMBE,1118201 .,531,234,47,41,1,0,0,0,0,0,0,1,0,324,7,14,345,186
MAPUTO CIDADE,MUNICIPAL DE KATEMBE,MUNICIPAL KATEMBE,INGUIDE,ESCOLA PRIM. COMPLETA DE INGUIDE,1118101 .,727,338,31,68,0,2,0,0,0,0,1,4,0,444,6,20,470,257
