"sep=,"
Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,PJDM,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
MAPUTO PROVÍNCIA,BOANE,BOANE-SEDE,EDUARDO MONDLANE,EDUARDO MONDLANE EXPANSÃO,1015302 .,91,46,4,20,0,70,3,0,73,18
MAPUTO PROVÍNCIA,BOANE,BOANE-SEDE,EDUARDO MONDLANE,EPC   7 DE ABRIL,1015703 .,780,408,13,71,1,493,5,10,508,272
MAPUTO PROVÍNCIA,BOANE,BOANE-SEDE,EDUARDO MONDLANE,EPC   AMBRÓSIO,1015601 .,301,159,6,13,1,179,5,10,194,107
MAPUTO PROVÍNCIA,BOANE,BOANE-SEDE,EDUARDO MONDLANE,EPC   MAHUBO KM 10,1015401 .,800,409,14,48,2,473,21,16,510,290
MAPUTO PROVÍNCIA,BOANE,BOANE-SEDE,EDUARDO MONDLANE,EPC   MAHUBO KM 10,1015402 .,232,77,3,12,0,92,6,3,101,131
MAPUTO PROVÍNCIA,BOANE,BOANE-SEDE,EDUARDO MONDLANE,EPC   MAHUBO KM 20,1015602 .,487,276,10,26,5,317,10,14,341,146
MAPUTO PROVÍNCIA,BOANE,BOANE-SEDE,EDUARDO MONDLANE,EPC   UMPALA,1015101 .,800,388,10,75,0,473,13,22,508,292
MAPUTO PROVÍNCIA,BOANE,BOANE-SEDE,EDUARDO MONDLANE,EPC   UMPALA,1015102 .,665,225,9,86,3,323,8,7,338,327
MAPUTO PROVÍNCIA,BOANE,BOANE-SEDE,EDUARDO MONDLANE,EPC  25 DE JUNHO,1015801 .,800,351,41,36,2,430,22,39,491,309
MAPUTO PROVÍNCIA,BOANE,BOANE-SEDE,EDUARDO MONDLANE,EPC  25 DE JUNHO,1015802 .,561,181,27,38,0,246,2,11,259,302
MAPUTO PROVÍNCIA,BOANE,BOANE-SEDE,EDUARDO MONDLANE,EPC  MAHANHANE,1016101 .,800,462,14,47,5,528,17,42,587,213
MAPUTO PROVÍNCIA,BOANE,BOANE-SEDE,EDUARDO MONDLANE,EPC  MAHANHANE,1016102 .,209,81,5,14,0,100,1,9,110,99
MAPUTO PROVÍNCIA,BOANE,BOANE-SEDE,EDUARDO MONDLANE,EPC  MAHUBO KM 14,1015501 .,800,414,12,58,0,484,6,16,506,294
MAPUTO PROVÍNCIA,BOANE,BOANE-SEDE,EDUARDO MONDLANE,EPC  MAHUBO KM 14,1015502 .,350,170,5,22,2,199,2,7,208,142
MAPUTO PROVÍNCIA,BOANE,BOANE-SEDE,EDUARDO MONDLANE,EPC  MASSACA 1,1015901 .,800,373,15,69,1,458,17,36,511,289
MAPUTO PROVÍNCIA,BOANE,BOANE-SEDE,EDUARDO MONDLANE,EPC  MASSACA 1,1015902 .,800,337,27,68,1,433,13,18,464,336
MAPUTO PROVÍNCIA,BOANE,BOANE-SEDE,EDUARDO MONDLANE,EPC  MASSACA 1,1015903 .,800,310,21,68,0,399,6,19,424,376
MAPUTO PROVÍNCIA,BOANE,BOANE-SEDE,EDUARDO MONDLANE,EPC  MASSACA 1,1015904 .,800,322,34,62,3,421,5,21,447,353
MAPUTO PROVÍNCIA,BOANE,BOANE-SEDE,EDUARDO MONDLANE,EPC  MASSACA 1,1015905 .,438,137,13,36,1,187,2,10,199,239
MAPUTO PROVÍNCIA,BOANE,BOANE-SEDE,EDUARDO MONDLANE,EPC  MASSACA 2,1016001 .,800,329,48,70,8,455,11,20,486,314
MAPUTO PROVÍNCIA,BOANE,BOANE-SEDE,EDUARDO MONDLANE,EPC  MASSACA 2,1016002 .,706,248,67,61,1,377,11,15,403,303
MAPUTO PROVÍNCIA,BOANE,BOANE-SEDE,EDUARDO MONDLANE,EPC  SALDANHA,1015004 .,277,138,9,23,1,171,11,9,191,86
MAPUTO PROVÍNCIA,BOANE,BOANE-SEDE,EDUARDO MONDLANE,EPC ANTIGOS COMBATENTES,1015201 .,800,453,19,55,3,530,10,15,555,245
MAPUTO PROVÍNCIA,BOANE,BOANE-SEDE,EDUARDO MONDLANE,EPC ANTIGOS COMBATENTES,1015202A .,400,224,10,28,2,264,10,6,280,120
MAPUTO PROVÍNCIA,BOANE,BOANE-SEDE,EDUARDO MONDLANE,EPC ANTIGOS COMBATENTES,1015202B .,525,253,15,45,0,313,6,16,335,190
MAPUTO PROVÍNCIA,BOANE,BOANE-SEDE,EDUARDO MONDLANE,EPC BARRAGEM DOS PEQUENOS LIBOMBOS,1015702 .,287,153,5,25,1,184,7,4,195,92
MAPUTO PROVÍNCIA,BOANE,BOANE-SEDE,EDUARDO MONDLANE,EPC MANZINHO,1015701 .,540,296,10,49,5,360,14,13,387,153
MAPUTO PROVÍNCIA,BOANE,BOANE-SEDE,EDUARDO MONDLANE,MAHUBO KM 18,1015301 .,170,82,8,16,1,107,11,8,126,44
MAPUTO PROVÍNCIA,BOANE,BOANE-SEDE,EDUARDO MONDLANE,MANGUIZA,1015003 .,166,83,27,10,0,120,3,1,124,42
MAPUTO PROVÍNCIA,BOANE,BOANE-SEDE,EDUARDO MONDLANE,POVOAÇÃO GIMO,1015001A .,400,205,12,35,1,253,14,16,283,117
MAPUTO PROVÍNCIA,BOANE,BOANE-SEDE,EDUARDO MONDLANE,POVOAÇÃO GIMO,1015001B .,546,243,14,51,0,308,5,8,321,225
MAPUTO PROVÍNCIA,BOANE,BOANE-SEDE,EDUARDO MONDLANE,SALAS ANEXAS DA EPC SALDANHA,1015303 .,210,115,3,14,0,132,9,1,142,68
MAPUTO PROVÍNCIA,BOANE,BOANE-SEDE,GUEGUEGUE,BAIRRO 2,1013801 .,800,385,12,118,0,515,13,16,544,256
MAPUTO PROVÍNCIA,BOANE,BOANE-SEDE,GUEGUEGUE,BAIRRO 2,1013802 .,428,177,8,59,1,245,6,6,257,171
MAPUTO PROVÍNCIA,BOANE,BOANE-SEDE,GUEGUEGUE,BELO HORIZONTE 3,1014501 .,502,82,6,102,0,190,9,4,203,299
MAPUTO PROVÍNCIA,BOANE,BOANE-SEDE,GUEGUEGUE,EP1  JOSÉ MACAMO,1013901 .,800,343,25,145,1,514,9,17,540,260
MAPUTO PROVÍNCIA,BOANE,BOANE-SEDE,GUEGUEGUE,EP1  JOSÉ MACAMO,1013902 .,800,341,27,149,3,520,3,5,528,272
MAPUTO PROVÍNCIA,BOANE,BOANE-SEDE,GUEGUEGUE,EP1  JOSÉ MACAMO,1013903 .,568,228,19,96,1,344,3,6,353,215
MAPUTO PROVÍNCIA,BOANE,BOANE-SEDE,GUEGUEGUE,EPC   19 DE OUTUBRO,1014301 .,755,280,13,51,3,347,19,25,391,364
MAPUTO PROVÍNCIA,BOANE,BOANE-SEDE,GUEGUEGUE,EPC   CENTRO PILOTO,1013803 .,418,192,14,51,5,262,4,4,270,148
