"sep=,"
Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,CAD,PJDM,E-POVO,PVM,PDM,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,"'1º DE MAIO, Q. 52 - CAJUEIRO'",1012001 .,800,239,18,263,0,1,1,0,0,522,9,8,539,261
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,"'1º DE MAIO, Q. 52 - CAJUEIRO'",1012002 .,800,227,20,224,0,1,0,0,0,472,7,17,496,304
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,"'1º DE MAIO, Q. 52 - CAJUEIRO'",1012003 .,800,207,17,206,0,1,0,0,0,431,2,15,448,352
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,"'1º DE MAIO, Q. 52 - CAJUEIRO'",1012004 .,800,198,16,238,0,0,0,0,1,453,5,29,487,313
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,"'1º DE MAIO, Q. 52 - CAJUEIRO'",1012005 .,800,205,19,216,0,1,0,0,0,441,0,3,444,356
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,"'1º DE MAIO, Q. 52 - CAJUEIRO'",1012006A .,400,99,11,127,0,0,0,0,0,237,3,4,244,156
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,"'1º DE MAIO, Q. 52 - CAJUEIRO'",1012006B .,434,109,9,113,0,0,0,0,1,232,1,4,237,197
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,"'1º DE MAIO, Q. 61 - CAMPO'",1012101 .,800,219,23,238,0,0,1,0,0,481,3,15,499,301
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,"'1º DE MAIO, Q. 61 - CAMPO'",1012102 .,800,200,21,220,0,1,0,0,0,442,3,12,457,343
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,"'1º DE MAIO, Q. 61 - CAMPO'",1012103 .,800,194,19,205,0,0,0,0,0,418,2,23,443,357
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,"'1º DE MAIO, Q. 61 - CAMPO'",1012104 .,420,100,7,93,0,0,0,0,0,200,6,8,214,206
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,"'BOQUISSO, Q. 5 - CANHOEIRO'",1013101 .,800,193,15,201,1,0,1,0,0,411,3,6,420,380
