"sep=,"
Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
MAPUTO PROVÍNCIA,MANHIÇA,MANHIÇA SEDE,MACIANA,ACAMPAMENTO Nº 4,1018903 .,471,224,13,48,285,10,13,308,163
MAPUTO PROVÍNCIA,MANHIÇA,MANHIÇA SEDE,MACIANA,EP1 MALUNGANA,1018902 .,253,134,12,23,169,3,5,177,76
MAPUTO PROVÍNCIA,MANHIÇA,MANHIÇA SEDE,MACIANA,EP2 MANHIÇA,1018901 .,698,225,71,74,370,13,21,404,294
MAPUTO PROVÍNCIA,MANHIÇA,MANHIÇA SEDE,MACIANA,EPC CAMBEVE,1019201 .,800,364,46,79,489,11,26,526,274
MAPUTO PROVÍNCIA,MANHIÇA,MANHIÇA SEDE,MACIANA,EPC CAMBEVE,1019202A .,400,142,24,41,207,3,8,218,182
MAPUTO PROVÍNCIA,MANHIÇA,MANHIÇA SEDE,MACIANA,EPC CAMBEVE,1019202B .,415,136,31,49,216,3,12,231,184
MAPUTO PROVÍNCIA,MANHIÇA,MANHIÇA SEDE,MACIANA,EPC CHIBUTUTUINE,1019101 .,800,327,27,101,455,14,11,480,320
MAPUTO PROVÍNCIA,MANHIÇA,MANHIÇA SEDE,MACIANA,EPC CHIBUTUTUINE,1019102 .,800,249,25,91,365,8,5,378,422
MAPUTO PROVÍNCIA,MANHIÇA,MANHIÇA SEDE,MACIANA,EPC CHIBUTUTUINE,1019103 .,531,124,16,51,191,3,5,199,332
MAPUTO PROVÍNCIA,MANHIÇA,MANHIÇA SEDE,MACIANA,EPC EDUARDO MONDLANE,1019303A .,400,167,19,30,216,8,19,243,157
MAPUTO PROVÍNCIA,MANHIÇA,MANHIÇA SEDE,MACIANA,EPC EDUARDO MONDLANE,1019303B .,497,165,20,50,235,2,22,259,238
MAPUTO PROVÍNCIA,MANHIÇA,MANHIÇA SEDE,MACIANA,EPC MACHAVANHANE,1019302 .,253,109,7,15,131,4,5,140,113
MAPUTO PROVÍNCIA,MANHIÇA,MANHIÇA SEDE,MACIANA,EPC MACIANA,1019001 .,800,387,38,74,499,28,50,577,223
MAPUTO PROVÍNCIA,MANHIÇA,MANHIÇA SEDE,MACIANA,EPC MACIANA,1019002 .,800,352,40,86,478,11,32,521,279
MAPUTO PROVÍNCIA,MANHIÇA,MANHIÇA SEDE,MACIANA,EPC MACIANA,1019003 .,800,325,32,102,459,13,26,498,302
