"sep=,"
Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,ANRAN,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
MAPUTO PROVÍNCIA,NAMAACHA,NAMAACHA-SEDE  ,KALA-KALA,BEMASSANGO,1024201 .,28,26,1,2,1,30,0,0,30,-2
MAPUTO PROVÍNCIA,NAMAACHA,NAMAACHA-SEDE  ,KALA-KALA,EP1 CHIMUCHUANINE,1024301 .,567,346,13,33,12,404,4,13,421,146
MAPUTO PROVÍNCIA,NAMAACHA,NAMAACHA-SEDE  ,KALA-KALA,EP1 GERMANTINE,1024302 .,218,108,15,25,2,150,1,2,153,65
MAPUTO PROVÍNCIA,NAMAACHA,NAMAACHA-SEDE  ,KALA-KALA,EP1 MACUACUA,1024203 .,223,130,3,9,1,143,6,4,153,70
MAPUTO PROVÍNCIA,NAMAACHA,NAMAACHA-SEDE  ,KALA-KALA,EP1 MATIANINE A,1024002 .,413,259,2,6,13,280,11,14,305,108
MAPUTO PROVÍNCIA,NAMAACHA,NAMAACHA-SEDE  ,KALA-KALA,EPC COCOMELA,1024001 .,555,306,9,30,6,351,5,7,363,192
MAPUTO PROVÍNCIA,NAMAACHA,NAMAACHA-SEDE  ,KALA-KALA,EPC MUGADO,1023901 .,800,446,19,67,29,561,7,26,594,206
MAPUTO PROVÍNCIA,NAMAACHA,NAMAACHA-SEDE  ,KALA-KALA,EPC MUGADO,1023902 .,800,407,20,46,22,495,3,22,520,280
MAPUTO PROVÍNCIA,NAMAACHA,NAMAACHA-SEDE  ,KALA-KALA,EPC MUGADO,1023903 .,800,444,10,44,29,527,4,15,546,254
MAPUTO PROVÍNCIA,NAMAACHA,NAMAACHA-SEDE  ,KALA-KALA,EPC MUGADO,1023904 .,800,421,19,65,32,537,7,9,553,247
MAPUTO PROVÍNCIA,NAMAACHA,NAMAACHA-SEDE  ,KALA-KALA,EPC MUGADO,1023905 .,800,404,16,48,27,495,4,13,512,288
MAPUTO PROVÍNCIA,NAMAACHA,NAMAACHA-SEDE  ,KALA-KALA,EPC MUGADO,1023906 .,740,264,13,49,15,341,6,12,359,381
MAPUTO PROVÍNCIA,NAMAACHA,NAMAACHA-SEDE  ,KALA-KALA,ESCOLA COMUNITÁRIA MARIA AUXILIADORA,1024101 .,800,433,24,66,15,538,7,19,564,236
MAPUTO PROVÍNCIA,NAMAACHA,NAMAACHA-SEDE  ,KALA-KALA,ESCOLA COMUNITÁRIA MARIA AUXILIADORA,1024102 .,800,424,24,51,9,508,5,16,529,271
MAPUTO PROVÍNCIA,NAMAACHA,NAMAACHA-SEDE  ,KALA-KALA,ESCOLA COMUNITÁRIA MARIA AUXILIADORA,1024103A .,400,201,12,23,5,241,2,7,250,150
MAPUTO PROVÍNCIA,NAMAACHA,NAMAACHA-SEDE  ,KALA-KALA,ESCOLA COMUNITÁRIA MARIA AUXILIADORA,1024103B .,412,201,19,33,2,255,4,4,263,149
MAPUTO PROVÍNCIA,NAMAACHA,NAMAACHA-SEDE  ,KALA-KALA,LIVEVENE,1024202 .,69,43,2,2,0,47,2,0,49,20
