Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,AMUSI,PLDS,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
NAMPULA,ANGOCHE,ANGOCHE,ANGOCHE-SEDE,AEROPORTO,0308601 .,800,305,10,164,3,11,493,17,40,550,250
NAMPULA,ANGOCHE,ANGOCHE,ANGOCHE-SEDE,AEROPORTO,0308602 .,800,168,5,155,4,13,345,29,24,398,402
NAMPULA,ANGOCHE,ANGOCHE,ANGOCHE-SEDE,AEROPORTO,0308603 .,800,108,15,181,6,11,321,36,17,374,426
NAMPULA,ANGOCHE,ANGOCHE,ANGOCHE-SEDE,AEROPORTO,0308604 .,748,109,11,155,10,21,306,13,8,327,421
NAMPULA,ANGOCHE,ANGOCHE,ANGOCHE-SEDE,EP1 - NANTHANGALA               ,0308903A .,436,72,7,71,3,3,156,22,13,191,245
NAMPULA,ANGOCHE,ANGOCHE,ANGOCHE-SEDE,EP1 - NANTHANGALA               ,0308903B .,435,92,12,78,1,4,187,12,16,215,220
NAMPULA,ANGOCHE,ANGOCHE,ANGOCHE-SEDE,EPC - EDUARDO MONDLANE,0308501 .,800,346,10,154,6,12,528,8,14,550,250
NAMPULA,ANGOCHE,ANGOCHE,ANGOCHE-SEDE,EPC - EDUARDO MONDLANE,0308502 .,800,298,21,192,4,11,526,16,17,559,241
NAMPULA,ANGOCHE,ANGOCHE,ANGOCHE-SEDE,EPC - EDUARDO MONDLANE,0308503 .,800,274,15,198,3,17,507,16,10,533,267
NAMPULA,ANGOCHE,ANGOCHE,ANGOCHE-SEDE,EPC - EDUARDO MONDLANE,0308504 .,800,172,18,223,2,13,428,19,13,460,340
NAMPULA,ANGOCHE,ANGOCHE,ANGOCHE-SEDE,EPC - EDUARDO MONDLANE,0308505 .,800,186,14,219,7,9,435,14,7,456,344
NAMPULA,ANGOCHE,ANGOCHE,ANGOCHE-SEDE,EPC - EDUARDO MONDLANE,0308506 .,800,187,8,185,9,9,398,3,44,445,355
NAMPULA,ANGOCHE,ANGOCHE,ANGOCHE-SEDE,EPC - EDUARDO MONDLANE,0308507 .,800,132,10,227,6,8,383,10,12,405,395
NAMPULA,ANGOCHE,ANGOCHE,ANGOCHE-SEDE,EPC - EDUARDO MONDLANE,0308508 .,479,101,11,102,2,6,222,7,6,235,244
NAMPULA,ANGOCHE,ANGOCHE,ANGOCHE-SEDE,EPC - INGÚRI,0308201 .,800,199,16,334,6,7,562,5,61,628,172
NAMPULA,ANGOCHE,ANGOCHE,ANGOCHE-SEDE,EPC - INGÚRI,0308202 .,800,197,18,338,7,10,570,11,21,602,198
NAMPULA,ANGOCHE,ANGOCHE,ANGOCHE-SEDE,EPC - INGÚRI,0308203 .,800,199,26,326,3,11,565,12,45,622,178
NAMPULA,ANGOCHE,ANGOCHE,ANGOCHE-SEDE,EPC - INGÚRI,0308204 .,800,170,21,326,3,10,530,9,35,574,226
NAMPULA,ANGOCHE,ANGOCHE,ANGOCHE-SEDE,EPC - INGÚRI,0308205 .,800,149,26,347,3,6,531,8,22,561,239
NAMPULA,ANGOCHE,ANGOCHE,ANGOCHE-SEDE,EPC - INGÚRI,0308206 .,800,194,24,321,4,5,548,21,7,576,224
NAMPULA,ANGOCHE,ANGOCHE,ANGOCHE-SEDE,EPC - INGÚRI,0308207A .,403,69,11,153,1,0,234,14,21,269,134
NAMPULA,ANGOCHE,ANGOCHE,ANGOCHE-SEDE,EPC - INGÚRI,0308207B .,403,76,19,154,4,3,256,4,9,269,134
NAMPULA,ANGOCHE,ANGOCHE,ANGOCHE-SEDE,EPC - MURRUA,0308801 .,800,153,21,237,14,11,436,40,32,508,292
NAMPULA,ANGOCHE,ANGOCHE,ANGOCHE-SEDE,EPC - MURRUA,0308802 .,800,152,35,147,17,9,360,21,40,421,379
