Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,AMUSI,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
NAMPULA,ILHA DE MOÇAMBIQUE,ILHA DE MOÇ.,ILHA DE MOÇ.-SEDE,EPC - 16 DE JUNHO,0314701 .,800,303,12,251,6,572,8,9,589,211
NAMPULA,ILHA DE MOÇAMBIQUE,ILHA DE MOÇ.,ILHA DE MOÇ.-SEDE,EPC - 16 DE JUNHO,0314702 .,800,265,9,249,4,527,9,10,546,254
NAMPULA,ILHA DE MOÇAMBIQUE,ILHA DE MOÇ.,ILHA DE MOÇ.-SEDE,EPC - 16 DE JUNHO,0314703 .,800,224,14,254,0,492,4,8,504,296
NAMPULA,ILHA DE MOÇAMBIQUE,ILHA DE MOÇ.,ILHA DE MOÇ.-SEDE,EPC - 16 DE JUNHO,0314704 .,342,91,8,98,2,199,3,3,205,137
NAMPULA,ILHA DE MOÇAMBIQUE,ILHA DE MOÇ.,ILHA DE MOÇ.-SEDE,NÁLIA,0313401 .,800,215,2,220,3,440,2,79,521,279
NAMPULA,ILHA DE MOÇAMBIQUE,ILHA DE MOÇ.,ILHA DE MOÇ.-SEDE,NÁLIA,0313402 .,800,192,7,327,2,528,15,49,592,208
NAMPULA,ILHA DE MOÇAMBIQUE,ILHA DE MOÇ.,ILHA DE MOÇ.-SEDE,NÁLIA,0313403 .,800,174,5,311,1,491,22,36,549,251
NAMPULA,ILHA DE MOÇAMBIQUE,ILHA DE MOÇ.,ILHA DE MOÇ.-SEDE,NÁLIA,0313404A .,446,91,5,182,3,281,5,7,293,153
NAMPULA,ILHA DE MOÇAMBIQUE,ILHA DE MOÇ.,ILHA DE MOÇ.-SEDE,NÁLIA,0313404B .,446,98,3,176,4,281,2,3,286,160
NAMPULA,ILHA DE MOÇAMBIQUE,LUMBO,LUMBO,BAIRRO 16 DE JUNHO,0313301 .,800,187,28,240,5,460,23,31,514,286
NAMPULA,ILHA DE MOÇAMBIQUE,LUMBO,LUMBO,BAIRRO 16 DE JUNHO,0313302 .,800,127,25,226,9,387,11,15,413,387
NAMPULA,ILHA DE MOÇAMBIQUE,LUMBO,LUMBO,BAIRRO 16 DE JUNHO,0313303 .,800,135,27,195,7,364,10,9,383,417
NAMPULA,ILHA DE MOÇAMBIQUE,LUMBO,LUMBO,BAIRRO 16 DE JUNHO,0313304 .,456,50,10,118,0,178,2,6,186,270
NAMPULA,ILHA DE MOÇAMBIQUE,LUMBO,LUMBO,CENTRO AEA - SANCULO,0314501 .,800,118,94,160,3,375,42,23,440,360
NAMPULA,ILHA DE MOÇAMBIQUE,LUMBO,LUMBO,CENTRO AEA - SANCULO,0314502 .,800,71,97,163,3,334,17,13,364,436
NAMPULA,ILHA DE MOÇAMBIQUE,LUMBO,LUMBO,CENTRO AEA - SANCULO,0314503A .,467,34,35,61,0,130,8,39,177,290
NAMPULA,ILHA DE MOÇAMBIQUE,LUMBO,LUMBO,CENTRO AEA - SANCULO,0314503B .,333,69,27,84,2,182,0,2,184,149
NAMPULA,ILHA DE MOÇAMBIQUE,LUMBO,LUMBO,EP1 - AMPAPA,0313801A .,516,64,23,59,3,149,4,69,222,294
NAMPULA,ILHA DE MOÇAMBIQUE,LUMBO,LUMBO,EP1 - AMPAPA,0313801B .,516,56,45,78,0,179,7,16,202,314
NAMPULA,ILHA DE MOÇAMBIQUE,LUMBO,LUMBO,EP1 - AMPITE,0314401A .,469,73,31,111,19,234,15,8,257,212
NAMPULA,ILHA DE MOÇAMBIQUE,LUMBO,LUMBO,EP1 - AMPITE,0314401B .,469,78,26,115,14,233,14,4,251,218
NAMPULA,ILHA DE MOÇAMBIQUE,LUMBO,LUMBO,EP1 - ENTETE,0314101 .,800,140,116,128,9,393,44,20,457,343
NAMPULA,ILHA DE MOÇAMBIQUE,LUMBO,LUMBO,EP1 - ENTETE,0314102A .,495,66,46,71,5,188,14,8,210,285
NAMPULA,ILHA DE MOÇAMBIQUE,LUMBO,LUMBO,EP1 - ENTETE,0314102B .,494,85,35,62,4,186,22,9,217,277
