Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,AMUSI,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
NAMPULA,MALEMA,CANHUNHA,MALEMA - SEDE,EP1-MICHECHE,0326703 .,500,103,27,70,2,202,7,5,214,286
NAMPULA,MALEMA,CANHUNHA,MALEMA - SEDE,EP1-NAMUTIRO,0326701 .,800,148,39,100,2,289,22,8,319,481
NAMPULA,MALEMA,CANHUNHA,MALEMA - SEDE,EP1-NAMUTIRO,0326702 .,711,97,33,89,5,224,3,0,227,484
NAMPULA,MALEMA,CANHUNHA,MALEMA - SEDE,EPC  - PUIRIRI (INTHUIRI),0326201 .,800,126,43,69,3,241,31,11,283,517
NAMPULA,MALEMA,CANHUNHA,MALEMA - SEDE,EPC  - PUIRIRI (INTHUIRI),0326202 .,800,62,19,30,2,113,4,3,120,680
NAMPULA,MALEMA,CANHUNHA,MALEMA - SEDE,EPC  - PUIRIRI (INTHUIRI),0326203 .,385,20,12,10,3,45,0,1,46,339
NAMPULA,MALEMA,CANHUNHA,MALEMA - SEDE,EPC  25  DE JUNHO,0326001 .,800,237,37,208,7,489,8,15,512,288
NAMPULA,MALEMA,CANHUNHA,MALEMA - SEDE,EPC  25  DE JUNHO,0326002 .,800,179,39,222,7,447,8,7,462,338
NAMPULA,MALEMA,CANHUNHA,MALEMA - SEDE,EPC  25  DE JUNHO,0326003 .,800,145,39,185,4,373,11,15,399,401
NAMPULA,MALEMA,CANHUNHA,MALEMA - SEDE,EPC  25  DE JUNHO,0326004 .,800,126,33,160,2,321,11,6,338,462
NAMPULA,MALEMA,CANHUNHA,MALEMA - SEDE,EPC  25  DE JUNHO,0326005 .,755,112,17,162,6,297,5,10,312,443
NAMPULA,MALEMA,CANHUNHA,MALEMA - SEDE,EPC - 19 DE OUTUBRO,0326101 .,800,160,26,195,8,389,18,15,422,378
NAMPULA,MALEMA,CANHUNHA,MALEMA - SEDE,EPC - 19 DE OUTUBRO,0326102 .,800,146,19,140,5,310,7,16,333,467
NAMPULA,MALEMA,CANHUNHA,MALEMA - SEDE,EPC - 19 DE OUTUBRO,0326103 .,800,89,17,151,3,260,11,6,277,523
NAMPULA,MALEMA,CANHUNHA,MALEMA - SEDE,EPC - 19 DE OUTUBRO,0326104 .,800,93,10,110,6,219,4,2,225,575
NAMPULA,MALEMA,CANHUNHA,MALEMA - SEDE,EPC - 19 DE OUTUBRO,0326105 .,314,21,7,62,2,92,3,5,100,214
NAMPULA,MALEMA,CANHUNHA,MALEMA - SEDE,EPC - CANHUNHA,0326301 .,800,114,25,141,10,290,14,12,316,484
NAMPULA,MALEMA,CANHUNHA,MALEMA - SEDE,EPC - CANHUNHA,0326302 .,800,77,12,80,7,176,8,2,186,614
NAMPULA,MALEMA,CANHUNHA,MALEMA - SEDE,EPC - CANHUNHA,0326303 .,800,42,14,77,2,135,6,3,144,656
NAMPULA,MALEMA,CANHUNHA,MALEMA - SEDE,EPC - CANHUNHA,0326304A .,408,17,7,21,1,46,0,0,46,362
NAMPULA,MALEMA,CANHUNHA,MALEMA - SEDE,EPC - CANHUNHA,0326304B .,407,14,6,30,1,51,1,2,54,353
NAMPULA,MALEMA,CANHUNHA,MALEMA - SEDE,EPC - EWILI (MUCUASSULA),0326401 .,800,60,9,172,7,248,19,8,275,525
