Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,AMUSI,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
NAMPULA,MONAPO,MONAPO-SEDE,VILA DE MONAPO,EP1 - MULUTINE,0314901 .,800,208,13,284,4,509,18,23,550,250
NAMPULA,MONAPO,MONAPO-SEDE,VILA DE MONAPO,EP1 - MULUTINE,0314902 .,800,214,12,235,9,470,21,19,510,290
NAMPULA,MONAPO,MONAPO-SEDE,VILA DE MONAPO,EP1 - MULUTINE,0314903 .,800,206,6,213,9,434,44,41,519,281
NAMPULA,MONAPO,MONAPO-SEDE,VILA DE MONAPO,EP1 - MULUTINE,0314904 .,800,164,15,192,3,374,28,28,430,370
NAMPULA,MONAPO,MONAPO-SEDE,VILA DE MONAPO,EP1 - MULUTINE,0314905 .,800,150,9,228,8,395,27,35,457,343
NAMPULA,MONAPO,MONAPO-SEDE,VILA DE MONAPO,EP1 - MULUTINE,0314906 .,800,138,11,195,6,350,21,9,380,420
NAMPULA,MONAPO,MONAPO-SEDE,VILA DE MONAPO,EP1 - MULUTINE,0314907 .,800,188,15,212,4,419,13,6,438,362
NAMPULA,MONAPO,MONAPO-SEDE,VILA DE MONAPO,EP1 - MULUTINE,0314908 .,800,146,8,211,5,370,11,9,390,410
NAMPULA,MONAPO,MONAPO-SEDE,VILA DE MONAPO,EP1 - MULUTINE,0314909 .,360,58,7,96,3,164,6,5,175,185
NAMPULA,MONAPO,MONAPO-SEDE,VILA DE MONAPO,EP1 - NAMALUCO,0315101 .,800,221,15,196,13,445,58,17,520,280
NAMPULA,MONAPO,MONAPO-SEDE,VILA DE MONAPO,EP1 - NAMALUCO,0315102 .,800,91,7,146,17,261,33,23,317,483
NAMPULA,MONAPO,MONAPO-SEDE,VILA DE MONAPO,EP1 - NAMALUCO,0315103 .,794,108,15,109,6,238,23,13,274,520
NAMPULA,MONAPO,MONAPO-SEDE,VILA DE MONAPO,EP1 - TAPALALA,0315701 .,800,89,11,182,13,295,103,32,430,370
NAMPULA,MONAPO,MONAPO-SEDE,VILA DE MONAPO,EP1 - TAPALALA,0315702 .,800,47,8,138,5,198,23,10,231,569
NAMPULA,MONAPO,MONAPO-SEDE,VILA DE MONAPO,EP1 - TAPALALA,0315703 .,300,24,3,22,1,50,0,13,63,237
NAMPULA,MONAPO,MONAPO-SEDE,VILA DE MONAPO,EPC - CARAPIRA,0332301 .,800,207,20,199,14,440,30,11,481,319
NAMPULA,MONAPO,MONAPO-SEDE,VILA DE MONAPO,EPC - CARAPIRA,0332302 .,800,169,18,191,9,387,37,14,438,362
NAMPULA,MONAPO,MONAPO-SEDE,VILA DE MONAPO,EPC - CARAPIRA,0332303 .,800,161,11,138,9,319,22,43,384,416
NAMPULA,MONAPO,MONAPO-SEDE,VILA DE MONAPO,EPC - CARAPIRA,0332304 .,800,138,14,165,10,327,34,25,386,414
NAMPULA,MONAPO,MONAPO-SEDE,VILA DE MONAPO,EPC - CARAPIRA,0332305 .,800,130,16,152,10,308,12,9,329,471
