Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,AMUSI,PLDS,CEANA,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
NAMPULA,NACALA-PORTO,MAIAIA,MAIAIA,EPC - 25 DE SETEMBRO,0319901 .,800,163,17,311,7,2,1,501,20,26,547,253
NAMPULA,NACALA-PORTO,MAIAIA,MAIAIA,EPC - 25 DE SETEMBRO,0319902 .,800,158,23,292,4,1,1,479,20,25,524,276
NAMPULA,NACALA-PORTO,MAIAIA,MAIAIA,EPC - 25 DE SETEMBRO,0319903 .,800,190,13,278,3,5,0,489,12,14,515,285
NAMPULA,NACALA-PORTO,MAIAIA,MAIAIA,EPC - 25 DE SETEMBRO,0319904 .,800,170,14,259,2,1,0,446,5,39,490,310
NAMPULA,NACALA-PORTO,MAIAIA,MAIAIA,EPC - 25 DE SETEMBRO,0319905 .,800,168,17,256,6,0,0,447,21,20,488,312
NAMPULA,NACALA-PORTO,MAIAIA,MAIAIA,EPC - 25 DE SETEMBRO,0319906 .,800,178,19,261,3,1,1,463,9,9,481,319
NAMPULA,NACALA-PORTO,MAIAIA,MAIAIA,EPC - 25 DE SETEMBRO,0319907 .,800,141,9,246,1,3,2,402,15,8,425,375
NAMPULA,NACALA-PORTO,MAIAIA,MAIAIA,EPC - 25 DE SETEMBRO,0319908 .,710,120,9,193,3,1,2,328,12,31,371,339
NAMPULA,NACALA-PORTO,MAIAIA,MAIAIA,EPC - 25 DE SETEMBRO,0335502 .,575,89,6,172,1,0,2,270,10,4,284,291
NAMPULA,NACALA-PORTO,MAIAIA,MAIAIA,EPC - 7 DE ABRIL,0319701 .,800,257,14,283,2,2,0,558,4,12,574,226
NAMPULA,NACALA-PORTO,MAIAIA,MAIAIA,EPC - 7 DE ABRIL,0319702 .,800,240,9,257,2,0,0,508,16,15,539,261
NAMPULA,NACALA-PORTO,MAIAIA,MAIAIA,EPC - 7 DE ABRIL,0319703 .,800,222,19,278,5,2,0,526,13,12,551,249
NAMPULA,NACALA-PORTO,MAIAIA,MAIAIA,EPC - 7 DE ABRIL,0319704 .,800,240,18,229,2,1,1,491,5,11,507,293
NAMPULA,NACALA-PORTO,MAIAIA,MAIAIA,EPC - 7 DE ABRIL,0319705 .,800,234,16,241,0,0,0,491,14,11,516,284
NAMPULA,NACALA-PORTO,MAIAIA,MAIAIA,EPC - 7 DE ABRIL,0319706 .,800,211,15,275,6,1,0,508,9,7,524,276
NAMPULA,NACALA-PORTO,MAIAIA,MAIAIA,EPC - 7 DE ABRIL,0319707 .,800,222,18,256,2,0,0,498,6,7,511,289
