Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,AMUSI,PAHUMO,MAMO,AMAJPS,PLDS,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
NAMPULA,NAMPULA,URBANO CENTRAL,URBANO CENTRAL,CAMPO DE MADJEDJE,0300701 .,800,409,15,172,2,0,1,0,2,601,9,28,638,162
NAMPULA,NAMPULA,URBANO CENTRAL,URBANO CENTRAL,CAMPO DE MADJEDJE,0300702 .,800,356,20,181,3,0,0,2,2,564,8,8,580,220
NAMPULA,NAMPULA,URBANO CENTRAL,URBANO CENTRAL,CAMPO DE MADJEDJE,0300703 .,800,405,25,161,2,0,0,1,1,595,10,11,616,184
NAMPULA,NAMPULA,URBANO CENTRAL,URBANO CENTRAL,CAMPO DE MADJEDJE,0300704 .,800,368,24,173,1,0,0,1,1,568,4,3,575,225
NAMPULA,NAMPULA,URBANO CENTRAL,URBANO CENTRAL,CAMPO DE MADJEDJE,0300705 .,800,313,13,192,1,0,0,0,2,521,4,3,528,272
NAMPULA,NAMPULA,URBANO CENTRAL,URBANO CENTRAL,CAMPO DE MADJEDJE,0300706 .,800,341,13,165,1,0,0,0,2,522,7,2,531,269
NAMPULA,NAMPULA,URBANO CENTRAL,URBANO CENTRAL,CAMPO DE MADJEDJE,0300707 .,460,164,12,134,2,0,0,0,0,312,4,7,323,137
NAMPULA,NAMPULA,URBANO CENTRAL,URBANO CENTRAL,EP1/2 - DOS LIMOEIROS,0300401 .,800,273,17,279,4,0,0,1,8,582,2,5,589,211
NAMPULA,NAMPULA,URBANO CENTRAL,URBANO CENTRAL,EP1/2 - DOS LIMOEIROS,0300402 .,800,264,19,276,2,1,0,2,10,574,8,9,591,209
NAMPULA,NAMPULA,URBANO CENTRAL,URBANO CENTRAL,EP1/2 - DOS LIMOEIROS,0300403 .,800,239,37,284,2,1,0,0,8,571,3,12,586,214
NAMPULA,NAMPULA,URBANO CENTRAL,URBANO CENTRAL,EP1/2 - DOS LIMOEIROS,0300404 .,800,260,29,291,4,0,0,0,4,588,4,7,599,201
NAMPULA,NAMPULA,URBANO CENTRAL,URBANO CENTRAL,EP1/2 - DOS LIMOEIROS,0300405 .,800,284,20,274,2,0,0,0,11,591,4,2,597,203
NAMPULA,NAMPULA,URBANO CENTRAL,URBANO CENTRAL,EP1/2 - DOS LIMOEIROS,0300406 .,800,263,22,275,0,0,1,0,6,567,7,12,586,214
NAMPULA,NAMPULA,URBANO CENTRAL,URBANO CENTRAL,EP1/2 - DOS LIMOEIROS,0300407 .,800,249,25,257,3,0,0,1,4,539,2,5,546,254
NAMPULA,NAMPULA,URBANO CENTRAL,URBANO CENTRAL,EP1/2 - DOS LIMOEIROS,0334901A .,478,153,12,173,2,0,1,0,2,343,4,0,347,131
NAMPULA,NAMPULA,URBANO CENTRAL,URBANO CENTRAL,EP1/2 - DOS LIMOEIROS,0334901B .,478,143,13,183,1,0,0,0,2,342,2,1,345,133
NAMPULA,NAMPULA,URBANO CENTRAL,URBANO CENTRAL,EPC - 7 DE ABRIL                         NOVO,0300501 .,800,206,10,294,2,1,0,0,3,516,4,6,526,274
NAMPULA,NAMPULA,URBANO CENTRAL,URBANO CENTRAL,EPC - 7 DE ABRIL                         NOVO,0300502 .,800,213,12,297,2,0,0,2,3,529,6,8,543,257
NAMPULA,NAMPULA,URBANO CENTRAL,URBANO CENTRAL,EPC - 7 DE ABRIL                         NOVO,0300503 .,800,210,17,292,4,0,1,0,3,527,7,7,541,259
NAMPULA,NAMPULA,URBANO CENTRAL,URBANO CENTRAL,EPC - 7 DE ABRIL                         NOVO,0300504 .,800,220,18,290,0,1,1,2,1,533,10,9,552,248
NAMPULA,NAMPULA,URBANO CENTRAL,URBANO CENTRAL,EPC - 7 DE ABRIL                         NOVO,0300505 .,800,232,27,295,1,0,0,0,1,556,4,5,565,235
NAMPULA,NAMPULA,URBANO CENTRAL,URBANO CENTRAL,EPC - 7 DE ABRIL                         NOVO,0300506 .,800,245,17,266,1,2,0,1,2,534,6,7,547,253
NAMPULA,NAMPULA,URBANO CENTRAL,URBANO CENTRAL,EPC - 7 DE ABRIL                         NOVO,0300507 .,800,237,14,277,0,1,1,0,2,532,4,5,541,259
NAMPULA,NAMPULA,URBANO CENTRAL,URBANO CENTRAL,EPC - 7 DE ABRIL                         NOVO,0300508 .,534,131,15,187,0,0,0,0,2,335,1,1,337,197
NAMPULA,NAMPULA,URBANO CENTRAL,URBANO CENTRAL,EPC -PARQUE DOS CONTINUADORES,0300201 .,800,261,22,267,2,0,0,0,4,556,5,8,569,231
NAMPULA,NAMPULA,URBANO CENTRAL,URBANO CENTRAL,EPC -PARQUE DOS CONTINUADORES,0300202 .,800,254,17,281,2,0,1,2,2,559,1,5,565,235
NAMPULA,NAMPULA,URBANO CENTRAL,URBANO CENTRAL,EPC -PARQUE DOS CONTINUADORES,0300203 .,800,227,24,251,2,0,0,0,4,508,3,64,575,225
