Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,AMUSI,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
NAMPULA,RIBÁUÈ,RIBÁUÈ- SEDE,RIBÁUÈ -SEDE,EP1 - MARROCANE,0322601 .,800,217,41,89,5,352,13,12,377,423
NAMPULA,RIBÁUÈ,RIBÁUÈ- SEDE,RIBÁUÈ -SEDE,EP1 - MARROCANE,0322602 .,800,189,41,101,4,335,8,6,349,451
NAMPULA,RIBÁUÈ,RIBÁUÈ- SEDE,RIBÁUÈ -SEDE,EP1 - MARROCANE,0322603 .,724,138,15,61,1,215,7,4,226,498
NAMPULA,RIBÁUÈ,RIBÁUÈ- SEDE,RIBÁUÈ -SEDE,EP1 - MESA,0322501 .,800,141,33,63,108,345,19,11,375,425
NAMPULA,RIBÁUÈ,RIBÁUÈ- SEDE,RIBÁUÈ -SEDE,EP1 - MESA,0322502 .,800,64,32,47,21,164,9,11,184,616
NAMPULA,RIBÁUÈ,RIBÁUÈ- SEDE,RIBÁUÈ -SEDE,EP1 - MESA,0322503A .,430,32,12,28,3,75,6,2,83,347
NAMPULA,RIBÁUÈ,RIBÁUÈ- SEDE,RIBÁUÈ -SEDE,EP1 - MESA,0322503B .,429,26,8,33,4,71,2,2,75,354
NAMPULA,RIBÁUÈ,RIBÁUÈ- SEDE,RIBÁUÈ -SEDE,EP1 - QUITHELE,0322401 .,800,242,72,111,5,430,25,16,471,329
NAMPULA,RIBÁUÈ,RIBÁUÈ- SEDE,RIBÁUÈ -SEDE,EP1 - QUITHELE,0322402 .,800,187,33,129,3,352,21,11,384,416
NAMPULA,RIBÁUÈ,RIBÁUÈ- SEDE,RIBÁUÈ -SEDE,EP1 - QUITHELE,0322403 .,800,125,25,115,6,271,11,6,288,512
NAMPULA,RIBÁUÈ,RIBÁUÈ- SEDE,RIBÁUÈ -SEDE,EP1 - QUITHELE,0322404 .,800,105,23,103,2,233,7,13,253,547
NAMPULA,RIBÁUÈ,RIBÁUÈ- SEDE,RIBÁUÈ -SEDE,EP1 - QUITHELE,0322405 .,433,54,9,62,2,127,8,3,138,295
NAMPULA,RIBÁUÈ,RIBÁUÈ- SEDE,RIBÁUÈ -SEDE,EPC - NAPASSO,0322604 .,800,130,23,87,3,243,24,14,281,519
NAMPULA,RIBÁUÈ,RIBÁUÈ- SEDE,RIBÁUÈ -SEDE,EPC - NAPASSO,0322605 .,800,73,18,54,4,149,4,5,158,642
NAMPULA,RIBÁUÈ,RIBÁUÈ- SEDE,RIBÁUÈ -SEDE,EPC - NAPASSO,0322606 .,309,21,10,19,0,50,1,3,54,255
NAMPULA,RIBÁUÈ,RIBÁUÈ- SEDE,RIBÁUÈ -SEDE,EPC - RIBÀUÉ -SEDE,0322301 .,800,287,30,167,3,487,12,31,530,270
NAMPULA,RIBÁUÈ,RIBÁUÈ- SEDE,RIBÁUÈ -SEDE,EPC - RIBÀUÉ -SEDE,0322302 .,800,226,39,183,4,452,16,11,479,321
