"sep=,"
Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,PDM,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
NIASSA,CUAMBA,MUNICIPIO,CIDADE DE CUAMBA,EP1 DE MPULOHIYO,0105301 .,800,92,30,150,5,277,15,8,300,500
NIASSA,CUAMBA,MUNICIPIO,CIDADE DE CUAMBA,EP1 DE MPULOHIYO,0105302 .,374,36,7,56,2,101,3,0,104,270
NIASSA,CUAMBA,MUNICIPIO,CIDADE DE CUAMBA,EP1 DE NAMIGONHA,0109201 .,800,76,23,90,0,189,10,2,201,599
NIASSA,CUAMBA,MUNICIPIO,CIDADE DE CUAMBA,EP1 DE NAMIGONHA,0109202 .,206,6,2,17,0,25,3,0,28,178
NIASSA,CUAMBA,MUNICIPIO,CIDADE DE CUAMBA,EP1 DE NICORA,0104301 .,800,60,33,109,2,204,38,8,250,550
NIASSA,CUAMBA,MUNICIPIO,CIDADE DE CUAMBA,EP1 DE NICORA,0104302A .,400,12,7,14,0,33,1,1,35,365
NIASSA,CUAMBA,MUNICIPIO,CIDADE DE CUAMBA,EP1 DE NICORA,0104302B .,491,13,7,22,1,43,5,0,48,443
NIASSA,CUAMBA,MUNICIPIO,CIDADE DE CUAMBA,EPC  - CHIRUNGUSSE,0114701 .,800,170,28,46,4,248,13,7,268,532
NIASSA,CUAMBA,MUNICIPIO,CIDADE DE CUAMBA,EPC  - CHIRUNGUSSE,0114702 .,295,36,6,20,0,62,2,0,64,231
NIASSA,CUAMBA,MUNICIPIO,CIDADE DE CUAMBA,EPC - JOSINA MACHEL,0116801 .,800,257,21,235,5,518,9,9,536,264
NIASSA,CUAMBA,MUNICIPIO,CIDADE DE CUAMBA,EPC - JOSINA MACHEL,0116802 .,800,224,17,229,0,470,6,14,490,310
NIASSA,CUAMBA,MUNICIPIO,CIDADE DE CUAMBA,EPC - JOSINA MACHEL,0116803 .,800,193,16,256,4,469,7,5,481,319
NIASSA,CUAMBA,MUNICIPIO,CIDADE DE CUAMBA,EPC - JOSINA MACHEL,0116804 .,800,159,18,269,2,448,7,4,459,341
NIASSA,CUAMBA,MUNICIPIO,CIDADE DE CUAMBA,EPC - JOSINA MACHEL,0116805 .,800,131,18,227,2,378,4,17,399,401
NIASSA,CUAMBA,MUNICIPIO,CIDADE DE CUAMBA,EPC - JOSINA MACHEL,0116806 .,220,53,5,69,0,127,1,1,129,91
NIASSA,CUAMBA,MUNICIPIO,CIDADE DE CUAMBA,EPC - SAMORA M. MACHEL,0114501 .,800,208,13,204,3,428,7,100,535,265
