"sep=,"
Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
NIASSA,LAGO,METANGULA,VILA DE METANGULA,EP1 DE CAPHUELEZA,0111101 .,448,230,2,144,376,8,2,386,62
NIASSA,LAGO,METANGULA,VILA DE METANGULA,EP1 DE MICUIO,0116201 .,526,230,1,208,439,9,8,456,70
NIASSA,LAGO,METANGULA,VILA DE METANGULA,EP1 DE MUCHENGA,0101001 .,800,510,14,135,659,7,6,672,128
NIASSA,LAGO,METANGULA,VILA DE METANGULA,EP1 DE MUCHENGA,0101002 .,673,318,5,144,467,6,0,473,200
NIASSA,LAGO,METANGULA,VILA DE METANGULA,EPC DE CHIUANGA,0103501 .,800,413,5,139,557,13,3,573,227
NIASSA,LAGO,METANGULA,VILA DE METANGULA,EPC DE CHIUANGA,0103502 .,444,171,6,69,246,3,2,251,193
NIASSA,LAGO,METANGULA,VILA DE METANGULA,EPC DE MECHUMUA,0111102 .,776,344,10,198,552,24,7,583,193
NIASSA,LAGO,METANGULA,VILA DE METANGULA,EPC DE METANGULA,0115801 .,800,545,7,108,660,7,2,669,131
NIASSA,LAGO,METANGULA,VILA DE METANGULA,EPC DE METANGULA,0115802 .,466,286,2,54,342,5,1,348,118
NIASSA,LAGO,METANGULA,VILA DE METANGULA,EPC DE THUNGO,0116202 .,800,366,8,285,659,13,9,681,119
NIASSA,LAGO,METANGULA,VILA DE METANGULA,EPC DE THUNGO,0116203 .,800,325,8,311,644,14,4,662,138
NIASSA,LAGO,METANGULA,VILA DE METANGULA,EPC DE THUNGO,0116204 .,708,251,4,265,520,7,6,533,175
NIASSA,LAGO,METANGULA,VILA DE METANGULA,ESG DE SELI,0106101 .,800,387,21,208,616,7,6,629,171
NIASSA,LAGO,METANGULA,VILA DE METANGULA,ESG DE SELI,0106102 .,800,379,15,197,591,7,4,602,198
NIASSA,LAGO,METANGULA,VILA DE METANGULA,ESG DE SELI,0106103 .,712,273,9,178,460,21,4,485,227
