"sep=,"
Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
NIASSA,LICHINGA,MUNICIPAL DE CHIUAULA,CIDADE DE LICHINGA,EPC DA CERÂMICA,0104801 .,800,333,37,148,518,11,5,534,266
NIASSA,LICHINGA,MUNICIPAL DE CHIUAULA,CIDADE DE LICHINGA,EPC DA CERÂMICA,0104802 .,800,304,33,159,496,12,12,520,280
NIASSA,LICHINGA,MUNICIPAL DE CHIUAULA,CIDADE DE LICHINGA,EPC DA CERÂMICA,0104803 .,800,340,33,108,481,11,9,501,299
NIASSA,LICHINGA,MUNICIPAL DE CHIUAULA,CIDADE DE LICHINGA,EPC DA CERÂMICA,0104804 .,800,339,25,144,508,9,7,524,276
NIASSA,LICHINGA,MUNICIPAL DE CHIUAULA,CIDADE DE LICHINGA,EPC DA CERÂMICA,0104805 .,800,315,29,151,495,7,3,505,295
NIASSA,LICHINGA,MUNICIPAL DE CHIUAULA,CIDADE DE LICHINGA,EPC DA CERÂMICA,0104806 .,584,179,27,88,294,6,2,302,282
NIASSA,LICHINGA,MUNICIPAL DE CHIUAULA,CIDADE DE LICHINGA,EPC DA CERÂMICA,0109601 .,720,208,27,125,360,9,5,374,346
NIASSA,LICHINGA,MUNICIPAL DE CHIUAULA,CIDADE DE LICHINGA,EPC DA ESTAÇÃO,0113401 .,800,346,15,176,537,3,7,547,253
NIASSA,LICHINGA,MUNICIPAL DE CHIUAULA,CIDADE DE LICHINGA,EPC DA ESTAÇÃO,0113402 .,800,287,13,213,513,12,7,532,268
NIASSA,LICHINGA,MUNICIPAL DE CHIUAULA,CIDADE DE LICHINGA,EPC DA ESTAÇÃO,0113403 .,800,302,10,200,512,9,7,528,272
NIASSA,LICHINGA,MUNICIPAL DE CHIUAULA,CIDADE DE LICHINGA,EPC DA ESTAÇÃO,0113404 .,800,285,15,191,491,4,6,501,299
NIASSA,LICHINGA,MUNICIPAL DE CHIUAULA,CIDADE DE LICHINGA,EPC DA ESTAÇÃO,0113405 .,800,297,14,181,492,12,8,512,288
NIASSA,LICHINGA,MUNICIPAL DE CHIUAULA,CIDADE DE LICHINGA,EPC DA ESTAÇÃO,0113406 .,800,247,12,195,454,2,7,463,337
NIASSA,LICHINGA,MUNICIPAL DE CHIUAULA,CIDADE DE LICHINGA,EPC DA ESTAÇÃO,0113407 .,503,116,9,123,248,4,2,254,249
NIASSA,LICHINGA,MUNICIPAL DE CHIUAULA,CIDADE DE LICHINGA,EPC DA ESTAÇÃO,0116001 .,800,235,8,201,444,6,4,454,346
NIASSA,LICHINGA,MUNICIPAL DE CHIUAULA,CIDADE DE LICHINGA,EPC DE CHIUAULA,0109101 .,800,274,8,198,480,8,12,500,300
NIASSA,LICHINGA,MUNICIPAL DE CHIUAULA,CIDADE DE LICHINGA,EPC DE CHIUAULA,0109102 .,800,223,12,190,425,15,6,446,354
NIASSA,LICHINGA,MUNICIPAL DE CHIUAULA,CIDADE DE LICHINGA,EPC DE CHIUAULA,0109103 .,800,209,11,172,392,9,5,406,394
NIASSA,LICHINGA,MUNICIPAL DE CHIUAULA,CIDADE DE LICHINGA,EPC DE CHIUAULA,0109104 .,800,214,16,176,406,12,12,430,370
NIASSA,LICHINGA,MUNICIPAL DE CHIUAULA,CIDADE DE LICHINGA,EPC DE CHIUAULA,0109105 .,800,181,12,169,362,9,6,377,423
NIASSA,LICHINGA,MUNICIPAL DE CHIUAULA,CIDADE DE LICHINGA,EPC DE CHIUAULA,0109106 .,706,123,17,144,284,8,3,295,411
NIASSA,LICHINGA,MUNICIPAL DE CHIUAULA,CIDADE DE LICHINGA,PISTA ATLETISMO,0110201 .,800,219,22,222,463,3,7,473,327
NIASSA,LICHINGA,MUNICIPAL DE CHIUAULA,CIDADE DE LICHINGA,PISTA ATLETISMO,0110202 .,800,227,18,248,493,6,4,503,297
NIASSA,LICHINGA,MUNICIPAL DE CHIUAULA,CIDADE DE LICHINGA,PISTA ATLETISMO,0110203 .,800,243,25,178,446,7,9,462,338
NIASSA,LICHINGA,MUNICIPAL DE CHIUAULA,CIDADE DE LICHINGA,PISTA ATLETISMO,0110204 .,800,235,21,215,471,5,10,486,314
NIASSA,LICHINGA,MUNICIPAL DE CHIUAULA,CIDADE DE LICHINGA,PISTA ATLETISMO,0110205 .,800,223,21,217,461,13,5,479,321
NIASSA,LICHINGA,MUNICIPAL DE CHIUAULA,CIDADE DE LICHINGA,PISTA ATLETISMO,0110206 .,800,202,19,210,431,8,2,441,359
NIASSA,LICHINGA,MUNICIPAL DE CHIUAULA,CIDADE DE LICHINGA,PISTA ATLETISMO,0110207 .,326,69,3,60,132,5,12,149,177
NIASSA,LICHINGA,MUNICIPAL DE LULIMILE,CIDADE DE LICHINGA,EP1 23 DE SETEMBRO,0102901 .,800,196,9,222,427,15,8,450,350
