"sep=,"
Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
NIASSA,MANDIMBA,LISSIETE,MANDIMBA SEDE,EP1 DE ENTRE RIOS,0109301 .,590,213,21,81,315,10,15,340,250
NIASSA,MANDIMBA,LISSIETE,MANDIMBA SEDE,EP1 DE JOHO,0113102 .,800,164,25,198,387,26,13,426,374
NIASSA,MANDIMBA,LISSIETE,MANDIMBA SEDE,EP1 DE JOHO,0113103 .,354,51,7,59,117,4,8,129,225
NIASSA,MANDIMBA,LISSIETE,MANDIMBA SEDE,EP1 DE MEPAPA,0111001 .,711,158,9,145,312,43,7,362,349
NIASSA,MANDIMBA,LISSIETE,MANDIMBA SEDE,EP1 DE NAMAPIRI 2,0116101 .,481,89,8,44,141,12,135,288,193
NIASSA,MANDIMBA,LISSIETE,MANDIMBA SEDE,EP1 DE NAMIUNGO,0116102A .,400,60,12,128,200,25,42,267,133
NIASSA,MANDIMBA,LISSIETE,MANDIMBA SEDE,EP1 DE NAMIUNGO,0116102B  .,551,65,16,201,282,27,5,314,237
NIASSA,MANDIMBA,LISSIETE,MANDIMBA SEDE,EP1 DE NAUCHECHE,0113101 .,275,127,4,90,221,4,13,238,37
NIASSA,MANDIMBA,LISSIETE,MANDIMBA SEDE,EPC - CHANICA,0101701 .,800,234,7,214,455,11,100,566,234
NIASSA,MANDIMBA,LISSIETE,MANDIMBA SEDE,EPC - CHANICA,0101702 .,800,177,6,237,420,23,39,482,318
NIASSA,MANDIMBA,LISSIETE,MANDIMBA SEDE,EPC - CHANICA,0101703 .,558,132,5,154,291,14,20,325,233
NIASSA,MANDIMBA,LISSIETE,MANDIMBA SEDE,EPC DE NGAME,0115401 .,800,336,18,155,509,15,12,536,264
NIASSA,MANDIMBA,LISSIETE,MANDIMBA SEDE,EPC DE NGAME,0115402 .,800,251,13,167,431,9,6,446,354
NIASSA,MANDIMBA,LISSIETE,MANDIMBA SEDE,EPC DE NGAME,0115403 .,539,162,4,104,270,13,6,289,250
NIASSA,MANDIMBA,LISSIETE,MANDIMBA SEDE,EPC FILIPE SAMUEL MAGAIA,0103601 .,800,399,15,108,522,16,12,550,250
NIASSA,MANDIMBA,LISSIETE,MANDIMBA SEDE,EPC FILIPE SAMUEL MAGAIA,0103602 .,800,364,17,130,511,11,5,527,273
NIASSA,MANDIMBA,LISSIETE,MANDIMBA SEDE,EPC FILIPE SAMUEL MAGAIA,0103603 .,800,294,16,133,443,12,7,462,338
NIASSA,MANDIMBA,LISSIETE,MANDIMBA SEDE,EPC FILIPE SAMUEL MAGAIA,0103604 .,642,206,11,112,329,7,10,346,296
NIASSA,MANDIMBA,LISSIETE,MANDIMBA SEDE,ESCOLA SEC. SAMORA M. MACHEL,0116601 .,800,341,21,181,543,24,2,569,231
NIASSA,MANDIMBA,LISSIETE,MANDIMBA SEDE,ESCOLA SEC. SAMORA M. MACHEL,0116602 .,800,280,14,138,432,11,6,449,351
NIASSA,MANDIMBA,LISSIETE,MANDIMBA SEDE,ESCOLA SEC. SAMORA M. MACHEL,0116603 .,754,211,20,157,388,10,5,403,351
