"sep=,"
Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
NIASSA,MARRUPA,MARRUPA SEDE,MARRUPA,EP1 DE CHITAMBO,0101201 .,364,107,32,27,166,8,3,177,187
NIASSA,MARRUPA,MARRUPA SEDE,MARRUPA,EP1 DE MIRORANE,0106604 .,435,161,18,31,210,10,11,231,204
NIASSA,MARRUPA,MARRUPA SEDE,MARRUPA,EP1 DE MPUTO,0104905 .,426,101,28,95,224,19,8,251,175
NIASSA,MARRUPA,MARRUPA SEDE,MARRUPA,EP1 DE NAMAVERESSE,0107601 .,503,82,25,44,151,13,47,211,292
NIASSA,MARRUPA,MARRUPA SEDE,MARRUPA,EPC 4 DE OUTUBRO,0103801 .,800,402,21,64,487,16,9,512,288
NIASSA,MARRUPA,MARRUPA SEDE,MARRUPA,EPC 4 DE OUTUBRO,0103802 .,477,257,17,27,301,4,6,311,166
NIASSA,MARRUPA,MARRUPA SEDE,MARRUPA,EPC DE CATANGE,0110401 .,800,192,12,60,264,26,9,299,501
NIASSA,MARRUPA,MARRUPA SEDE,MARRUPA,EPC DE CATANGE,0110402 .,521,52,6,30,88,6,2,96,425
NIASSA,MARRUPA,MARRUPA SEDE,MARRUPA,EPC DE CHUMULA,0103805 .,544,117,15,84,216,25,3,244,300
NIASSA,MARRUPA,MARRUPA SEDE,MARRUPA,EPC DE NAMUERA,0104903A .,400,68,49,15,132,19,12,163,237
NIASSA,MARRUPA,MARRUPA SEDE,MARRUPA,EPC DE NAMUERA,0104903B .,407,100,43,26,169,11,7,187,220
NIASSA,MARRUPA,MARRUPA SEDE,MARRUPA,EPC DE NANGIA,0106602A .,400,104,22,32,158,8,5,171,229
NIASSA,MARRUPA,MARRUPA SEDE,MARRUPA,EPC DE NANGIA,0106602B .,486,131,21,33,185,8,1,194,292
NIASSA,MARRUPA,MARRUPA SEDE,MARRUPA,EPC-MARRUPA SEDE,0101401 .,800,345,41,70,456,8,12,476,324
NIASSA,MARRUPA,MARRUPA SEDE,MARRUPA,EPC-MARRUPA SEDE,0101402 .,800,322,42,67,431,10,4,445,355
NIASSA,MARRUPA,MARRUPA SEDE,MARRUPA,EPC-MARRUPA SEDE,0101403 .,800,352,43,40,435,7,10,452,348
NIASSA,MARRUPA,MARRUPA SEDE,MARRUPA,EPC-MARRUPA SEDE,0101404 .,800,260,34,74,368,18,9,395,405
NIASSA,MARRUPA,MARRUPA SEDE,MARRUPA,EPC-MARRUPA SEDE,0101405 .,800,311,24,52,387,11,12,410,390
NIASSA,MARRUPA,MARRUPA SEDE,MARRUPA,EPC-MARRUPA SEDE,0101406 .,800,224,36,70,330,8,8,346,454
NIASSA,MARRUPA,MARRUPA SEDE,MARRUPA,EPC-MARRUPA SEDE,0101407 .,729,215,39,39,293,7,2,302,427
NIASSA,MARRUPA,MARRUPA SEDE,MARRUPA,ESCOLA SEC. GERAL DE MARRUPA,0103803 .,800,301,32,92,425,22,2,449,351
NIASSA,MARRUPA,MARRUPA SEDE,MARRUPA,ESCOLA SEC. GERAL DE MARRUPA,0103804 .,553,196,27,51,274,5,2,281,272
