"sep=,"
Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,E-POVO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
SOFALA,CIDADE DA BEIRA,CENTRAL,CHAIMITE,EPC AGOSTINHO NETO,0701201 .,800,141,172,176,0,489,5,8,502,298
SOFALA,CIDADE DA BEIRA,CENTRAL,CHAIMITE,EPC AGOSTINHO NETO,0701202 .,800,161,160,145,1,467,2,3,472,328
SOFALA,CIDADE DA BEIRA,CENTRAL,CHAIMITE,EPC AGOSTINHO NETO,0701203 .,800,157,187,126,2,472,3,4,479,321
SOFALA,CIDADE DA BEIRA,CENTRAL,CHAIMITE,EPC AGOSTINHO NETO,0701204 .,800,170,179,129,1,479,2,5,486,314
SOFALA,CIDADE DA BEIRA,CENTRAL,CHAIMITE,EPC AGOSTINHO NETO,0701205 .,800,144,193,136,1,474,4,8,486,314
SOFALA,CIDADE DA BEIRA,CENTRAL,CHAIMITE,EPC AGOSTINHO NETO,0701206 .,800,176,221,101,1,499,2,5,506,294
SOFALA,CIDADE DA BEIRA,CENTRAL,CHAIMITE,EPC AGOSTINHO NETO,0701207 .,800,172,200,105,0,477,3,13,493,307
SOFALA,CIDADE DA BEIRA,CENTRAL,CHAIMITE,EPC AGOSTINHO NETO,0701208 .,344,77,110,46,1,234,1,2,237,107
SOFALA,CIDADE DA BEIRA,CENTRAL,CHAIMITE,EPC H. MOÇAMBICANO,0701101 .,800,196,196,136,1,529,2,9,540,260
SOFALA,CIDADE DA BEIRA,CENTRAL,CHAIMITE,EPC H. MOÇAMBICANO,0701102 .,800,186,210,112,1,509,4,5,518,282
SOFALA,CIDADE DA BEIRA,CENTRAL,CHAIMITE,EPC H. MOÇAMBICANO,0701103 .,800,175,212,112,0,499,15,6,520,280
SOFALA,CIDADE DA BEIRA,CENTRAL,CHAIMITE,EPC H. MOÇAMBICANO,0701104 .,800,242,211,78,0,531,0,8,539,261
SOFALA,CIDADE DA BEIRA,CENTRAL,CHAIMITE,EPC H. MOÇAMBICANO,0701105 .,780,164,257,104,0,525,2,24,551,229
SOFALA,CIDADE DA BEIRA,CENTRAL,CHIPANGARA,EPC 7 DE ABRIL,0700701 .,800,224,173,112,1,510,4,18,532,268
SOFALA,CIDADE DA BEIRA,CENTRAL,CHIPANGARA,EPC 7 DE ABRIL,0700702 .,800,231,173,128,0,532,2,11,545,255
SOFALA,CIDADE DA BEIRA,CENTRAL,CHIPANGARA,EPC 7 DE ABRIL,0700703 .,800,252,196,106,1,555,6,9,570,230
SOFALA,CIDADE DA BEIRA,CENTRAL,CHIPANGARA,EPC 7 DE ABRIL,0700704 .,800,221,214,112,1,548,8,5,561,239
SOFALA,CIDADE DA BEIRA,CENTRAL,CHIPANGARA,EPC 7 DE ABRIL,0700705 .,800,226,215,82,1,524,1,13,538,262
SOFALA,CIDADE DA BEIRA,CENTRAL,CHIPANGARA,EPC 7 DE ABRIL,0700706A .,400,108,116,39,0,263,3,6,272,128
SOFALA,CIDADE DA BEIRA,CENTRAL,CHIPANGARA,EPC 7 DE ABRIL,0700706B .,625,154,168,100,0,422,3,16,441,184
SOFALA,CIDADE DA BEIRA,CENTRAL,ESTURO,EPC DE ESTURO,0701601 .,800,166,246,136,2,550,6,16,572,228
SOFALA,CIDADE DA BEIRA,CENTRAL,ESTURO,EPC DE ESTURO,0701602 .,800,163,232,140,2,537,7,10,554,246
SOFALA,CIDADE DA BEIRA,CENTRAL,ESTURO,EPC DE ESTURO,0701603 .,800,152,246,127,2,527,8,4,539,261
SOFALA,CIDADE DA BEIRA,CENTRAL,ESTURO,EPC DE ESTURO,0701604 .,800,165,244,127,1,537,3,2,542,258
SOFALA,CIDADE DA BEIRA,CENTRAL,ESTURO,EPC DE ESTURO,0701605 .,800,164,264,110,1,539,1,5,545,255
SOFALA,CIDADE DA BEIRA,CENTRAL,ESTURO,EPC DE ESTURO,0701606A .,400,85,129,54,0,268,2,5,275,125
SOFALA,CIDADE DA BEIRA,CENTRAL,ESTURO,EPC DE ESTURO,0701606B .,507,98,146,79,2,325,2,5,332,175
SOFALA,CIDADE DA BEIRA,CENTRAL,ESTURO,ESG. M. SANSÃO MUTEMBA,0701701 .,800,177,186,118,3,484,1,6,491,309
SOFALA,CIDADE DA BEIRA,CENTRAL,ESTURO,ESG. M. SANSÃO MUTEMBA,0701702 .,800,179,192,126,2,499,6,31,536,264
SOFALA,CIDADE DA BEIRA,CENTRAL,ESTURO,ESG. M. SANSÃO MUTEMBA,0701703 .,800,182,218,120,3,523,2,10,535,265
SOFALA,CIDADE DA BEIRA,CENTRAL,ESTURO,ESG. M. SANSÃO MUTEMBA,0701704 .,800,170,220,121,1,512,1,9,522,278
SOFALA,CIDADE DA BEIRA,CENTRAL,ESTURO,ESG. M. SANSÃO MUTEMBA,0701705 .,800,188,215,106,1,510,1,5,516,284
SOFALA,CIDADE DA BEIRA,CENTRAL,ESTURO,ESG. M. SANSÃO MUTEMBA,0701706A .,400,99,116,55,0,270,1,2,273,127
SOFALA,CIDADE DA BEIRA,CENTRAL,ESTURO,ESG. M. SANSÃO MUTEMBA,0701706B .,499,102,155,68,0,325,3,3,331,168
SOFALA,CIDADE DA BEIRA,CENTRAL,MACURUNGO,EPC DE MACURUNGO,0702201 .,800,240,217,123,1,581,4,15,600,200
SOFALA,CIDADE DA BEIRA,CENTRAL,MACURUNGO,EPC DE MACURUNGO,0702202 .,800,223,238,92,0,553,5,8,566,234
SOFALA,CIDADE DA BEIRA,CENTRAL,MACURUNGO,EPC DE MACURUNGO,0702203 .,800,216,260,78,1,555,7,4,566,234
SOFALA,CIDADE DA BEIRA,CENTRAL,MACURUNGO,EPC DE MACURUNGO,0702204 .,800,233,260,91,0,584,1,9,594,206
SOFALA,CIDADE DA BEIRA,CENTRAL,MACURUNGO,EPC DE MACURUNGO,0702205 .,800,223,236,91,4,554,3,10,567,233
SOFALA,CIDADE DA BEIRA,CENTRAL,MACURUNGO,EPC DE MACURUNGO,0702206 .,800,225,256,73,1,555,5,6,566,234
SOFALA,CIDADE DA BEIRA,CENTRAL,MACURUNGO,EPC DE MACURUNGO,0702207 .,780,178,280,67,1,526,4,7,537,243
SOFALA,CIDADE DA BEIRA,CENTRAL,MACURUNGO,EPC DO CENTRO PEQUENO BRASIL ,0702301 .,800,213,209,126,0,548,4,19,571,229
SOFALA,CIDADE DA BEIRA,CENTRAL,MACURUNGO,EPC DO CENTRO PEQUENO BRASIL ,0702302 .,800,213,225,117,0,555,4,10,569,231
SOFALA,CIDADE DA BEIRA,CENTRAL,MACURUNGO,EPC DO CENTRO PEQUENO BRASIL ,0702303 .,800,176,270,125,0,571,9,23,603,197
SOFALA,CIDADE DA BEIRA,CENTRAL,MACURUNGO,EPC DO CENTRO PEQUENO BRASIL ,0702304 .,800,194,255,116,1,566,2,8,576,224
SOFALA,CIDADE DA BEIRA,CENTRAL,MACURUNGO,EPC DO CENTRO PEQUENO BRASIL ,0702305 .,800,163,261,119,2,545,5,9,559,241
SOFALA,CIDADE DA BEIRA,CENTRAL,MACURUNGO,EPC DO CENTRO PEQUENO BRASIL ,0702306 .,800,165,278,106,0,549,2,6,557,243
SOFALA,CIDADE DA BEIRA,CENTRAL,MACURUNGO,EPC DO CENTRO PEQUENO BRASIL ,0702307 .,790,195,238,89,0,522,4,9,535,255
SOFALA,CIDADE DA BEIRA,CENTRAL,MACURUNGO,ESCOLA ESPECIAL  (MANGANHE),0702401 .,800,101,186,122,1,410,21,24,455,345
SOFALA,CIDADE DA BEIRA,CENTRAL,MACURUNGO,ESCOLA ESPECIAL  (MANGANHE),0702402 .,800,103,191,158,1,453,7,6,466,334
SOFALA,CIDADE DA BEIRA,CENTRAL,MACURUNGO,ESCOLA ESPECIAL  (MANGANHE),0702403 .,800,115,213,97,1,426,4,22,452,348
SOFALA,CIDADE DA BEIRA,CENTRAL,MACURUNGO,ESCOLA ESPECIAL  (MANGANHE),0702404 .,800,116,221,105,0,442,2,14,458,342
SOFALA,CIDADE DA BEIRA,CENTRAL,MACURUNGO,ESCOLA ESPECIAL  (MANGANHE),0702405 .,800,109,245,97,0,451,1,4,456,344
SOFALA,CIDADE DA BEIRA,CENTRAL,MACURUNGO,ESCOLA ESPECIAL  (MANGANHE),0702406 .,800,121,238,96,0,455,0,11,466,334
SOFALA,CIDADE DA BEIRA,CENTRAL,MACURUNGO,ESCOLA ESPECIAL  (MANGANHE),0702407 .,503,61,151,59,0,271,2,17,290,213
SOFALA,CIDADE DA BEIRA,CENTRAL,MACUTI,CAMPUS DA UNIZAMBEZE,0700401 .,800,198,234,127,1,560,3,5,568,232
SOFALA,CIDADE DA BEIRA,CENTRAL,MACUTI,CAMPUS DA UNIZAMBEZE,0700402 .,800,214,232,97,1,544,3,10,557,243
SOFALA,CIDADE DA BEIRA,CENTRAL,MACUTI,CAMPUS DA UNIZAMBEZE,0700403 .,800,169,257,112,0,538,5,11,554,246
SOFALA,CIDADE DA BEIRA,CENTRAL,MACUTI,CAMPUS DA UNIZAMBEZE,0700404 .,800,188,263,90,1,542,2,6,550,250
SOFALA,CIDADE DA BEIRA,CENTRAL,MACUTI,CAMPUS DA UNIZAMBEZE,0700405 .,362,78,113,45,0,236,4,2,242,120
SOFALA,CIDADE DA BEIRA,CENTRAL,MACUTI,EPC DE MACUTE,0700201 .,800,208,232,137,0,577,5,7,589,211
SOFALA,CIDADE DA BEIRA,CENTRAL,MACUTI,EPC DE MACUTE,0700202 .,800,197,253,99,1,550,3,17,570,230
SOFALA,CIDADE DA BEIRA,CENTRAL,MACUTI,EPC DE MACUTE,0700203 .,785,194,228,85,1,508,1,22,531,254
SOFALA,CIDADE DA BEIRA,CENTRAL,MACUTI,EPC DE MACUTE MIQUEJO,0700101 .,800,139,250,143,7,539,11,12,562,238
SOFALA,CIDADE DA BEIRA,CENTRAL,MACUTI,EPC DE MACUTE MIQUEJO,0700102 .,800,106,237,107,0,450,6,4,460,340
SOFALA,CIDADE DA BEIRA,CENTRAL,MACUTI,EPC DE MACUTE MIQUEJO,0700103 .,800,135,231,87,2,455,11,95,561,239
SOFALA,CIDADE DA BEIRA,CENTRAL,MACUTI,EPC DE MACUTE MIQUEJO,0700104 .,800,130,289,124,0,543,1,2,546,254
SOFALA,CIDADE DA BEIRA,CENTRAL,MACUTI,EPC DE MACUTE MIQUEJO,0700105 .,346,61,112,50,0,223,4,7,234,112
SOFALA,CIDADE DA BEIRA,CENTRAL,MACUTI,ESG DE ESTORIL,0700301 .,800,230,199,130,1,560,3,7,570,230
SOFALA,CIDADE DA BEIRA,CENTRAL,MACUTI,ESG DE ESTORIL,0700302 .,800,202,216,85,1,504,10,8,522,278
SOFALA,CIDADE DA BEIRA,CENTRAL,MACUTI,ESG DE ESTORIL,0700303 .,800,185,236,82,1,504,1,4,509,291
SOFALA,CIDADE DA BEIRA,CENTRAL,MACUTI,ESG DE ESTORIL,0700304 .,800,160,226,63,0,449,3,28,480,320
SOFALA,CIDADE DA BEIRA,CENTRAL,MACUTI,ESG DE ESTORIL,0700305 .,516,142,158,53,0,353,1,5,359,157
SOFALA,CIDADE DA BEIRA,CENTRAL,MATACUANE,EPC 12 DE OUTUBRO,0702001 .,800,229,183,121,2,535,5,19,559,241
SOFALA,CIDADE DA BEIRA,CENTRAL,MATACUANE,EPC 12 DE OUTUBRO,0702002 .,800,202,238,104,1,545,4,7,556,244
SOFALA,CIDADE DA BEIRA,CENTRAL,MATACUANE,EPC 12 DE OUTUBRO,0702003 .,800,232,209,96,2,539,6,6,551,249
SOFALA,CIDADE DA BEIRA,CENTRAL,MATACUANE,EPC 12 DE OUTUBRO,0702004 .,800,198,235,108,1,542,0,17,559,241
SOFALA,CIDADE DA BEIRA,CENTRAL,MATACUANE,EPC 12 DE OUTUBRO,0702005 .,800,225,195,97,0,517,0,68,585,215
SOFALA,CIDADE DA BEIRA,CENTRAL,MATACUANE,EPC 12 DE OUTUBRO,0702006 .,800,201,261,76,0,538,2,5,545,255
SOFALA,CIDADE DA BEIRA,CENTRAL,MATACUANE,EPC 12 DE OUTUBRO,0702007A .,400,110,117,41,0,268,4,3,275,125
SOFALA,CIDADE DA BEIRA,CENTRAL,MATACUANE,EPC 12 DE OUTUBRO,0702007B .,515,108,178,71,1,358,1,5,364,151
SOFALA,CIDADE DA BEIRA,CENTRAL,MATACUANE,EPC DE MATACUANE,0701901 .,800,208,215,128,1,552,10,7,569,231
SOFALA,CIDADE DA BEIRA,CENTRAL,MATACUANE,EPC DE MATACUANE,0701902 .,800,201,238,119,0,558,0,8,566,234
SOFALA,CIDADE DA BEIRA,CENTRAL,MATACUANE,EPC DE MATACUANE,0701903 .,800,184,241,103,0,528,7,5,540,260
SOFALA,CIDADE DA BEIRA,CENTRAL,MATACUANE,EPC DE MATACUANE,0701904 .,800,181,247,118,1,547,8,5,560,240
SOFALA,CIDADE DA BEIRA,CENTRAL,MATACUANE,EPC DE MATACUANE,0701905 .,800,182,266,112,1,561,4,12,577,223
SOFALA,CIDADE DA BEIRA,CENTRAL,MATACUANE,EPC DE MATACUANE,0701906 .,800,209,255,110,0,574,4,7,585,215
SOFALA,CIDADE DA BEIRA,CENTRAL,MATACUANE,EPC DE MATACUANE,0701907 .,421,97,140,47,0,284,1,0,285,136
SOFALA,CIDADE DA BEIRA,CENTRAL,MATACUANE,ESCOLA IND. E C. 25 DE JUNHO,0701801 .,800,172,251,128,0,551,8,21,580,220
SOFALA,CIDADE DA BEIRA,CENTRAL,MATACUANE,ESCOLA IND. E C. 25 DE JUNHO,0701802 .,800,164,260,112,1,537,6,13,556,244
SOFALA,CIDADE DA BEIRA,CENTRAL,MATACUANE,ESCOLA IND. E C. 25 DE JUNHO,0701803 .,800,147,259,116,2,524,4,13,541,259
SOFALA,CIDADE DA BEIRA,CENTRAL,MATACUANE,ESCOLA IND. E C. 25 DE JUNHO,0701804 .,800,150,286,108,0,544,6,13,563,237
SOFALA,CIDADE DA BEIRA,CENTRAL,MATACUANE,ESCOLA IND. E C. 25 DE JUNHO,0701805 .,800,157,269,104,2,532,5,10,547,253
SOFALA,CIDADE DA BEIRA,CENTRAL,MATACUANE,ESCOLA IND. E C. 25 DE JUNHO,0701806 .,739,124,240,119,0,483,1,5,489,250
SOFALA,CIDADE DA BEIRA,CENTRAL,MATACUANE,UNIVERCIDADE ZAMBEZE,0702101 .,800,264,194,106,4,568,2,5,575,225
SOFALA,CIDADE DA BEIRA,CENTRAL,MATACUANE,UNIVERCIDADE ZAMBEZE,0702102 .,800,250,218,116,3,587,1,7,595,205
SOFALA,CIDADE DA BEIRA,CENTRAL,MATACUANE,UNIVERCIDADE ZAMBEZE,0702103 .,800,221,214,113,3,551,2,2,555,245
SOFALA,CIDADE DA BEIRA,CENTRAL,MATACUANE,UNIVERCIDADE ZAMBEZE,0702104 .,800,178,275,95,1,549,5,6,560,240
SOFALA,CIDADE DA BEIRA,CENTRAL,MATACUANE,UNIVERCIDADE ZAMBEZE,0702105 .,800,211,264,75,0,550,1,8,559,241
SOFALA,CIDADE DA BEIRA,CENTRAL,MATACUANE,UNIVERCIDADE ZAMBEZE,0702106 .,800,190,263,86,1,540,8,9,557,243
SOFALA,CIDADE DA BEIRA,CENTRAL,MATACUANE,UNIVERCIDADE ZAMBEZE,0702107 .,299,79,107,31,0,217,1,2,220,79
SOFALA,CIDADE DA BEIRA,CENTRAL,PALMEIRAS,EP2 DAS PALMEIRAS - I,0700501 .,800,237,240,103,1,581,4,18,603,197
SOFALA,CIDADE DA BEIRA,CENTRAL,PALMEIRAS,EP2 DAS PALMEIRAS - I,0700502 .,800,271,206,105,0,582,7,17,606,194
SOFALA,CIDADE DA BEIRA,CENTRAL,PALMEIRAS,EP2 DAS PALMEIRAS - I,0700503 .,800,245,239,96,2,582,6,31,619,181
SOFALA,CIDADE DA BEIRA,CENTRAL,PALMEIRAS,EP2 DAS PALMEIRAS - I,0700504 .,800,226,257,93,0,576,4,8,588,212
SOFALA,CIDADE DA BEIRA,CENTRAL,PALMEIRAS,EP2 DAS PALMEIRAS - I,0700505 .,800,251,240,89,2,582,5,12,599,201
SOFALA,CIDADE DA BEIRA,CENTRAL,PALMEIRAS,EP2 DAS PALMEIRAS - I,0700506 .,800,221,239,90,0,550,4,16,570,230
SOFALA,CIDADE DA BEIRA,CENTRAL,PALMEIRAS,EP2 DAS PALMEIRAS - I,0700507 .,707,168,197,94,0,459,7,11,477,230
SOFALA,CIDADE DA BEIRA,CENTRAL,PALMEIRAS,EPC DAS PALMEIRAS -II,0700601 .,800,231,221,108,3,563,13,16,592,208
SOFALA,CIDADE DA BEIRA,CENTRAL,PALMEIRAS,EPC DAS PALMEIRAS -II,0700602 .,800,208,232,125,2,567,3,8,578,222
SOFALA,CIDADE DA BEIRA,CENTRAL,PALMEIRAS,EPC DAS PALMEIRAS -II,0700603 .,800,205,268,73,0,546,11,3,560,240
SOFALA,CIDADE DA BEIRA,CENTRAL,PALMEIRAS,EPC DAS PALMEIRAS -II,0700604 .,800,232,247,105,0,584,2,4,590,210
SOFALA,CIDADE DA BEIRA,CENTRAL,PALMEIRAS,EPC DAS PALMEIRAS -II,0700605 .,800,200,254,95,2,551,5,3,559,241
SOFALA,CIDADE DA BEIRA,CENTRAL,PALMEIRAS,EPC DAS PALMEIRAS -II,0700606 .,581,147,204,46,1,398,2,6,406,175
SOFALA,CIDADE DA BEIRA,CENTRAL,PIONEIROS,EPC DO PIONEIROS,0701301 .,800,183,211,134,0,528,2,4,534,266
SOFALA,CIDADE DA BEIRA,CENTRAL,PIONEIROS,EPC DO PIONEIROS,0701302 .,800,143,263,132,0,538,4,6,548,252
SOFALA,CIDADE DA BEIRA,CENTRAL,PIONEIROS,EPC DO PIONEIROS,0701303 .,800,141,224,133,1,499,3,5,507,293
SOFALA,CIDADE DA BEIRA,CENTRAL,PIONEIROS,EPC DO PIONEIROS,0701304 .,800,193,287,96,0,576,2,6,584,216
SOFALA,CIDADE DA BEIRA,CENTRAL,PIONEIROS,EPC DO PIONEIROS,0701305 .,800,172,268,84,1,525,5,14,544,256
SOFALA,CIDADE DA BEIRA,CENTRAL,PIONEIROS,EPC DO PIONEIROS,0701306 .,253,53,92,39,1,185,1,2,188,65
SOFALA,CIDADE DA BEIRA,CENTRAL,PIONEIROS,ESG. M. AMERICA BORD - I,0701401 .,800,215,229,118,0,562,9,15,586,214
SOFALA,CIDADE DA BEIRA,CENTRAL,PIONEIROS,ESG. M. AMERICA BORD - I,0701402 .,800,141,210,150,2,503,5,10,518,282
SOFALA,CIDADE DA BEIRA,CENTRAL,PIONEIROS,ESG. M. AMERICA BORD - I,0701403 .,800,173,223,150,1,547,5,9,561,239
SOFALA,CIDADE DA BEIRA,CENTRAL,PIONEIROS,ESG. M. AMERICA BORD - I,0701404 .,800,145,246,124,2,517,4,9,530,270
SOFALA,CIDADE DA BEIRA,CENTRAL,PIONEIROS,ESG. M. AMERICA BORD - I,0701405 .,481,94,142,72,0,308,3,2,313,168
SOFALA,CIDADE DA BEIRA,CENTRAL,PIONEIROS,ESG. M. AMERICA BORD - II,0701501 .,800,174,220,144,3,541,12,10,563,237
SOFALA,CIDADE DA BEIRA,CENTRAL,PIONEIROS,ESG. M. AMERICA BORD - II,0701502 .,800,173,207,157,0,537,5,12,554,246
SOFALA,CIDADE DA BEIRA,CENTRAL,PIONEIROS,ESG. M. AMERICA BORD - II,0701503 .,800,167,249,142,1,559,3,19,581,219
SOFALA,CIDADE DA BEIRA,CENTRAL,PIONEIROS,ESG. M. AMERICA BORD - II,0701504 .,800,170,234,116,0,520,3,7,530,270
SOFALA,CIDADE DA BEIRA,CENTRAL,PIONEIROS,ESG. M. AMERICA BORD - II,0701505 .,491,95,158,85,0,338,3,2,343,148
SOFALA,CIDADE DA BEIRA,CENTRAL,PONTA-GÊA,EPC EDUARDO MONDLANE,0700901 .,800,261,205,124,0,590,2,9,601,199
SOFALA,CIDADE DA BEIRA,CENTRAL,PONTA-GÊA,EPC EDUARDO MONDLANE,0700902 .,800,204,227,104,0,535,1,6,542,258
SOFALA,CIDADE DA BEIRA,CENTRAL,PONTA-GÊA,EPC EDUARDO MONDLANE,0700903 .,800,212,236,78,0,526,3,2,531,269
SOFALA,CIDADE DA BEIRA,CENTRAL,PONTA-GÊA,EPC EDUARDO MONDLANE,0700904 .,440,98,158,49,1,306,1,2,309,131
SOFALA,CIDADE DA BEIRA,CENTRAL,PONTA-GÊA,ESG DA PONTA-GÊA,0700801 .,800,300,187,128,1,616,4,9,629,171
SOFALA,CIDADE DA BEIRA,CENTRAL,PONTA-GÊA,ESG DA PONTA-GÊA,0700802 .,800,256,195,105,1,557,8,23,588,212
SOFALA,CIDADE DA BEIRA,CENTRAL,PONTA-GÊA,ESG DA PONTA-GÊA,0700803 .,800,270,225,95,0,590,4,7,601,199
SOFALA,CIDADE DA BEIRA,CENTRAL,PONTA-GÊA,ESG DA PONTA-GÊA,0700804 .,800,277,211,85,0,573,2,18,593,207
SOFALA,CIDADE DA BEIRA,CENTRAL,PONTA-GÊA,ESG DA PONTA-GÊA,0700805 .,800,237,207,80,0,524,3,17,544,256
SOFALA,CIDADE DA BEIRA,CENTRAL,PONTA-GÊA,ESG DA PONTA-GÊA,0700806 .,619,176,198,64,1,439,1,7,447,172
SOFALA,CIDADE DA BEIRA,CENTRAL,PONTA-GÊA,PISCINA DE GOTO,0701001 .,800,220,205,122,0,547,7,13,567,233
SOFALA,CIDADE DA BEIRA,CENTRAL,PONTA-GÊA,PISCINA DE GOTO,0701002 .,800,197,197,137,1,532,6,10,548,252
SOFALA,CIDADE DA BEIRA,CENTRAL,PONTA-GÊA,PISCINA DE GOTO,0701003 .,800,199,194,99,1,493,5,24,522,278
SOFALA,CIDADE DA BEIRA,CENTRAL,PONTA-GÊA,PISCINA DE GOTO,0701004 .,800,179,223,110,0,512,2,6,520,280
