"sep=,"
Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
SOFALA,DONDO,DONDO,DONDO SEDE,EP1 25 DE SETEMBRO,0706501 .,800,733,3,14,750,0,1,751,49
SOFALA,DONDO,DONDO,DONDO SEDE,EP1 25 DE SETEMBRO,0706502 .,800,360,53,153,566,17,23,606,194
SOFALA,DONDO,DONDO,DONDO SEDE,EP1 25 DE SETEMBRO,0706503 .,800,330,48,154,532,0,40,572,228
SOFALA,DONDO,DONDO,DONDO SEDE,EP1 25 DE SETEMBRO,0706504 .,800,362,26,55,443,1,110,554,246
SOFALA,DONDO,DONDO,DONDO SEDE,EP1 25 DE SETEMBRO,0706505 .,800,251,74,139,464,23,20,507,293
SOFALA,DONDO,DONDO,DONDO SEDE,EP1 25 DE SETEMBRO,0706506 .,800,430,44,120,594,21,20,635,165
SOFALA,DONDO,DONDO,DONDO SEDE,EP1 25 DE SETEMBRO,0706507 .,800,307,66,126,499,21,31,551,249
SOFALA,DONDO,DONDO,DONDO SEDE,EP1 25 DE SETEMBRO,0706508 .,800,267,52,139,458,8,6,472,328
SOFALA,DONDO,DONDO,DONDO SEDE,EP1 25 DE SETEMBRO,0706509 .,800,192,57,160,409,9,8,426,374
SOFALA,DONDO,DONDO,DONDO SEDE,EP1 25 DE SETEMBRO,0706510 .,495,182,38,68,288,1,1,290,205
SOFALA,DONDO,DONDO,DONDO SEDE,EP1 25 DE SETEMBRO,0721101A .,400,134,28,52,214,4,16,234,166
SOFALA,DONDO,DONDO,DONDO SEDE,EP1 25 DE SETEMBRO,0721101B .,640,113,33,75,221,2,1,224,416
SOFALA,DONDO,DONDO,DONDO SEDE,EP1 ANTIGOS COMBATENTES,0706901 .,800,586,72,86,744,0,19,763,37
SOFALA,DONDO,DONDO,DONDO SEDE,EP1 ANTIGOS COMBATENTES,0706902 .,800,297,57,112,466,15,20,501,299
SOFALA,DONDO,DONDO,DONDO SEDE,EP1 ANTIGOS COMBATENTES,0706903 .,800,339,69,119,527,33,7,567,233
SOFALA,DONDO,DONDO,DONDO SEDE,EP1 ANTIGOS COMBATENTES,0706904 .,800,237,61,99,397,16,10,423,377
SOFALA,DONDO,DONDO,DONDO SEDE,EP1 ANTIGOS COMBATENTES,0706905 .,384,104,22,41,167,3,6,176,208
SOFALA,DONDO,DONDO,DONDO SEDE,EP1 CENTRO EMISSOR,0707301 .,800,389,57,113,559,0,9,568,232
SOFALA,DONDO,DONDO,DONDO SEDE,EP1 CENTRO EMISSOR,0707302 .,800,266,45,117,428,2,43,473,327
SOFALA,DONDO,DONDO,DONDO SEDE,EP1 CENTRO EMISSOR,0707303 .,800,276,52,89,417,7,2,426,374
SOFALA,DONDO,DONDO,DONDO SEDE,EP1 CENTRO EMISSOR,0707304 .,311,120,13,35,168,0,0,168,143
SOFALA,DONDO,DONDO,DONDO SEDE,EP1 DE MACHAROTE,0707001 .,800,325,31,143,499,21,15,535,265
SOFALA,DONDO,DONDO,DONDO SEDE,EP1 DE MACHAROTE,0707002 .,800,434,14,33,481,3,10,494,306
SOFALA,DONDO,DONDO,DONDO SEDE,EP1 DE MACHAROTE,0707003 .,800,261,45,158,464,18,16,498,302
SOFALA,DONDO,DONDO,DONDO SEDE,EP1 DE MACHAROTE,0707004 .,800,230,35,127,392,14,34,440,360
SOFALA,DONDO,DONDO,DONDO SEDE,EP1 DE MACHAROTE,0707005 .,800,237,32,130,399,7,7,413,387
SOFALA,DONDO,DONDO,DONDO SEDE,EP1 DE MACHAROTE,0707006 .,391,166,17,53,236,1,8,245,146
SOFALA,DONDO,DONDO,DONDO SEDE,EP1 DE MADRUZI,0706801 .,800,306,92,107,505,24,14,543,257
SOFALA,DONDO,DONDO,DONDO SEDE,EP1 DE MADRUZI,0706802 .,800,310,82,117,509,13,9,531,269
SOFALA,DONDO,DONDO,DONDO SEDE,EP1 DE MADRUZI,0706803 .,800,266,62,72,400,9,53,462,338
SOFALA,DONDO,DONDO,DONDO SEDE,EP1 DE MADRUZI,0706804A .,400,207,30,67,304,23,7,334,66
SOFALA,DONDO,DONDO,DONDO SEDE,EP1 DE MADRUZI,0706804B .,543,160,47,77,284,1,1,286,257
SOFALA,DONDO,DONDO,DONDO SEDE,EP1 DE THUNDANE,0707401 .,677,259,17,110,386,3,12,401,276
SOFALA,DONDO,DONDO,DONDO SEDE,EPC 7 DE ABRIL,0707101 .,800,581,23,74,678,0,11,689,111
SOFALA,DONDO,DONDO,DONDO SEDE,EPC 7 DE ABRIL,0707102 .,800,342,43,130,515,0,9,524,276
SOFALA,DONDO,DONDO,DONDO SEDE,EPC 7 DE ABRIL,0707103 .,800,273,55,135,463,4,34,501,299
SOFALA,DONDO,DONDO,DONDO SEDE,EPC 7 DE ABRIL,0707104 .,800,283,43,184,510,12,15,537,263
SOFALA,DONDO,DONDO,DONDO SEDE,EPC 7 DE ABRIL,0707105 .,800,265,46,164,475,0,16,491,309
SOFALA,DONDO,DONDO,DONDO SEDE,EPC 7 DE ABRIL,0707106 .,800,370,38,152,560,1,4,565,235
SOFALA,DONDO,DONDO,DONDO SEDE,EPC 7 DE ABRIL,0707107 .,800,445,29,53,527,0,11,538,262
SOFALA,DONDO,DONDO,DONDO SEDE,EPC 7 DE ABRIL,0707108 .,800,312,40,126,478,2,6,486,314
SOFALA,DONDO,DONDO,DONDO SEDE,EPC 7 DE ABRIL,0707109 .,800,233,48,136,417,6,8,431,369
SOFALA,DONDO,DONDO,DONDO SEDE,EPC 7 DE ABRIL,0707110 .,800,342,35,102,479,0,35,514,286
SOFALA,DONDO,DONDO,DONDO SEDE,EPC 7 DE ABRIL,0707111 .,800,210,38,132,380,11,5,396,404
SOFALA,DONDO,DONDO,DONDO SEDE,EPC 7 DE ABRIL,0707112 .,356,157,16,66,239,0,0,239,117
SOFALA,DONDO,DONDO,DONDO SEDE,EPC DE MARCAÇAO,0707201A .,400,326,29,50,405,0,5,410,-10
SOFALA,DONDO,DONDO,DONDO SEDE,EPC DE MARCAÇAO,0707201B .,521,274,29,72,375,9,2,386,135
SOFALA,DONDO,DONDO,DONDO SEDE,EPC EDUARDO MONDLANE,0706701 .,800,324,100,99,523,2,45,570,230
SOFALA,DONDO,DONDO,DONDO SEDE,EPC EDUARDO MONDLANE,0706702 .,800,238,122,121,481,15,5,501,299
SOFALA,DONDO,DONDO,DONDO SEDE,EPC EDUARDO MONDLANE,0706703 .,800,405,60,76,541,1,104,646,154
SOFALA,DONDO,DONDO,DONDO SEDE,EPC EDUARDO MONDLANE,0706704 .,671,229,78,84,391,13,10,414,257
SOFALA,DONDO,DONDO,DONDO SEDE,ESC DO DONDO,0706601 .,800,505,42,119,666,4,9,679,121
SOFALA,DONDO,DONDO,DONDO SEDE,ESC DO DONDO,0706602 .,800,372,63,119,554,17,11,582,218
SOFALA,DONDO,DONDO,DONDO SEDE,ESC DO DONDO,0706603 .,800,375,50,129,554,11,12,577,223
SOFALA,DONDO,DONDO,DONDO SEDE,ESC DO DONDO,0706604 .,800,510,49,91,650,1,3,654,146
SOFALA,DONDO,DONDO,DONDO SEDE,ESC DO DONDO,0706605 .,800,408,42,92,542,0,4,546,254
SOFALA,DONDO,DONDO,DONDO SEDE,ESC DO DONDO,0706606 .,800,372,55,124,551,9,11,571,229
SOFALA,DONDO,DONDO,DONDO SEDE,ESC DO DONDO,0706607 .,800,299,54,88,441,3,22,466,334
SOFALA,DONDO,DONDO,DONDO SEDE,ESC DO DONDO,0706608A .,400,265,32,54,351,4,8,363,37
SOFALA,DONDO,DONDO,DONDO SEDE,ESC DO DONDO,0706608B .,417,275,32,72,379,2,1,382,35
