"sep=,"
Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
SOFALA,GORONGOSA,VILA SEDE,TAMBARARA,EPC 1º DE MAIO,0709301 .,800,499,35,97,631,16,5,652,148
SOFALA,GORONGOSA,VILA SEDE,TAMBARARA,EPC 1º DE MAIO,0709302 .,800,435,23,96,554,18,9,581,219
SOFALA,GORONGOSA,VILA SEDE,TAMBARARA,EPC 1º DE MAIO,0709303 .,800,444,29,108,581,13,8,602,198
SOFALA,GORONGOSA,VILA SEDE,TAMBARARA,EPC 1º DE MAIO,0709304 .,800,403,30,107,540,15,2,557,243
SOFALA,GORONGOSA,VILA SEDE,TAMBARARA,EPC 1º DE MAIO,0709305 .,800,404,25,107,536,25,5,566,234
SOFALA,GORONGOSA,VILA SEDE,TAMBARARA,EPC 1º DE MAIO,0709306 .,800,399,37,114,550,14,4,568,232
SOFALA,GORONGOSA,VILA SEDE,TAMBARARA,EPC 1º DE MAIO,0709307 .,800,346,38,122,506,8,4,518,282
SOFALA,GORONGOSA,VILA SEDE,TAMBARARA,EPC 1º DE MAIO,0709308 .,800,379,23,121,523,6,6,535,265
SOFALA,GORONGOSA,VILA SEDE,TAMBARARA,EPC 1º DE MAIO,0709309 .,800,348,39,111,498,11,9,518,282
SOFALA,GORONGOSA,VILA SEDE,TAMBARARA,EPC 1º DE MAIO,0709310 .,392,174,18,73,265,3,1,269,123
SOFALA,GORONGOSA,VILA SEDE,TAMBARARA,EPC DE COLEGIO NOVA JERUSALEM,0710001 .,800,408,60,129,597,20,1,618,182
SOFALA,GORONGOSA,VILA SEDE,TAMBARARA,EPC DE COLEGIO NOVA JERUSALEM,0710002 .,800,356,42,102,500,21,3,524,276
SOFALA,GORONGOSA,VILA SEDE,TAMBARARA,EPC DE COLEGIO NOVA JERUSALEM,0710003 .,800,357,55,141,553,10,4,567,233
SOFALA,GORONGOSA,VILA SEDE,TAMBARARA,EPC DE COLEGIO NOVA JERUSALEM,0710004 .,800,342,47,124,513,10,1,524,276
SOFALA,GORONGOSA,VILA SEDE,TAMBARARA,EPC DE COLEGIO NOVA JERUSALEM,0710005 .,800,315,50,94,459,11,11,481,319
SOFALA,GORONGOSA,VILA SEDE,TAMBARARA,EPC DE COLEGIO NOVA JERUSALEM,0710006 .,468,173,27,65,265,6,3,274,194
SOFALA,GORONGOSA,VILA SEDE,TAMBARARA,EPC DE MAPOMBUE,0709401 .,800,452,46,94,592,41,13,646,154
SOFALA,GORONGOSA,VILA SEDE,TAMBARARA,EPC DE MAPOMBUE,0709402 .,800,430,39,88,557,25,9,591,209
SOFALA,GORONGOSA,VILA SEDE,TAMBARARA,EPC DE MAPOMBUE,0709403 .,800,386,43,107,536,25,3,564,236
SOFALA,GORONGOSA,VILA SEDE,TAMBARARA,EPC DE MAPOMBUE,0709404 .,800,380,32,84,496,18,2,516,284
SOFALA,GORONGOSA,VILA SEDE,TAMBARARA,EPC DE MAPOMBUE,0709405 .,800,308,31,104,443,14,8,465,335
SOFALA,GORONGOSA,VILA SEDE,TAMBARARA,EPC DE MAPOMBUE,0709406 .,800,350,36,97,483,11,8,502,298
SOFALA,GORONGOSA,VILA SEDE,TAMBARARA,EPC DE MAPOMBUE,0709407 .,800,278,38,86,402,13,1,416,384
SOFALA,GORONGOSA,VILA SEDE,TAMBARARA,EPC DE MAPOMBUE,0709408 .,265,104,14,40,158,3,2,163,102
