"sep=,"
Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
SOFALA,NHAMATANDA,NHAMATANDA,VILA SEDE,EPC 1 DE JUNHO MAPALANHANGA,0715601A .,400,154,13,105,272,15,5,292,108
SOFALA,NHAMATANDA,NHAMATANDA,VILA SEDE,EPC 1 DE JUNHO MAPALANHANGA,0715601B .,634,199,16,137,352,21,5,378,256
SOFALA,NHAMATANDA,NHAMATANDA,VILA SEDE,EPC 3 DE FEVEREIRO,0715801 .,800,275,27,237,539,15,14,568,232
SOFALA,NHAMATANDA,NHAMATANDA,VILA SEDE,EPC 3 DE FEVEREIRO,0715802 .,800,240,36,248,524,16,16,556,244
SOFALA,NHAMATANDA,NHAMATANDA,VILA SEDE,EPC 3 DE FEVEREIRO,0715803 .,800,233,35,259,527,9,10,546,254
SOFALA,NHAMATANDA,NHAMATANDA,VILA SEDE,EPC 3 DE FEVEREIRO,0715804 .,800,224,28,230,482,9,16,507,293
SOFALA,NHAMATANDA,NHAMATANDA,VILA SEDE,EPC 3 DE FEVEREIRO,0715805 .,800,194,22,223,439,13,6,458,342
SOFALA,NHAMATANDA,NHAMATANDA,VILA SEDE,EPC 3 DE FEVEREIRO,0715806 .,800,178,20,190,388,13,34,435,365
SOFALA,NHAMATANDA,NHAMATANDA,VILA SEDE,EPC 3 DE FEVEREIRO,0715807 .,800,190,22,208,420,10,4,434,366
SOFALA,NHAMATANDA,NHAMATANDA,VILA SEDE,EPC 3 DE FEVEREIRO,0715808 .,303,76,11,92,179,2,1,182,121
SOFALA,NHAMATANDA,NHAMATANDA,VILA SEDE,EPC DE KURA,0715501A .,400,155,16,99,270,13,3,286,114
SOFALA,NHAMATANDA,NHAMATANDA,VILA SEDE,EPC DE KURA,0715501B .,468,181,14,74,269,5,14,288,180
SOFALA,NHAMATANDA,NHAMATANDA,VILA SEDE,EPC DE SEBASTIAO M. MABOTE,0715701 .,800,322,25,228,575,15,8,598,202
SOFALA,NHAMATANDA,NHAMATANDA,VILA SEDE,EPC DE SEBASTIAO M. MABOTE,0715702 .,800,303,22,205,530,11,9,550,250
SOFALA,NHAMATANDA,NHAMATANDA,VILA SEDE,EPC DE SEBASTIAO M. MABOTE,0715703 .,793,240,14,195,449,9,5,463,330
SOFALA,NHAMATANDA,NHAMATANDA,VILA SEDE,EPC HEROIS MOCAMBICANO,0715301 .,800,409,31,159,599,3,8,610,190
SOFALA,NHAMATANDA,NHAMATANDA,VILA SEDE,EPC HEROIS MOCAMBICANO,0715302 .,800,364,27,199,590,24,3,617,183
SOFALA,NHAMATANDA,NHAMATANDA,VILA SEDE,EPC HEROIS MOCAMBICANO,0715303 .,800,313,23,179,515,12,10,537,263
SOFALA,NHAMATANDA,NHAMATANDA,VILA SEDE,EPC HEROIS MOCAMBICANO,0715304 .,800,334,22,198,554,13,11,578,222
SOFALA,NHAMATANDA,NHAMATANDA,VILA SEDE,EPC HEROIS MOCAMBICANO,0715305 .,800,334,28,182,544,13,7,564,236
SOFALA,NHAMATANDA,NHAMATANDA,VILA SEDE,EPC HEROIS MOCAMBICANO,0715306 .,800,321,31,180,532,8,7,547,253
SOFALA,NHAMATANDA,NHAMATANDA,VILA SEDE,EPC HEROIS MOCAMBICANO,0715307 .,800,283,23,199,505,18,8,531,269
SOFALA,NHAMATANDA,NHAMATANDA,VILA SEDE,EPC HEROIS MOCAMBICANO,0715308 .,800,315,25,160,500,11,5,516,284
SOFALA,NHAMATANDA,NHAMATANDA,VILA SEDE,EPC HEROIS MOCAMBICANO,0715309 .,800,298,16,178,492,6,9,507,293
SOFALA,NHAMATANDA,NHAMATANDA,VILA SEDE,EPC HEROIS MOCAMBICANO,0715310 .,730,257,22,144,423,10,6,439,291
SOFALA,NHAMATANDA,NHAMATANDA,VILA SEDE,EPC JOSSIAS TONGOGARA,0715401 .,800,349,19,214,582,17,22,621,179
SOFALA,NHAMATANDA,NHAMATANDA,VILA SEDE,EPC JOSSIAS TONGOGARA,0715402 .,800,271,21,245,537,17,6,560,240
SOFALA,NHAMATANDA,NHAMATANDA,VILA SEDE,EPC JOSSIAS TONGOGARA,0715403 .,800,304,18,227,549,20,9,578,222
SOFALA,NHAMATANDA,NHAMATANDA,VILA SEDE,EPC JOSSIAS TONGOGARA,0715404 .,800,248,22,284,554,16,6,576,224
SOFALA,NHAMATANDA,NHAMATANDA,VILA SEDE,EPC JOSSIAS TONGOGARA,0715405A .,400,130,12,117,259,2,0,261,139
SOFALA,NHAMATANDA,NHAMATANDA,VILA SEDE,EPC JOSSIAS TONGOGARA,0715405B .,430,140,15,131,286,7,4,297,133
