"sep=,"
Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
TETE,ANGÓNIA,ULONGUÉ,VILA DE ULÓNGUÈ,CHIZEZE,0504701 .,800,234,11,274,519,21,6,546,254
TETE,ANGÓNIA,ULONGUÉ,VILA DE ULÓNGUÈ,CHIZEZE,0504702 .,134,33,3,40,76,0,2,78,56
TETE,ANGÓNIA,ULONGUÉ,VILA DE ULÓNGUÈ,EP1 DE CHINDEQUE,0503901 .,800,154,10,124,288,8,265,561,239
TETE,ANGÓNIA,ULONGUÉ,VILA DE ULÓNGUÈ,EP1 DE CHINDEQUE,0503902 .,259,34,3,93,130,4,6,140,119
TETE,ANGÓNIA,ULONGUÉ,VILA DE ULÓNGUÈ,EP1 DE MATEWERE,0504501 .,800,277,30,162,469,13,14,496,304
TETE,ANGÓNIA,ULONGUÉ,VILA DE ULÓNGUÈ,EP1 DE MATEWERE,0504502 .,800,165,44,190,399,29,8,436,364
TETE,ANGÓNIA,ULONGUÉ,VILA DE ULÓNGUÈ,EP1 DE MATEWERE,0504503 .,351,65,6,73,144,1,5,150,201
TETE,ANGÓNIA,ULONGUÉ,VILA DE ULÓNGUÈ,EP1 DE NATCHOLI,0504201 .,800,384,29,54,467,3,13,483,317
TETE,ANGÓNIA,ULONGUÉ,VILA DE ULÓNGUÈ,EP1 DE NATCHOLI,0504202 .,348,108,18,30,156,12,2,170,178
TETE,ANGÓNIA,ULONGUÉ,VILA DE ULÓNGUÈ,EP1 DE NDUNDU,0504101 .,800,171,12,239,422,21,11,454,346
TETE,ANGÓNIA,ULONGUÉ,VILA DE ULÓNGUÈ,EP1 DE NDUNDU,0504102 .,327,57,7,49,113,5,5,123,204
TETE,ANGÓNIA,ULONGUÉ,VILA DE ULÓNGUÈ,EPC DE (MASSILIA) N'SENDEZA,0504601 .,800,247,7,300,554,22,18,594,206
TETE,ANGÓNIA,ULONGUÉ,VILA DE ULÓNGUÈ,EPC DE (MASSILIA) N'SENDEZA,0504602 .,437,131,6,143,280,18,25,323,114
TETE,ANGÓNIA,ULONGUÉ,VILA DE ULÓNGUÈ,EPC DE N'SEULA-VELHA,0504401 .,800,159,21,279,459,32,22,513,287
TETE,ANGÓNIA,ULONGUÉ,VILA DE ULÓNGUÈ,EPC DE N'SEULA-VELHA,0504402 .,421,98,5,109,212,11,15,238,183
TETE,ANGÓNIA,ULONGUÉ,VILA DE ULÓNGUÈ,EPC DE ULÓNGUE ,0503701 .,800,319,5,147,471,10,19,500,300
TETE,ANGÓNIA,ULONGUÉ,VILA DE ULÓNGUÈ,EPC DE ULÓNGUE ,0503702 .,800,300,9,162,471,3,7,481,319
TETE,ANGÓNIA,ULONGUÉ,VILA DE ULÓNGUÈ,EPC DE ULÓNGUE ,0503703 .,800,269,7,163,439,2,8,449,351
TETE,ANGÓNIA,ULONGUÉ,VILA DE ULÓNGUÈ,EPC DE ULÓNGUE ,0503704 .,800,344,11,128,483,1,33,517,283
TETE,ANGÓNIA,ULONGUÉ,VILA DE ULÓNGUÈ,EPC DE ULÓNGUE ,0503705 .,611,266,3,87,356,2,52,410,201
TETE,ANGÓNIA,ULONGUÉ,VILA DE ULÓNGUÈ,EPC UNIDADE ULÓNGUÈ 1,0503801 .,800,216,4,142,362,6,65,433,367
TETE,ANGÓNIA,ULONGUÉ,VILA DE ULÓNGUÈ,EPC UNIDADE ULÓNGUÈ 1,0503802 .,800,200,4,148,352,3,28,383,417
TETE,ANGÓNIA,ULONGUÉ,VILA DE ULÓNGUÈ,EPC UNIDADE ULÓNGUÈ 1,0503803 .,800,154,7,170,331,11,8,350,450
TETE,ANGÓNIA,ULONGUÉ,VILA DE ULÓNGUÈ,EPC UNIDADE ULÓNGUÈ 1,0503804A .,400,82,5,91,178,1,12,191,209
TETE,ANGÓNIA,ULONGUÉ,VILA DE ULÓNGUÈ,EPC UNIDADE ULÓNGUÈ 1,0503804B .,485,93,1,113,207,7,6,220,265
TETE,ANGÓNIA,ULONGUÉ,VILA DE ULÓNGUÈ,ESCOLA SECUNDARIA DE ULÓNGUE,0503601 .,800,358,8,114,480,6,29,515,285
TETE,ANGÓNIA,ULONGUÉ,VILA DE ULÓNGUÈ,ESCOLA SECUNDARIA DE ULÓNGUE,0503602 .,800,337,7,139,483,10,6,499,301
TETE,ANGÓNIA,ULONGUÉ,VILA DE ULÓNGUÈ,ESCOLA SECUNDARIA DE ULÓNGUE,0503603 .,800,323,10,120,453,4,4,461,339
TETE,ANGÓNIA,ULONGUÉ,VILA DE ULÓNGUÈ,ESCOLA SECUNDARIA DE ULÓNGUE,0503604 .,800,332,11,131,474,6,3,483,317
TETE,ANGÓNIA,ULONGUÉ,VILA DE ULÓNGUÈ,ESCOLA SECUNDARIA DE ULÓNGUE,0503605 .,800,350,7,125,482,4,8,494,306
TETE,ANGÓNIA,ULONGUÉ,VILA DE ULÓNGUÈ,ESCOLA SECUNDARIA DE ULÓNGUE,0503606 .,143,49,3,28,80,1,1,82,61
TETE,ANGÓNIA,ULONGUÉ,VILA DE ULÓNGUÈ,KAMPIRU,0504301 .,483,312,13,22,347,27,8,382,101
TETE,ANGÓNIA,ULONGUÉ,VILA DE ULÓNGUÈ,MACUCA,0504001 .,800,220,25,219,464,7,89,560,240
TETE,ANGÓNIA,ULONGUÉ,VILA DE ULÓNGUÈ,MACUCA,0504002 .,386,82,11,99,192,12,27,231,155
