"sep=,"
Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
TETE,CIDADE DE TETE,CIDADE DE TETE,CHINGODZI,EPC 3 DE JANEIRO,0501801 .,800,314,18,190,522,16,11,549,251
TETE,CIDADE DE TETE,CIDADE DE TETE,CHINGODZI,EPC 3 DE JANEIRO,0501802 .,800,285,18,193,496,13,7,516,284
TETE,CIDADE DE TETE,CIDADE DE TETE,CHINGODZI,EPC 3 DE JANEIRO,0501803 .,800,304,10,191,505,11,8,524,276
TETE,CIDADE DE TETE,CIDADE DE TETE,CHINGODZI,EPC 3 DE JANEIRO,0501804 .,800,279,12,198,489,7,14,510,290
TETE,CIDADE DE TETE,CIDADE DE TETE,CHINGODZI,EPC 3 DE JANEIRO,0501805 .,800,258,15,219,492,11,6,509,291
TETE,CIDADE DE TETE,CIDADE DE TETE,CHINGODZI,EPC 3 DE JANEIRO,0501806 .,800,273,18,205,496,5,14,515,285
TETE,CIDADE DE TETE,CIDADE DE TETE,CHINGODZI,EPC 3 DE JANEIRO,0501807 .,800,237,11,224,472,6,7,485,315
TETE,CIDADE DE TETE,CIDADE DE TETE,CHINGODZI,EPC 3 DE JANEIRO,0501808 .,463,119,5,124,248,4,8,260,203
TETE,CIDADE DE TETE,CIDADE DE TETE,CHINGODZI,EPC 3 DE JANEIRO,0525401 .,560,162,9,121,292,6,7,305,255
TETE,CIDADE DE TETE,CIDADE DE TETE,CHINGODZI,EPC AEROPORTO,0501901 .,800,324,19,194,537,32,14,583,217
TETE,CIDADE DE TETE,CIDADE DE TETE,CHINGODZI,EPC AEROPORTO,0501902 .,800,211,12,225,448,24,11,483,317
TETE,CIDADE DE TETE,CIDADE DE TETE,CHINGODZI,EPC AEROPORTO,0501903 .,800,220,13,225,458,21,15,494,306
TETE,CIDADE DE TETE,CIDADE DE TETE,CHINGODZI,EPC AEROPORTO,0501904 .,800,175,11,210,396,14,18,428,372
TETE,CIDADE DE TETE,CIDADE DE TETE,CHINGODZI,EPC AEROPORTO,0501905 .,800,171,9,187,367,10,9,386,414
TETE,CIDADE DE TETE,CIDADE DE TETE,CHINGODZI,EPC AEROPORTO,0501906 .,578,105,9,131,245,4,3,252,326
TETE,CIDADE DE TETE,CIDADE DE TETE,CHINGODZI,EPC AEROPORTO,0525901 .,426,64,6,112,182,3,1,186,240
TETE,CIDADE DE TETE,CIDADE DE TETE,CHINGODZI,EPC NGUNGUNHANA,0502101 .,800,262,10,231,503,13,13,529,271
TETE,CIDADE DE TETE,CIDADE DE TETE,CHINGODZI,EPC NGUNGUNHANA,0502102 .,800,227,13,250,490,7,19,516,284
TETE,CIDADE DE TETE,CIDADE DE TETE,CHINGODZI,EPC NGUNGUNHANA,0502103 .,800,237,12,226,475,9,9,493,307
TETE,CIDADE DE TETE,CIDADE DE TETE,CHINGODZI,EPC NGUNGUNHANA,0502104 .,800,221,10,225,456,6,11,473,327
TETE,CIDADE DE TETE,CIDADE DE TETE,CHINGODZI,EPC NGUNGUNHANA,0502105 .,800,222,6,223,451,5,11,467,333
TETE,CIDADE DE TETE,CIDADE DE TETE,CHINGODZI,EPC NGUNGUNHANA,0502106 .,800,198,10,243,451,10,13,474,326
TETE,CIDADE DE TETE,CIDADE DE TETE,CHINGODZI,EPC NGUNGUNHANA,0502107 .,800,207,10,216,433,13,8,454,346
TETE,CIDADE DE TETE,CIDADE DE TETE,CHINGODZI,EPC NGUNGUNHANA,0502108 .,700,159,9,210,378,7,6,391,309
TETE,CIDADE DE TETE,CIDADE DE TETE,CHINGODZI,EPC NGUNGUNHANA,0526901 .,756,181,13,226,420,5,4,429,327
TETE,CIDADE DE TETE,CIDADE DE TETE,CHINGODZI,ESCOLA SECUNDARIA SOS,0502001 .,800,304,4,208,516,4,2,522,278
TETE,CIDADE DE TETE,CIDADE DE TETE,CHINGODZI,ESCOLA SECUNDARIA SOS,0502002 .,800,309,12,199,520,7,6,533,267
TETE,CIDADE DE TETE,CIDADE DE TETE,CHINGODZI,ESCOLA SECUNDARIA SOS,0502003 .,800,270,7,202,479,10,5,494,306
TETE,CIDADE DE TETE,CIDADE DE TETE,CHINGODZI,ESCOLA SECUNDARIA SOS,0502004 .,800,251,8,223,482,8,7,497,303
TETE,CIDADE DE TETE,CIDADE DE TETE,CHINGODZI,ESCOLA SECUNDARIA SOS,0502005 .,800,236,8,188,432,7,10,449,351
TETE,CIDADE DE TETE,CIDADE DE TETE,CHINGODZI,ESCOLA SECUNDARIA SOS,0502006 .,800,247,14,211,472,5,11,488,312
TETE,CIDADE DE TETE,CIDADE DE TETE,CHINGODZI,ESCOLA SECUNDARIA SOS,0502007 .,800,213,15,208,436,6,2,444,356
TETE,CIDADE DE TETE,CIDADE DE TETE,CHINGODZI,ESCOLA SECUNDARIA SOS,0502008 .,385,104,8,84,196,0,5,201,184
TETE,CIDADE DE TETE,CIDADE DE TETE,CHINGODZI,ESCOLA SECUNDARIA SOS,0524001 .,621,162,11,159,332,2,1,335,286
TETE,CIDADE DE TETE,CIDADE DE TETE,DÉGUE,EP1 DE CANSETA,0501001 .,400,234,8,49,291,12,6,309,91
TETE,CIDADE DE TETE,CIDADE DE TETE,DÉGUE,EP1 DE CATIVO (NHANKANGAIWA),0501101 .,251,147,7,21,175,6,4,185,66
TETE,CIDADE DE TETE,CIDADE DE TETE,DÉGUE,EP1 DE MACÔA,0500501 .,424,223,9,66,298,18,17,333,91
TETE,CIDADE DE TETE,CIDADE DE TETE,DÉGUE,EP1 DE MITSANHA,0500701 .,707,325,12,81,418,25,7,450,257
TETE,CIDADE DE TETE,CIDADE DE TETE,DÉGUE,EP1 DE MUFA,0500601 .,800,405,20,84,509,26,10,545,255
TETE,CIDADE DE TETE,CIDADE DE TETE,DÉGUE,EP1 DE MUFA,0500602 .,614,207,20,86,313,18,6,337,277
TETE,CIDADE DE TETE,CIDADE DE TETE,DÉGUE,EP1 DE NHAODZA,0500901 .,493,301,4,45,350,9,6,365,128
TETE,CIDADE DE TETE,CIDADE DE TETE,DÉGUE,EPC DE CHIGAMANDA,0500801 .,800,405,10,39,454,15,13,482,318
TETE,CIDADE DE TETE,CIDADE DE TETE,DÉGUE,EPC DE CHIGAMANDA,0500802 .,206,69,1,17,87,3,3,93,113
TETE,CIDADE DE TETE,CIDADE DE TETE,DÉGUE,EPC DE DÉGUE,0500401 .,800,421,18,148,587,35,20,642,158
TETE,CIDADE DE TETE,CIDADE DE TETE,DÉGUE,EPC DE DÉGUE,0500402 .,800,393,12,127,532,33,20,585,215
TETE,CIDADE DE TETE,CIDADE DE TETE,DÉGUE,EPC DE DÉGUE,0500403 .,327,129,3,53,185,6,7,198,129
TETE,CIDADE DE TETE,CIDADE DE TETE,FILIPE SAMUEL MAGAIA,EPC DE NHAMABIRA A,0501401 .,800,410,11,172,593,14,8,615,185
TETE,CIDADE DE TETE,CIDADE DE TETE,FILIPE SAMUEL MAGAIA,EPC DE NHAMABIRA A,0501402 .,800,369,13,181,563,7,10,580,220
TETE,CIDADE DE TETE,CIDADE DE TETE,FILIPE SAMUEL MAGAIA,EPC DE NHAMABIRA A,0501403 .,800,398,13,162,573,7,8,588,212
TETE,CIDADE DE TETE,CIDADE DE TETE,FILIPE SAMUEL MAGAIA,EPC DE NHAMABIRA A,0501404 .,800,297,13,204,514,7,5,526,274
TETE,CIDADE DE TETE,CIDADE DE TETE,FILIPE SAMUEL MAGAIA,EPC DE NHAMABIRA A,0501405 .,800,266,7,207,480,5,11,496,304
TETE,CIDADE DE TETE,CIDADE DE TETE,FILIPE SAMUEL MAGAIA,EPC DE NHAMABIRA A,0501406 .,719,213,10,189,412,11,3,426,293
TETE,CIDADE DE TETE,CIDADE DE TETE,FILIPE SAMUEL MAGAIA,EPC DE NHAMABIRA B,0501501 .,800,322,13,193,528,13,9,550,250
TETE,CIDADE DE TETE,CIDADE DE TETE,FILIPE SAMUEL MAGAIA,EPC DE NHAMABIRA B,0501502 .,800,325,17,205,547,11,9,567,233
TETE,CIDADE DE TETE,CIDADE DE TETE,FILIPE SAMUEL MAGAIA,EPC DE NHAMABIRA B,0501503 .,800,242,7,240,489,10,12,511,289
TETE,CIDADE DE TETE,CIDADE DE TETE,FILIPE SAMUEL MAGAIA,EPC DE NHAMABIRA B,0501504 .,499,106,10,143,259,3,2,264,235
TETE,CIDADE DE TETE,CIDADE DE TETE,FRANCISCO MANYANGA,EPC CHINGALE,0500301 .,800,409,13,150,572,9,11,592,208
TETE,CIDADE DE TETE,CIDADE DE TETE,FRANCISCO MANYANGA,EPC CHINGALE,0500302 .,800,374,10,179,563,11,12,586,214
TETE,CIDADE DE TETE,CIDADE DE TETE,FRANCISCO MANYANGA,EPC CHINGALE,0500303 .,800,319,19,192,530,5,6,541,259
TETE,CIDADE DE TETE,CIDADE DE TETE,FRANCISCO MANYANGA,EPC CHINGALE,0500304 .,474,155,8,124,287,2,2,291,183
TETE,CIDADE DE TETE,CIDADE DE TETE,FRANCISCO MANYANGA,EPC MARIEN NGOUABI,0500101 .,800,366,8,184,558,4,8,570,230
TETE,CIDADE DE TETE,CIDADE DE TETE,FRANCISCO MANYANGA,EPC MARIEN NGOUABI,0500102 .,800,364,6,204,574,4,5,583,217
TETE,CIDADE DE TETE,CIDADE DE TETE,FRANCISCO MANYANGA,EPC MARIEN NGOUABI,0500103 .,800,336,12,204,552,4,10,566,234
TETE,CIDADE DE TETE,CIDADE DE TETE,FRANCISCO MANYANGA,EPC MARIEN NGOUABI,0500104 .,800,295,11,218,524,10,3,537,263
TETE,CIDADE DE TETE,CIDADE DE TETE,FRANCISCO MANYANGA,EPC MARIEN NGOUABI,0500105 .,800,318,14,209,541,3,12,556,244
TETE,CIDADE DE TETE,CIDADE DE TETE,FRANCISCO MANYANGA,EPC MARIEN NGOUABI,0500106 .,800,249,11,244,504,5,6,515,285
TETE,CIDADE DE TETE,CIDADE DE TETE,FRANCISCO MANYANGA,EPC MARIEN NGOUABI,0526401 .,764,212,10,232,454,3,6,463,301
TETE,CIDADE DE TETE,CIDADE DE TETE,FRANCISCO MANYANGA,ESCOLA SECUNDÁRIA DE TETE,0500201 .,800,295,8,240,543,10,7,560,240
TETE,CIDADE DE TETE,CIDADE DE TETE,FRANCISCO MANYANGA,ESCOLA SECUNDÁRIA DE TETE,0500202 .,800,250,8,244,502,8,3,513,287
TETE,CIDADE DE TETE,CIDADE DE TETE,FRANCISCO MANYANGA,ESCOLA SECUNDÁRIA DE TETE,0500203 .,800,249,16,222,487,5,11,503,297
TETE,CIDADE DE TETE,CIDADE DE TETE,FRANCISCO MANYANGA,ESCOLA SECUNDÁRIA DE TETE,0500204 .,800,271,11,223,505,4,3,512,288
TETE,CIDADE DE TETE,CIDADE DE TETE,FRANCISCO MANYANGA,ESCOLA SECUNDÁRIA DE TETE,0500205 .,800,238,10,236,484,4,4,492,308
TETE,CIDADE DE TETE,CIDADE DE TETE,FRANCISCO MANYANGA,ESCOLA SECUNDÁRIA DE TETE,0500206 .,800,253,12,229,494,3,5,502,298
TETE,CIDADE DE TETE,CIDADE DE TETE,FRANCISCO MANYANGA,ESCOLA SECUNDÁRIA DE TETE,0500207 .,800,217,7,261,485,5,2,492,308
TETE,CIDADE DE TETE,CIDADE DE TETE,FRANCISCO MANYANGA,ESCOLA SECUNDÁRIA DE TETE,0500208 .,233,68,7,64,139,0,0,139,94
TETE,CIDADE DE TETE,CIDADE DE TETE,FRANCISCO MANYANGA,ESCOLA SECUNDÁRIA DE TETE,0523801 .,693,157,22,193,372,3,11,386,307
TETE,CIDADE DE TETE,CIDADE DE TETE,JOSINA MACHEL,EPC PAULO SAMUEL KANKHOMBA,0501201 .,800,329,10,243,582,5,13,600,200
TETE,CIDADE DE TETE,CIDADE DE TETE,JOSINA MACHEL,EPC PAULO SAMUEL KANKHOMBA,0501202 .,800,283,11,229,523,11,2,536,264
TETE,CIDADE DE TETE,CIDADE DE TETE,JOSINA MACHEL,EPC PAULO SAMUEL KANKHOMBA,0501203 .,800,283,3,246,532,9,5,546,254
TETE,CIDADE DE TETE,CIDADE DE TETE,JOSINA MACHEL,EPC PAULO SAMUEL KANKHOMBA,0501204 .,800,267,23,238,528,6,7,541,259
TETE,CIDADE DE TETE,CIDADE DE TETE,JOSINA MACHEL,EPC PAULO SAMUEL KANKHOMBA,0501205 .,800,238,17,253,508,3,5,516,284
TETE,CIDADE DE TETE,CIDADE DE TETE,JOSINA MACHEL,EPC PAULO SAMUEL KANKHOMBA,0501206A .,400,118,7,127,252,2,0,254,146
TETE,CIDADE DE TETE,CIDADE DE TETE,JOSINA MACHEL,EPC PAULO SAMUEL KANKHOMBA,0501206B .,453,110,7,138,255,2,0,257,196
TETE,CIDADE DE TETE,CIDADE DE TETE,JOSINA MACHEL,JOSINA MACHEL (SALÃO NOBRE) ,0501301 .,800,369,15,233,617,3,2,622,178
TETE,CIDADE DE TETE,CIDADE DE TETE,JOSINA MACHEL,JOSINA MACHEL (SALÃO NOBRE) ,0501302 .,800,341,10,216,567,5,3,575,225
TETE,CIDADE DE TETE,CIDADE DE TETE,JOSINA MACHEL,JOSINA MACHEL (SALÃO NOBRE) ,0501303 .,800,316,18,234,568,2,3,573,227
TETE,CIDADE DE TETE,CIDADE DE TETE,JOSINA MACHEL,JOSINA MACHEL (SALÃO NOBRE) ,0501304 .,764,259,18,252,529,5,8,542,222
TETE,CIDADE DE TETE,CIDADE DE TETE,MATEUS SANSÃO MUTEMBA,EP1 DE MPHANDA,0503001 .,477,220,3,56,279,19,9,307,170
TETE,CIDADE DE TETE,CIDADE DE TETE,MATEUS SANSÃO MUTEMBA,EPC DE CHICOLÓDUE,0502801 .,800,254,10,247,511,11,20,542,258
TETE,CIDADE DE TETE,CIDADE DE TETE,MATEUS SANSÃO MUTEMBA,EPC DE CHICOLÓDUE,0502802 .,800,289,9,216,514,7,14,535,265
TETE,CIDADE DE TETE,CIDADE DE TETE,MATEUS SANSÃO MUTEMBA,EPC DE CHICOLÓDUE,0502803 .,800,244,11,205,460,11,22,493,307
TETE,CIDADE DE TETE,CIDADE DE TETE,MATEUS SANSÃO MUTEMBA,EPC DE CHICOLÓDUE,0502804 .,800,246,6,231,483,8,5,496,304
TETE,CIDADE DE TETE,CIDADE DE TETE,MATEUS SANSÃO MUTEMBA,EPC DE CHICOLÓDUE,0502805 .,800,209,9,217,435,10,9,454,346
TETE,CIDADE DE TETE,CIDADE DE TETE,MATEUS SANSÃO MUTEMBA,EPC DE CHICOLÓDUE,0502806 .,800,185,9,197,391,11,19,421,379
