"sep=,"
Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
TETE,MOATIZE,VILA DE MOATIZE,1º DE MAIO,EPC JOSINA MACHEL,0513401 .,800,269,21,240,530,16,10,556,244
TETE,MOATIZE,VILA DE MOATIZE,1º DE MAIO,EPC JOSINA MACHEL,0513402 .,800,231,15,273,519,11,6,536,264
TETE,MOATIZE,VILA DE MOATIZE,1º DE MAIO,EPC JOSINA MACHEL,0513403 .,800,228,12,227,467,1,7,475,325
TETE,MOATIZE,VILA DE MOATIZE,1º DE MAIO,EPC JOSINA MACHEL,0513404 .,800,225,10,236,471,9,7,487,313
TETE,MOATIZE,VILA DE MOATIZE,1º DE MAIO,EPC JOSINA MACHEL,0513405 .,568,171,8,155,334,2,5,341,227
TETE,MOATIZE,VILA DE MOATIZE,25 DE SETEMBRO,ESCOLA SEC. HERÓIS MOÇAMBICANOS,0513001 .,800,284,17,256,557,9,5,571,229
TETE,MOATIZE,VILA DE MOATIZE,25 DE SETEMBRO,ESCOLA SEC. HERÓIS MOÇAMBICANOS,0513002 .,800,238,5,230,473,3,5,481,319
TETE,MOATIZE,VILA DE MOATIZE,25 DE SETEMBRO,ESCOLA SEC. HERÓIS MOÇAMBICANOS,0513003 .,800,249,16,248,513,5,6,524,276
TETE,MOATIZE,VILA DE MOATIZE,25 DE SETEMBRO,ESCOLA SEC. HERÓIS MOÇAMBICANOS,0513004 .,800,246,14,227,487,7,6,500,300
TETE,MOATIZE,VILA DE MOATIZE,25 DE SETEMBRO,ESCOLA SEC. HERÓIS MOÇAMBICANOS,0513005 .,800,238,14,242,494,12,5,511,289
TETE,MOATIZE,VILA DE MOATIZE,25 DE SETEMBRO,ESCOLA SEC. HERÓIS MOÇAMBICANOS,0513006 .,800,235,15,233,483,2,19,504,296
TETE,MOATIZE,VILA DE MOATIZE,25 DE SETEMBRO,ESCOLA SEC. HERÓIS MOÇAMBICANOS,0513007 .,739,178,14,215,407,5,11,423,316
TETE,MOATIZE,VILA DE MOATIZE,BAGAMOIO,UNIDADE 6 (ALGODOEIRA),0512801 .,800,226,16,260,502,21,8,531,269
TETE,MOATIZE,VILA DE MOATIZE,BAGAMOIO,UNIDADE 6 (ALGODOEIRA),0512802 .,800,213,13,269,495,7,7,509,291
TETE,MOATIZE,VILA DE MOATIZE,BAGAMOIO,UNIDADE 6 (ALGODOEIRA),0512803 .,800,204,15,259,478,19,12,509,291
TETE,MOATIZE,VILA DE MOATIZE,BAGAMOIO,UNIDADE 6 (ALGODOEIRA),0512804 .,800,172,11,250,433,13,4,450,350
TETE,MOATIZE,VILA DE MOATIZE,BAGAMOIO,UNIDADE 6 (ALGODOEIRA),0512805 .,800,166,13,244,423,10,15,448,352
TETE,MOATIZE,VILA DE MOATIZE,BAGAMOIO,UNIDADE 6 (ALGODOEIRA),0512806 .,263,75,7,68,150,5,2,157,106
TETE,MOATIZE,VILA DE MOATIZE,CHIPANGA/MALABWE,EPC VERA -OCCHIENA,0513201 .,800,237,5,306,548,8,5,561,239
TETE,MOATIZE,VILA DE MOATIZE,CHIPANGA/MALABWE,EPC VERA -OCCHIENA,0513202 .,800,202,13,300,515,11,8,534,266
TETE,MOATIZE,VILA DE MOATIZE,CHIPANGA/MALABWE,EPC VERA -OCCHIENA,0513203 .,800,182,15,276,473,11,8,492,308
TETE,MOATIZE,VILA DE MOATIZE,CHIPANGA/MALABWE,EPC VERA -OCCHIENA,0513204 .,573,165,14,170,349,8,4,361,212
TETE,MOATIZE,VILA DE MOATIZE,CHITHATHA,EPC DE CHITHATHA,0513501 .,800,346,16,164,526,16,15,557,243
TETE,MOATIZE,VILA DE MOATIZE,CHITHATHA,EPC DE CHITHATHA,0513502 .,800,310,10,212,532,14,7,553,247
TETE,MOATIZE,VILA DE MOATIZE,CHITHATHA,EPC DE CHITHATHA,0513503 .,328,98,2,75,175,2,2,179,149
TETE,MOATIZE,VILA DE MOATIZE,LIBERDADE,EPC MISSÃO PARÓQUIA,0513301 .,800,216,10,219,445,7,33,485,315
TETE,MOATIZE,VILA DE MOATIZE,LIBERDADE,EPC MISSÃO PARÓQUIA,0513302 .,800,194,7,243,444,8,8,460,340
TETE,MOATIZE,VILA DE MOATIZE,LIBERDADE,EPC MISSÃO PARÓQUIA,0513303 .,800,195,12,231,438,10,8,456,344
TETE,MOATIZE,VILA DE MOATIZE,LIBERDADE,EPC MISSÃO PARÓQUIA,0513304 .,800,162,9,246,417,9,10,436,364
TETE,MOATIZE,VILA DE MOATIZE,LIBERDADE,EPC MISSÃO PARÓQUIA,0513305 .,800,184,13,236,433,6,2,441,359
