"sep=,"
Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
TETE,MUTARARA,NHAMAYABUE,VILA DE NHAMAYABUE,BAIRRO AGRIZA,0520201 .,800,383,15,98,496,2,96,594,206
TETE,MUTARARA,NHAMAYABUE,VILA DE NHAMAYABUE,BAIRRO AGRIZA,0520202 .,229,100,7,22,129,0,26,155,74
TETE,MUTARARA,NHAMAYABUE,VILA DE NHAMAYABUE,EP1 DE MAENDA,0520101 .,800,327,5,87,419,8,79,506,294
TETE,MUTARARA,NHAMAYABUE,VILA DE NHAMAYABUE,EP1 DE MAENDA,0520102 .,394,182,5,13,200,1,68,269,125
TETE,MUTARARA,NHAMAYABUE,VILA DE NHAMAYABUE,EPC DE BÁUÈ,0519901 .,800,348,3,208,559,26,6,591,209
TETE,MUTARARA,NHAMAYABUE,VILA DE NHAMAYABUE,EPC DE BÁUÈ,0519902 .,446,191,2,120,313,15,2,330,116
TETE,MUTARARA,NHAMAYABUE,VILA DE NHAMAYABUE,EPC DE DONA ANA,0519801 .,800,412,16,162,590,33,28,651,149
TETE,MUTARARA,NHAMAYABUE,VILA DE NHAMAYABUE,EPC DE DONA ANA,0519802 .,800,375,23,217,615,13,10,638,162
TETE,MUTARARA,NHAMAYABUE,VILA DE NHAMAYABUE,EPC DE DONA ANA,0519803 .,800,362,22,191,575,9,7,591,209
TETE,MUTARARA,NHAMAYABUE,VILA DE NHAMAYABUE,EPC DE DONA ANA,0519804 .,595,283,10,101,394,7,22,423,172
TETE,MUTARARA,NHAMAYABUE,VILA DE NHAMAYABUE,EPC DE MUTARARA-NOVA,0519701 .,800,446,18,154,618,15,17,650,150
TETE,MUTARARA,NHAMAYABUE,VILA DE NHAMAYABUE,EPC DE MUTARARA-NOVA,0519702 .,800,412,14,191,617,5,10,632,168
TETE,MUTARARA,NHAMAYABUE,VILA DE NHAMAYABUE,EPC DE MUTARARA-NOVA,0519703 .,574,261,11,116,388,8,5,401,173
TETE,MUTARARA,NHAMAYABUE,VILA DE NHAMAYABUE,EPC DE MUTARARA-VELHA,0520001 .,642,321,8,137,466,16,43,525,117
