"sep=,"
Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
ZAMBEZIA,ALTO MOLÓCUÈ,MOLOCUE SEDE,VILA DE ALTO MOLÓCUÈ,EPC FUTURO MELHOR,0405001 .,800,213,28,272,513,29,27,569,231
ZAMBEZIA,ALTO MOLÓCUÈ,MOLOCUE SEDE,VILA DE ALTO MOLÓCUÈ,EPC FUTURO MELHOR,0405002 .,800,180,25,214,419,14,84,517,283
ZAMBEZIA,ALTO MOLÓCUÈ,MOLOCUE SEDE,VILA DE ALTO MOLÓCUÈ,EPC FUTURO MELHOR,0405003 .,800,139,20,237,396,12,15,423,377
ZAMBEZIA,ALTO MOLÓCUÈ,MOLOCUE SEDE,VILA DE ALTO MOLÓCUÈ,EPC FUTURO MELHOR,0405004 .,800,106,13,202,321,13,16,350,450
ZAMBEZIA,ALTO MOLÓCUÈ,MOLOCUE SEDE,VILA DE ALTO MOLÓCUÈ,EPC FUTURO MELHOR,0405005 .,481,105,8,116,229,10,0,239,242
ZAMBEZIA,ALTO MOLÓCUÈ,MOLOCUE SEDE,VILA DE ALTO MOLÓCUÈ,EPC MALUA II,0404501 .,800,230,19,272,521,10,10,541,259
ZAMBEZIA,ALTO MOLÓCUÈ,MOLOCUE SEDE,VILA DE ALTO MOLÓCUÈ,EPC MALUA II,0404502 .,800,194,19,263,476,12,9,497,303
ZAMBEZIA,ALTO MOLÓCUÈ,MOLOCUE SEDE,VILA DE ALTO MOLÓCUÈ,EPC MALUA II,0404503 .,800,189,24,259,472,17,13,502,298
ZAMBEZIA,ALTO MOLÓCUÈ,MOLOCUE SEDE,VILA DE ALTO MOLÓCUÈ,EPC MALUA II,0404504 .,800,190,18,270,478,7,4,489,311
ZAMBEZIA,ALTO MOLÓCUÈ,MOLOCUE SEDE,VILA DE ALTO MOLÓCUÈ,EPC MALUA II,0404505 .,800,142,18,254,414,6,13,433,367
ZAMBEZIA,ALTO MOLÓCUÈ,MOLOCUE SEDE,VILA DE ALTO MOLÓCUÈ,EPC MALUA II,0404506 .,800,137,15,242,394,22,37,453,347
ZAMBEZIA,ALTO MOLÓCUÈ,MOLOCUE SEDE,VILA DE ALTO MOLÓCUÈ,EPC MALUA II,0404507 .,556,78,9,183,270,7,3,280,276
ZAMBEZIA,ALTO MOLÓCUÈ,MOLOCUE SEDE,VILA DE ALTO MOLÓCUÈ,EPC MULUTXASSE,0404601 .,800,261,36,238,535,21,6,562,238
ZAMBEZIA,ALTO MOLÓCUÈ,MOLOCUE SEDE,VILA DE ALTO MOLÓCUÈ,EPC MULUTXASSE,0404602 .,800,223,23,258,504,9,8,521,279
ZAMBEZIA,ALTO MOLÓCUÈ,MOLOCUE SEDE,VILA DE ALTO MOLÓCUÈ,EPC MULUTXASSE,0404603 .,800,191,14,254,459,13,13,485,315
ZAMBEZIA,ALTO MOLÓCUÈ,MOLOCUE SEDE,VILA DE ALTO MOLÓCUÈ,EPC MULUTXASSE,0404604 .,800,179,25,274,478,14,9,501,299
ZAMBEZIA,ALTO MOLÓCUÈ,MOLOCUE SEDE,VILA DE ALTO MOLÓCUÈ,EPC MULUTXASSE,0404605 .,800,133,25,256,414,9,8,431,369
ZAMBEZIA,ALTO MOLÓCUÈ,MOLOCUE SEDE,VILA DE ALTO MOLÓCUÈ,EPC MULUTXASSE,0404606 .,595,112,13,164,289,6,3,298,297
ZAMBEZIA,ALTO MOLÓCUÈ,MOLOCUE SEDE,VILA DE ALTO MOLÓCUÈ,EPC MURÁPUE,0404801 .,800,241,53,108,402,33,6,441,359
ZAMBEZIA,ALTO MOLÓCUÈ,MOLOCUE SEDE,VILA DE ALTO MOLÓCUÈ,EPC MURÁPUE,0404802A .,585,85,19,47,151,6,6,163,422
ZAMBEZIA,ALTO MOLÓCUÈ,MOLOCUE SEDE,VILA DE ALTO MOLÓCUÈ,EPC MURÁPUE,0404802B .,332,46,7,37,90,5,0,95,237
ZAMBEZIA,ALTO MOLÓCUÈ,MOLOCUE SEDE,VILA DE ALTO MOLÓCUÈ,EPC PEDREIRA,0404701 .,800,264,48,246,558,17,12,587,213
ZAMBEZIA,ALTO MOLÓCUÈ,MOLOCUE SEDE,VILA DE ALTO MOLÓCUÈ,EPC PEDREIRA,0404702 .,800,240,30,233,503,8,8,519,281
ZAMBEZIA,ALTO MOLÓCUÈ,MOLOCUE SEDE,VILA DE ALTO MOLÓCUÈ,EPC PEDREIRA,0404703 .,800,202,31,246,479,5,12,496,304
ZAMBEZIA,ALTO MOLÓCUÈ,MOLOCUE SEDE,VILA DE ALTO MOLÓCUÈ,EPC PEDREIRA,0404704 .,800,212,25,258,495,13,7,515,285
ZAMBEZIA,ALTO MOLÓCUÈ,MOLOCUE SEDE,VILA DE ALTO MOLÓCUÈ,EPC PEDREIRA,0404705 .,741,169,19,176,364,8,5,377,364
ZAMBEZIA,ALTO MOLÓCUÈ,MOLOCUE SEDE,VILA DE ALTO MOLÓCUÈ,EPC PISTA VELHA,0404901 .,800,220,37,262,519,21,7,547,253
ZAMBEZIA,ALTO MOLÓCUÈ,MOLOCUE SEDE,VILA DE ALTO MOLÓCUÈ,EPC PISTA VELHA,0404902 .,800,190,25,228,443,25,4,472,328
ZAMBEZIA,ALTO MOLÓCUÈ,MOLOCUE SEDE,VILA DE ALTO MOLÓCUÈ,EPC PISTA VELHA,0404903 .,800,178,23,241,442,9,8,459,341
ZAMBEZIA,ALTO MOLÓCUÈ,MOLOCUE SEDE,VILA DE ALTO MOLÓCUÈ,EPC PISTA VELHA,0404904 .,800,632,5,31,668,1,0,669,131
ZAMBEZIA,ALTO MOLÓCUÈ,MOLOCUE SEDE,VILA DE ALTO MOLÓCUÈ,EPC PISTA VELHA,0404905 .,800,108,17,193,318,8,98,424,376
ZAMBEZIA,ALTO MOLÓCUÈ,MOLOCUE SEDE,VILA DE ALTO MOLÓCUÈ,EPC PISTA VELHA,0404906 .,800,128,21,242,391,11,9,411,389
ZAMBEZIA,ALTO MOLÓCUÈ,MOLOCUE SEDE,VILA DE ALTO MOLÓCUÈ,EPC PISTA VELHA,0404907 .,429,80,12,132,224,2,1,227,202
ZAMBEZIA,ALTO MOLÓCUÈ,MOLOCUE SEDE,VILA DE ALTO MOLÓCUÈ,EPC SEDE,0404401 .,800,342,37,195,574,9,9,592,208
ZAMBEZIA,ALTO MOLÓCUÈ,MOLOCUE SEDE,VILA DE ALTO MOLÓCUÈ,EPC SEDE,0404402 .,800,323,27,198,548,19,7,574,226
ZAMBEZIA,ALTO MOLÓCUÈ,MOLOCUE SEDE,VILA DE ALTO MOLÓCUÈ,EPC SEDE,0404403 .,800,320,27,194,541,8,6,555,245
ZAMBEZIA,ALTO MOLÓCUÈ,MOLOCUE SEDE,VILA DE ALTO MOLÓCUÈ,EPC SEDE,0404404 .,800,279,28,221,528,12,16,556,244
ZAMBEZIA,ALTO MOLÓCUÈ,MOLOCUE SEDE,VILA DE ALTO MOLÓCUÈ,EPC SEDE,0404405 .,800,279,24,242,545,6,10,561,239
ZAMBEZIA,ALTO MOLÓCUÈ,MOLOCUE SEDE,VILA DE ALTO MOLÓCUÈ,EPC SEDE,0404406 .,800,600,9,70,679,0,0,679,121
ZAMBEZIA,ALTO MOLÓCUÈ,MOLOCUE SEDE,VILA DE ALTO MOLÓCUÈ,EPC SEDE,0404407 .,800,229,22,232,483,6,4,493,307
ZAMBEZIA,ALTO MOLÓCUÈ,MOLOCUE SEDE,VILA DE ALTO MOLÓCUÈ,EPC SEDE,0404408A .,530,134,11,124,269,3,3,275,255
ZAMBEZIA,ALTO MOLÓCUÈ,MOLOCUE SEDE,VILA DE ALTO MOLÓCUÈ,EPC SEDE,0404408B .,396,99,6,96,201,3,6,210,186
