"sep=,"
Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
ZAMBEZIA,GURUÉ,GURUÉ SEDE,GURUÉ CIDADE,EP1 MAGAR PROJECTO,0410201 .,800,206,250,28,484,7,14,505,295
ZAMBEZIA,GURUÉ,GURUÉ SEDE,GURUÉ CIDADE,EP1 MAGAR PROJECTO,0410202 .,800,253,124,21,398,17,20,435,365
ZAMBEZIA,GURUÉ,GURUÉ SEDE,GURUÉ CIDADE,EP1 MAGAR PROJECTO,0410203 .,800,223,77,22,322,17,38,377,423
ZAMBEZIA,GURUÉ,GURUÉ SEDE,GURUÉ CIDADE,EP1 MAGAR PROJECTO,0410204 .,800,172,92,19,283,8,60,351,449
ZAMBEZIA,GURUÉ,GURUÉ SEDE,GURUÉ CIDADE,EP1 MAGAR PROJECTO,0410205 .,800,139,88,15,242,6,18,266,534
ZAMBEZIA,GURUÉ,GURUÉ SEDE,GURUÉ CIDADE,EP1 MAGAR PROJECTO,0410206A .,511,64,63,10,137,3,4,144,367
ZAMBEZIA,GURUÉ,GURUÉ SEDE,GURUÉ CIDADE,EP1 MAGAR PROJECTO,0410206B .,303,39,28,3,70,1,11,82,221
ZAMBEZIA,GURUÉ,GURUÉ SEDE,GURUÉ CIDADE,EPC 25 DE JUNHO,0410401 .,800,260,255,52,567,26,31,624,176
ZAMBEZIA,GURUÉ,GURUÉ SEDE,GURUÉ CIDADE,EPC 25 DE JUNHO,0410402 .,800,255,244,30,529,13,37,579,221
ZAMBEZIA,GURUÉ,GURUÉ SEDE,GURUÉ CIDADE,EPC 25 DE JUNHO,0410403 .,800,262,222,22,506,12,53,571,229
ZAMBEZIA,GURUÉ,GURUÉ SEDE,GURUÉ CIDADE,EPC 25 DE JUNHO,0410404 .,800,236,268,22,526,22,0,548,252
ZAMBEZIA,GURUÉ,GURUÉ SEDE,GURUÉ CIDADE,EPC 25 DE JUNHO,0410405 .,800,191,265,20,476,8,17,501,299
ZAMBEZIA,GURUÉ,GURUÉ SEDE,GURUÉ CIDADE,EPC 25 DE JUNHO,0410406 .,800,171,260,25,456,17,8,481,319
ZAMBEZIA,GURUÉ,GURUÉ SEDE,GURUÉ CIDADE,EPC 25 DE JUNHO,0410407A .,637,138,155,8,301,7,15,323,314
ZAMBEZIA,GURUÉ,GURUÉ SEDE,GURUÉ CIDADE,EPC 25 DE JUNHO,0410408 .,378,79,64,10,153,1,38,192,186
ZAMBEZIA,GURUÉ,GURUÉ SEDE,GURUÉ CIDADE,EPC AERÓDROMO,0410501 .,800,225,246,41,512,14,52,578,222
ZAMBEZIA,GURUÉ,GURUÉ SEDE,GURUÉ CIDADE,EPC AERÓDROMO,0410502 .,800,160,214,23,397,23,41,461,339
ZAMBEZIA,GURUÉ,GURUÉ SEDE,GURUÉ CIDADE,EPC AERÓDROMO,0410503 .,800,192,186,17,395,14,13,422,378
ZAMBEZIA,GURUÉ,GURUÉ SEDE,GURUÉ CIDADE,EPC AERÓDROMO,0410504 .,800,147,184,22,353,21,22,396,404
ZAMBEZIA,GURUÉ,GURUÉ SEDE,GURUÉ CIDADE,EPC AERÓDROMO,0410505 .,800,120,137,9,266,17,73,356,444
ZAMBEZIA,GURUÉ,GURUÉ SEDE,GURUÉ CIDADE,EPC AERÓDROMO,0410506A .,610,91,134,10,235,2,17,254,356
ZAMBEZIA,GURUÉ,GURUÉ SEDE,GURUÉ CIDADE,EPC AERÓDROMO,0410506B .,320,50,101,6,157,1,11,169,151
ZAMBEZIA,GURUÉ,GURUÉ SEDE,GURUÉ CIDADE,EPC CHÁ GURUÉ,0410001 .,800,243,230,28,501,23,14,538,262
ZAMBEZIA,GURUÉ,GURUÉ SEDE,GURUÉ CIDADE,EPC CHÁ GURUÉ,0410002 .,800,186,173,21,380,19,56,455,345
ZAMBEZIA,GURUÉ,GURUÉ SEDE,GURUÉ CIDADE,EPC CHÁ GURUÉ,0410003 .,800,215,146,17,378,11,46,435,365
ZAMBEZIA,GURUÉ,GURUÉ SEDE,GURUÉ CIDADE,EPC CHÁ GURUÉ,0410004 .,800,214,121,16,351,25,39,415,385
