"sep=,"
Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
ZAMBEZIA,MILANGE,MILANGE SEDE,VILA DE MILANGE,EPC 7 DE ABRIL,0419501 .,800,336,18,202,556,13,7,576,224
ZAMBEZIA,MILANGE,MILANGE SEDE,VILA DE MILANGE,EPC 7 DE ABRIL,0419502 .,800,211,10,252,473,17,20,510,290
ZAMBEZIA,MILANGE,MILANGE SEDE,VILA DE MILANGE,EPC 7 DE ABRIL,0419503 .,800,167,14,139,320,11,118,449,351
ZAMBEZIA,MILANGE,MILANGE SEDE,VILA DE MILANGE,EPC 7 DE ABRIL,0419504 .,800,151,8,145,304,8,105,417,383
ZAMBEZIA,MILANGE,MILANGE SEDE,VILA DE MILANGE,EPC 7 DE ABRIL,0419505 .,709,184,7,183,374,8,10,392,317
ZAMBEZIA,MILANGE,MILANGE SEDE,VILA DE MILANGE,EPC CHÁ ORIENTAL,0419301 .,800,314,10,213,537,17,14,568,232
ZAMBEZIA,MILANGE,MILANGE SEDE,VILA DE MILANGE,EPC CHÁ ORIENTAL,0419302 .,800,204,16,252,472,10,17,499,301
ZAMBEZIA,MILANGE,MILANGE SEDE,VILA DE MILANGE,EPC CHÁ ORIENTAL,0419303 .,800,285,9,240,534,14,13,561,239
ZAMBEZIA,MILANGE,MILANGE SEDE,VILA DE MILANGE,EPC CHÁ ORIENTAL,0419304 .,800,136,12,250,398,16,18,432,368
ZAMBEZIA,MILANGE,MILANGE SEDE,VILA DE MILANGE,EPC CHÁ ORIENTAL,0419305 .,800,144,11,246,401,12,21,434,366
ZAMBEZIA,MILANGE,MILANGE SEDE,VILA DE MILANGE,EPC CHÁ ORIENTAL,0419306 .,800,169,9,190,368,12,25,405,395
ZAMBEZIA,MILANGE,MILANGE SEDE,VILA DE MILANGE,EPC CHÁ ORIENTAL,0419307 .,430,68,9,107,184,6,7,197,233
ZAMBEZIA,MILANGE,MILANGE SEDE,VILA DE MILANGE,EPC JOSINA MACHEL,0419401 .,630,295,14,133,442,6,10,458,172
ZAMBEZIA,MILANGE,MILANGE SEDE,VILA DE MILANGE,EPC JOSINA MACHEL,0419402 .,800,282,9,233,524,15,11,550,250
ZAMBEZIA,MILANGE,MILANGE SEDE,VILA DE MILANGE,EPC JOSINA MACHEL,0419403 .,800,276,19,219,514,15,17,546,254
ZAMBEZIA,MILANGE,MILANGE SEDE,VILA DE MILANGE,EPC JOSINA MACHEL,0419404 .,800,191,10,234,435,18,16,469,331
ZAMBEZIA,MILANGE,MILANGE SEDE,VILA DE MILANGE,EPC JOSINA MACHEL,0419405 .,800,205,4,179,388,6,24,418,382
ZAMBEZIA,MILANGE,MILANGE SEDE,VILA DE MILANGE,EPC MILANGE SEDE,0419101 .,800,501,15,115,631,11,6,648,152
ZAMBEZIA,MILANGE,MILANGE SEDE,VILA DE MILANGE,EPC MILANGE SEDE,0419102 .,800,416,11,193,620,13,6,639,161
ZAMBEZIA,MILANGE,MILANGE SEDE,VILA DE MILANGE,EPC MILANGE SEDE,0419103 .,800,404,9,195,608,5,6,619,181
ZAMBEZIA,MILANGE,MILANGE SEDE,VILA DE MILANGE,EPC MILANGE SEDE,0419104 .,800,361,16,169,546,6,51,603,197
ZAMBEZIA,MILANGE,MILANGE SEDE,VILA DE MILANGE,EPC MILANGE SEDE,0419105 .,800,354,16,218,588,8,7,603,197
ZAMBEZIA,MILANGE,MILANGE SEDE,VILA DE MILANGE,EPC MILANGE SEDE,0419106 .,800,375,11,168,554,5,8,567,233
ZAMBEZIA,MILANGE,MILANGE SEDE,VILA DE MILANGE,EPC MILANGE SEDE,0419107 .,800,373,12,159,544,6,7,557,243
ZAMBEZIA,MILANGE,MILANGE SEDE,VILA DE MILANGE,EPC MILANGE SEDE,0419108 .,336,139,7,83,229,3,5,237,99
ZAMBEZIA,MILANGE,MILANGE SEDE,VILA DE MILANGE,ESG JOAQUIM  MAQUIVAL,0419201 .,800,400,11,158,569,20,8,597,203
ZAMBEZIA,MILANGE,MILANGE SEDE,VILA DE MILANGE,ESG JOAQUIM  MAQUIVAL,0419202 .,800,294,14,195,503,25,13,541,259
ZAMBEZIA,MILANGE,MILANGE SEDE,VILA DE MILANGE,ESG JOAQUIM  MAQUIVAL,0419203 .,800,242,19,192,453,3,21,477,323
ZAMBEZIA,MILANGE,MILANGE SEDE,VILA DE MILANGE,ESG JOAQUIM  MAQUIVAL,0419204 .,800,256,10,197,463,14,13,490,310
ZAMBEZIA,MILANGE,MILANGE SEDE,VILA DE MILANGE,ESG JOAQUIM  MAQUIVAL,0419205 .,800,234,10,215,459,11,17,487,313
ZAMBEZIA,MILANGE,MILANGE SEDE,VILA DE MILANGE,ESG JOAQUIM  MAQUIVAL,0419206 .,800,254,14,179,447,10,9,466,334
ZAMBEZIA,MILANGE,MILANGE SEDE,VILA DE MILANGE,ESG JOAQUIM  MAQUIVAL,0419207 .,800,223,14,172,409,10,4,423,377
ZAMBEZIA,MILANGE,MILANGE SEDE,VILA DE MILANGE,ESG JOAQUIM  MAQUIVAL,0419208A .,566,162,10,123,295,3,4,302,264
ZAMBEZIA,MILANGE,MILANGE SEDE,VILA DE MILANGE,ESG JOAQUIM  MAQUIVAL,0419208B .,341,110,4,66,180,4,5,189,152
