"sep=,"
Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,CAD,MAMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
ZAMBEZIA,MOCUBA,MOCUBA SEDE,CIDADE DE MOCUBA,EP1 7 DE ABRIL (NAVERUA),0425801 .,800,679,5,32,2,3,721,0,0,721,79
ZAMBEZIA,MOCUBA,MOCUBA SEDE,CIDADE DE MOCUBA,EP1 7 DE ABRIL (NAVERUA),0425802 .,800,107,5,143,3,0,258,9,9,276,524
ZAMBEZIA,MOCUBA,MOCUBA SEDE,CIDADE DE MOCUBA,EP1 7 DE ABRIL (NAVERUA),0425803A .,682,75,8,140,2,1,226,4,2,232,450
ZAMBEZIA,MOCUBA,MOCUBA SEDE,CIDADE DE MOCUBA,EP1 7 DE ABRIL (NAVERUA),0425803B .,366,32,3,81,1,0,117,1,9,127,239
ZAMBEZIA,MOCUBA,MOCUBA SEDE,CIDADE DE MOCUBA,EPC 12 DE FEVEREIRO,0425601 .,800,190,17,170,2,0,379,18,14,411,389
ZAMBEZIA,MOCUBA,MOCUBA SEDE,CIDADE DE MOCUBA,EPC 12 DE FEVEREIRO,0425602 .,800,102,11,152,3,1,269,7,9,285,515
ZAMBEZIA,MOCUBA,MOCUBA SEDE,CIDADE DE MOCUBA,EPC 12 DE FEVEREIRO,0425603 .,800,110,11,117,2,0,240,15,15,270,530
ZAMBEZIA,MOCUBA,MOCUBA SEDE,CIDADE DE MOCUBA,EPC 12 DE FEVEREIRO,0425604 .,800,62,9,107,3,0,181,6,6,193,607
ZAMBEZIA,MOCUBA,MOCUBA SEDE,CIDADE DE MOCUBA,EPC 12 DE FEVEREIRO,0425605A .,659,61,5,87,1,0,154,4,1,159,500
ZAMBEZIA,MOCUBA,MOCUBA SEDE,CIDADE DE MOCUBA,EPC 12 DE FEVEREIRO,0425606 .,354,33,2,48,1,0,84,3,1,88,266
ZAMBEZIA,MOCUBA,MOCUBA SEDE,CIDADE DE MOCUBA,EPC 25 DE JUNHO (CETA),0425401 .,800,235,20,188,9,5,457,20,7,484,316
ZAMBEZIA,MOCUBA,MOCUBA SEDE,CIDADE DE MOCUBA,EPC 25 DE JUNHO (CETA),0425402 .,800,171,12,188,4,3,378,23,14,415,385
ZAMBEZIA,MOCUBA,MOCUBA SEDE,CIDADE DE MOCUBA,EPC 25 DE JUNHO (CETA),0425403 .,800,130,9,182,8,4,333,12,23,368,432
ZAMBEZIA,MOCUBA,MOCUBA SEDE,CIDADE DE MOCUBA,EPC 25 DE JUNHO (CETA),0425404 .,800,126,13,115,4,0,258,2,57,317,483
ZAMBEZIA,MOCUBA,MOCUBA SEDE,CIDADE DE MOCUBA,EPC 25 DE JUNHO (CETA),0425405 .,800,110,8,174,6,1,299,13,5,317,483
ZAMBEZIA,MOCUBA,MOCUBA SEDE,CIDADE DE MOCUBA,EPC 25 DE JUNHO (CETA),0425406 .,800,91,4,156,4,0,255,13,6,274,526
ZAMBEZIA,MOCUBA,MOCUBA SEDE,CIDADE DE MOCUBA,EPC 25 DE JUNHO (CETA),0425407 .,465,84,3,56,1,0,144,11,4,159,306
ZAMBEZIA,MOCUBA,MOCUBA SEDE,CIDADE DE MOCUBA,EPC ANTIGOS COMBATENTES,0425201 .,800,349,4,149,2,0,504,15,13,532,268
ZAMBEZIA,MOCUBA,MOCUBA SEDE,CIDADE DE MOCUBA,EPC ANTIGOS COMBATENTES,0425202 .,800,274,8,162,4,1,449,17,10,476,324
ZAMBEZIA,MOCUBA,MOCUBA SEDE,CIDADE DE MOCUBA,EPC ANTIGOS COMBATENTES,0425203 .,800,219,5,153,2,0,379,16,12,407,393
ZAMBEZIA,MOCUBA,MOCUBA SEDE,CIDADE DE MOCUBA,EPC ANTIGOS COMBATENTES,0425204 .,800,201,9,154,5,1,370,11,10,391,409
