"sep=,"
Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,MAMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,AEROPORTO,EPC AEROPORTO,04007 01 .,800,254,27,265,5,551,9,16,576,224
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,AEROPORTO,EPC AEROPORTO,04007 02 .,800,235,23,319,2,579,7,16,602,198
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,AEROPORTO,EPC AEROPORTO,04007 03 .,800,237,14,286,4,541,4,18,563,237
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,AEROPORTO,EPC AEROPORTO,04007 04 .,800,180,19,317,1,517,5,10,532,268
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,AEROPORTO,EPC AEROPORTO,04007 05 .,800,191,20,331,1,543,8,9,560,240
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,AEROPORTO,EPC AEROPORTO,04007 06 .,800,161,19,332,0,512,3,5,520,280
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,AEROPORTO,EPC AEROPORTO,04007 07 .,651,158,10,250,1,419,10,5,434,217
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,BAIRRO DA LIBERDADE,EPC QUELIMANE,0400101 .,800,441,10,251,2,704,7,8,719,81
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,BAIRRO DA LIBERDADE,EPC QUELIMANE,0400102 .,800,352,12,273,2,639,7,3,649,151
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,BAIRRO DA LIBERDADE,EPC QUELIMANE,0400103 .,800,260,14,299,0,573,5,7,585,215
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,BAIRRO DA LIBERDADE,EPC QUELIMANE,0400104 .,800,292,17,276,3,588,3,6,597,203
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,BAIRRO DA LIBERDADE,EPC QUELIMANE,0400105 .,800,299,14,277,2,592,3,8,603,197
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,BAIRRO DA LIBERDADE,EPC QUELIMANE,0400106 .,800,264,20,240,0,524,6,0,530,270
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,BAIRRO DA LIBERDADE,EPC QUELIMANE,0434001 .,799,418,7,251,0,676,5,6,687,112
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,BAIRRO DA LIBERDADE,EPC QUELIMANE,0434002 .,577,215,15,202,2,434,0,5,439,138
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,BAIRRO DA LIBERDADE,IIC 1º DE MAIO,0400201 .,800,386,16,214,0,616,11,3,630,170
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,BAIRRO DA LIBERDADE,IIC 1º DE MAIO,0400203 .,800,309,7,252,0,568,3,12,583,217
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,BAIRRO DA LIBERDADE,IIC 1º DE MAIO,0400204 .,800,284,7,226,0,517,2,3,522,278
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,BAIRRO DA LIBERDADE,IIC 1º DE MAIO,0400205 .,800,282,12,211,1,506,7,3,516,284
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,BAIRRO DA LIBERDADE,IIC 1º DE MAIO,0400206A .,532,220,9,118,0,347,2,2,351,181
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,BAIRRO DA LIBERDADE,IIC 1º DE MAIO,0400206B .,414,184,6,105,1,296,2,4,302,112
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,CHUABO DEMBE,CHUABO DEMBE,00001 01 .,800,190,24,206,1,421,32,9,462,338
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,CHUABO DEMBE,CHUABO DEMBE,00001 02 .,800,157,17,281,1,456,16,10,482,318
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,CHUABO DEMBE,CHUABO DEMBE,00001 04 .,633,102,19,190,1,312,10,8,330,303
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,INHANGOME,EPC INHANGOME,00001 03 .,542,223,15,147,3,388,25,6,419,123
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,MAPIAZUA,EPC 3  DE FEVEREIRO,0400301 .,800,237,21,312,2,572,7,15,594,206
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,MAPIAZUA,EPC 3  DE FEVEREIRO,0400302 .,800,285,9,256,1,551,6,12,569,231
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,MAPIAZUA,EPC 3  DE FEVEREIRO,0400303 .,800,210,13,307,2,532,8,25,565,235
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,MAPIAZUA,EPC 3  DE FEVEREIRO,0400304 .,800,162,17,287,0,466,5,7,478,322
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,MAPIAZUA,EPC 3  DE FEVEREIRO,0400305 .,800,174,14,326,2,516,3,6,525,275
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,MAPIAZUA,EPC 3  DE FEVEREIRO,0400306A .,533,106,12,215,0,333,0,8,341,192
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,MAPIAZUA,EPC 3  DE FEVEREIRO,0400306B .,459,103,7,183,0,293,2,8,303,156
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,PEQUENO BRASIL,EPC AEROPORTO EXPANSÃO,04008 01 .,800,271,18,272,3,564,11,19,594,206
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,PEQUENO BRASIL,EPC AEROPORTO EXPANSÃO,04008 02 .,800,184,19,293,2,498,17,23,538,262
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,PEQUENO BRASIL,EPC AEROPORTO EXPANSÃO,04008 03 .,800,163,12,257,4,436,7,74,517,283
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,PEQUENO BRASIL,EPC AEROPORTO EXPANSÃO,04008 04 .,800,151,12,316,2,481,8,12,501,299
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,PEQUENO BRASIL,EPC AEROPORTO EXPANSÃO,04008 05 .,800,126,14,323,3,466,11,13,490,310
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,PEQUENO BRASIL,EPC AEROPORTO EXPANSÃO,04008 06 .,800,149,10,296,1,456,5,13,474,326
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,PEQUENO BRASIL,EPC AEROPORTO EXPANSÃO,04008 07 .,554,77,5,161,3,246,7,28,281,273
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,SINACURRA,EPC SINACURA,0400501 .,800,202,18,279,1,500,8,15,523,277
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,SINACURRA,EPC SINACURA,0400502 .,800,283,10,253,3,549,10,9,568,232
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,SINACURRA,EPC SINACURA,0400503 .,800,195,7,182,2,386,11,114,511,289
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,SINACURRA,EPC SINACURA,0400504 .,800,131,14,255,0,400,4,12,416,384
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,SINACURRA,EPC SINACURA,0400505 .,800,119,14,286,3,422,7,17,446,354
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,SINACURRA,EPC SINACURA,0400506 .,466,90,8,172,0,270,2,15,287,179
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,TORRONE VELHO,EPC TORRONE VELHO,0400601 .,800,313,18,222,6,559,24,29,612,188
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,TORRONE VELHO,EPC TORRONE VELHO,0400602 .,800,238,18,303,1,560,12,15,587,213
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,TORRONE VELHO,EPC TORRONE VELHO,0400604 .,800,175,20,323,1,519,9,39,567,233
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,TORRONE VELHO,EPC TORRONE VELHO,0400605A .,484,91,15,173,0,279,7,10,296,188
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,TORRONE VELHO,EPC TORRONE VELHO,0400605B .,360,93,9,122,0,224,3,1,228,132
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,UNIDADE POPULAR,EPC UNIDADE POPULAR,0400401 .,800,179,22,326,5,532,2,13,547,253
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,UNIDADE POPULAR,EPC UNIDADE POPULAR,0400402 .,800,188,17,341,6,552,5,4,561,239
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,UNIDADE POPULAR,EPC UNIDADE POPULAR,0400403 .,800,181,12,314,1,508,1,10,519,281
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,UNIDADE POPULAR,EPC UNIDADE POPULAR,0400404 .,800,171,15,311,4,501,4,14,519,281
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,UNIDADE POPULAR,EPC UNIDADE POPULAR,0400405A .,492,107,14,183,2,306,2,5,313,179
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 1,UNIDADE POPULAR,EPC UNIDADE POPULAR,0400405B .,317,74,3,134,1,212,2,2,216,101
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 2,ICÍDUA,EPC ICÍDUA,04012 01 .,800,230,45,245,11,531,29,17,577,223
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 2,ICÍDUA,EPC ICÍDUA,04012 02 .,800,152,32,312,3,499,19,10,528,272
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 2,ICÍDUA,EPC ICÍDUA,04012 03 .,800,130,23,265,2,420,50,37,507,293
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 2,ICÍDUA,EPC ICÍDUA,04012 04 .,800,131,32,311,3,477,33,12,522,278
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 2,ICÍDUA,EPC ICÍDUA,04012 05 .,800,69,24,356,5,454,26,17,497,303
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 2,ICÍDUA,EPC ICÍDUA,04012 06 .,800,82,18,351,5,456,23,11,490,310
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 2,ICÍDUA,EPC ICÍDUA,04012 07 .,380,45,10,178,1,234,11,0,245,135
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 2,JANEIRO,EPC JANEIRO,04010 01 .,800,214,27,352,6,599,7,13,619,181
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 2,JANEIRO,EPC JANEIRO,04010 02 .,800,249,16,320,4,589,18,15,622,178
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 2,JANEIRO,EPC JANEIRO,04010 03 .,800,198,15,376,4,593,7,11,611,189
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 2,JANEIRO,EPC JANEIRO,04010 04 .,800,167,18,348,3,536,14,21,571,229
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 2,JANEIRO,EPC JANEIRO,04010 05 .,800,135,22,363,4,524,13,14,551,249
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 2,JANEIRO,EPC JANEIRO,04010 06 .,800,147,14,368,4,533,10,21,564,236
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 2,JANEIRO,EPC JANEIRO,04010 07 .,800,141,14,310,0,465,18,52,535,265
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 2,JANEIRO,EPC JANEIRO,04010 08 .,800,152,10,171,1,334,7,166,507,293
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 2,JANEIRO,EPC JANEIRO,04010 09 .,367,66,4,172,0,242,5,7,254,113
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 2,SANGARIVEIRA,EPC SANGARIVEIRA,04011 01 .,800,228,29,284,10,551,36,23,610,190
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 2,SANGARIVEIRA,EPC SANGARIVEIRA,04011 02 .,800,180,26,324,14,544,32,9,585,215
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 2,SANGARIVEIRA,EPC SANGARIVEIRA,04011 04 .,800,146,21,338,7,512,29,10,551,249
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 2,SANGARIVEIRA,EPC SANGARIVEIRA,04011 05 .,800,92,16,353,4,465,23,59,547,253
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 2,SANGARIVEIRA,EPC SANGARIVEIRA,04011 06 .,800,102,22,392,4,520,11,11,542,258
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 2,SANGARIVEIRA,EPC SANGARIVEIRA,04011 07A .,500,64,14,231,2,311,10,8,329,171
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 2,SANGARIVEIRA,EPC SANGARIVEIRA,0401107B .,368,53,11,175,0,239,6,2,247,121
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 3,1º DE MAIO,CAMPO DE BENFICA,04013 01 .,800,222,37,296,10,565,29,4,598,202
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 3,1º DE MAIO,CAMPO DE BENFICA,04013 02 .,800,205,26,322,7,560,11,23,594,206
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 3,1º DE MAIO,CAMPO DE BENFICA,04013 03 .,800,203,23,345,1,572,5,11,588,212
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 3,1º DE MAIO,CAMPO DE BENFICA,04013 04 .,800,182,18,361,3,564,6,5,575,225
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 3,1º DE MAIO,CAMPO DE BENFICA,04013 05 .,800,167,20,328,3,518,6,7,531,269
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 3,1º DE MAIO,CAMPO DE BENFICA,04013 06 .,394,72,12,176,2,262,1,2,265,129
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 3,ACORDOS DE LUSAKA,EPC ACORDOS DE LUSAKA,04015 01 .,800,249,23,256,4,532,15,25,572,228
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 3,ACORDOS DE LUSAKA,EPC ACORDOS DE LUSAKA,04015 02 .,800,241,24,305,5,575,7,14,596,204
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 3,ACORDOS DE LUSAKA,EPC ACORDOS DE LUSAKA,04015 03 .,800,223,20,322,4,569,8,10,587,213
ZAMBEZIA,QUELIMANE,MUNICIPAL Nº 3,ACORDOS DE LUSAKA,EPC ACORDOS DE LUSAKA,04015 04 .,800,154,12,350,2,518,10,14,542,258
