Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,MDM,RENAMO,FRELIMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
Gaza,CHIBUTO,CHIBUTO-SEDE,CHIBUTO-SEDE,B/NHOCANE,030586-01 .,800,16,44,534,594,18,33,645,155
Gaza,CHIBUTO,CHIBUTO-SEDE,CHIBUTO-SEDE,B/NHOCANE,030586-03 .,394,8,31,201,240,2,13,255,139
Gaza,CHIBUTO,CHIBUTO-SEDE,CHIBUTO-SEDE,EP 1 GRAU DE MUXEQUIUA,030570-01 .,178,13,6,105,124,7,11,142,36
Gaza,CHIBUTO,CHIBUTO-SEDE,CHIBUTO-SEDE,EP 1° E 2 GRAU MUDADA,030590-01 .,800,18,60,531,609,13,32,654,146
Gaza,CHIBUTO,CHIBUTO-SEDE,CHIBUTO-SEDE,EP 1° E 2 GRAU MUDADA,030590-02 .,800,26,78,363,467,8,28,503,297
Gaza,CHIBUTO,CHIBUTO-SEDE,CHIBUTO-SEDE,EP 1° E 2 GRAU MUDADA,030590-03 .,800,29,88,290,407,4,29,440,360
Gaza,CHIBUTO,CHIBUTO-SEDE,CHIBUTO-SEDE,EP 1° E 2 GRAU MUDADA,030590-04 .,509,19,47,150,216,0,7,223,286
Gaza,CHIBUTO,CHIBUTO-SEDE,CHIBUTO-SEDE,EP 1° E 2 °GRAU DE COXOMBANE  (B),030606-01 .,800,42,45,378,465,37,33,535,265
Gaza,CHIBUTO,CHIBUTO-SEDE,CHIBUTO-SEDE,EP 1° E 2 °GRAU DE COXOMBANE  (B),030606-02 .,720,21,45,159,225,5,10,240,480
Gaza,CHIBUTO,CHIBUTO-SEDE,CHIBUTO-SEDE,EP 1° E 2° GRAU 25 DE JUNHO  U4,030602-01 .,800,22,41,434,497,28,38,563,237
Gaza,CHIBUTO,CHIBUTO-SEDE,CHIBUTO-SEDE,EP 1° E 2° GRAU 25 DE JUNHO  U4,030602-02 .,800,31,63,300,394,9,24,427,373
Gaza,CHIBUTO,CHIBUTO-SEDE,CHIBUTO-SEDE,EP 1° E 2° GRAU 25 DE JUNHO  U4,030602-03 .,734,10,24,128,162,2,9,173,561
Gaza,CHIBUTO,CHIBUTO-SEDE,CHIBUTO-SEDE,EP 1° E 2° GRAU B.UNIDADE,030592-01 .,800,16,30,486,532,21,45,598,202
Gaza,CHIBUTO,CHIBUTO-SEDE,CHIBUTO-SEDE,EP 1° E 2° GRAU B.UNIDADE,030592-02A .,400,5,16,137,158,3,5,166,234
Gaza,CHIBUTO,CHIBUTO-SEDE,CHIBUTO-SEDE,EP 1° E 2° GRAU B.UNIDADE,030592-02B .,422,6,13,107,126,3,2,131,291
Gaza,CHIBUTO,CHIBUTO-SEDE,CHIBUTO-SEDE,EP 1° E 2° GRAU CANHAVANO,030594-01A .,400,10,9,205,224,10,5,239,161
Gaza,CHIBUTO,CHIBUTO-SEDE,CHIBUTO-SEDE,EP 1° E 2° GRAU CANHAVANO,030594-01B .,505,5,3,420,428,9,3,440,65
