Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,MDM,RENAMO,FRELIMO,ND,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
Gaza,CHOKWE,CHOKWE-SEDE,MACHEL,3º BAIRRO DE MUNGONE,030720-01 .,800,6,10,773,10,799,6,4,809,-9
Gaza,CHOKWE,CHOKWE-SEDE,MACHEL,3º BAIRRO DE MUNGONE,030720-02 .,720,2,1,722,1,726,2,0,728,-8
Gaza,CHOKWE,CHOKWE-SEDE,MACHEL,EP1 CHAKWARINE,030722-01 .,800,7,4,389,7,407,27,78,512,288
Gaza,CHOKWE,CHOKWE-SEDE,MACHEL,EP1 CHAKWARINE,030722-02 .,800,7,4,471,7,489,1,75,565,235
Gaza,CHOKWE,CHOKWE-SEDE,MACHEL,EP1 CHAKWARINE,030722-03 .,784,6,4,443,2,455,13,35,503,281
Gaza,CHOKWE,CHOKWE-SEDE,MACHEL,EP1 NKANHINE,030723-01 .,800,1,9,493,0,503,6,29,538,262
Gaza,CHOKWE,CHOKWE-SEDE,MACHEL,EP1 NKANHINE,030723-02 .,800,18,3,413,13,447,4,36,487,313
Gaza,CHOKWE,CHOKWE-SEDE,MACHEL,EP1 NKANHINE,030723-03 .,572,8,8,217,19,252,4,69,325,247
Gaza,CHOKWE,CHOKWE-SEDE,MACHEL,EPC 2º BAIRRO,030724-01 .,800,25,9,525,16,575,14,22,611,189
Gaza,CHOKWE,CHOKWE-SEDE,MACHEL,EPC 2º BAIRRO,030724-02 .,800,13,5,645,2,665,0,61,726,74
Gaza,CHOKWE,CHOKWE-SEDE,MACHEL,EPC 2º BAIRRO,030724-03A .,400,18,3,189,10,220,0,75,295,105
Gaza,CHOKWE,CHOKWE-SEDE,MACHEL,EPC 2º BAIRRO,030724-03B .,477,18,31,290,10,349,2,43,394,83
Gaza,CHOKWE,CHOKWE-SEDE,MACHEL,EPC 3º BAIRRO,030721-01 .,800,21,7,642,21,691,32,26,749,51
Gaza,CHOKWE,CHOKWE-SEDE,MACHEL,EPC 3º BAIRRO,030721-02 .,800,6,0,467,4,477,28,27,532,268
Gaza,CHOKWE,CHOKWE-SEDE,MACHEL,EPC 3º BAIRRO,030721-03 .,800,14,7,441,18,480,13,26,519,281
Gaza,CHOKWE,CHOKWE-SEDE,MACHEL,EPC 3º BAIRRO,030721-04 .,800,6,5,378,19,408,7,18,433,367
Gaza,CHOKWE,CHOKWE-SEDE,MACHEL,EPC 3º BAIRRO,030721-05 .,690,12,1,261,12,286,2,77,365,325
Gaza,CHOKWE,CHOKWE-SEDE,MACHEL,EPC AFRICA AMIGA,030718-01 .,800,16,46,448,11,521,13,49,583,217
Gaza,CHOKWE,CHOKWE-SEDE,MACHEL,EPC AFRICA AMIGA,030718-02A .,500,8,9,430,7,454,0,62,516,-16
Gaza,CHOKWE,CHOKWE-SEDE,MACHEL,EPC AFRICA AMIGA,030718-02B .,405,10,11,330,5,356,7,7,370,35
Gaza,CHOKWE,CHOKWE-SEDE,MACHEL,EPC DE 7º BAIRRO,030719-01 .,800,10,23,506,18,557,16,38,611,189
Gaza,CHOKWE,CHOKWE-SEDE,MACHEL,EPC DE 7º BAIRRO,030719-02 .,800,17,24,361,14,416,16,24,456,344
Gaza,CHOKWE,CHOKWE-SEDE,MACHEL,EPC DE 7º BAIRRO,030719-03A .,400,7,20,369,3,399,0,0,399,1
Gaza,CHOKWE,CHOKWE-SEDE,MACHEL,EPC DE 7º BAIRRO,030719-03B .,457,3,10,411,2,426,14,1,441,16
Gaza,CHOKWE,CHOKWE-SEDE,MACHEL,EPC DE NKOSSE,030717-01 .,800,4,8,466,8,486,13,50,549,251
Gaza,CHOKWE,CHOKWE-SEDE,MACHEL,EPC DE NKOSSE,030717-02 .,800,7,3,521,12,543,23,34,600,200
Gaza,CHOKWE,CHOKWE-SEDE,MACHEL,EPC DE NKOSSE,030717-03 .,758,23,19,310,18,370,15,16,401,357
Gaza,CHOKWE,CHOKWE-SEDE,NKAVELANE,6º BAIRRO B-UP,030697-01 .,800,3,4,648,5,660,12,22,694,106
Gaza,CHOKWE,CHOKWE-SEDE,NKAVELANE,6º BAIRRO B-UP,030697-02 .,800,4,15,139,5,163,6,6,175,625
Gaza,CHOKWE,CHOKWE-SEDE,NKAVELANE,6º BAIRRO B-UP,030697-03 .,800,3,23,122,7,155,1,6,162,638
Gaza,CHOKWE,CHOKWE-SEDE,NKAVELANE,E.S. NGUNGUNHANE,030691-01 .,800,20,0,428,9,457,7,30,494,306
Gaza,CHOKWE,CHOKWE-SEDE,NKAVELANE,E.S. NGUNGUNHANE,030691-02 .,800,8,7,321,7,343,0,8,351,449
Gaza,CHOKWE,CHOKWE-SEDE,NKAVELANE,E.S. NGUNGUNHANE,030691-03 .,444,5,11,37,4,57,1,4,62,382
Gaza,CHOKWE,CHOKWE-SEDE,NKAVELANE,EP1 4º BAIRRO,030693-01 .,800,3,42,375,0,420,2,80,502,298
Gaza,CHOKWE,CHOKWE-SEDE,NKAVELANE,EP1 4º BAIRRO,030693-02 .,800,20,2,437,10,469,12,16,497,303
Gaza,CHOKWE,CHOKWE-SEDE,NKAVELANE,EP1 4º BAIRRO,030693-03 .,569,11,6,277,20,314,4,69,387,182
Gaza,CHOKWE,CHOKWE-SEDE,NKAVELANE,EP1 5º BAIRRO - A,030694-01 .,800,8,10,507,24,549,0,35,584,216
Gaza,CHOKWE,CHOKWE-SEDE,NKAVELANE,EP1 5º BAIRRO - A,030694-02 .,800,16,46,528,11,601,10,33,644,156
Gaza,CHOKWE,CHOKWE-SEDE,NKAVELANE,EP1 5º BAIRRO - A,030694-03 .,800,5,6,470,21,502,17,7,526,274
Gaza,CHOKWE,CHOKWE-SEDE,NKAVELANE,EP1 5º BAIRRO - A,030694-04A .,400,13,2,208,5,228,1,13,242,158
Gaza,CHOKWE,CHOKWE-SEDE,NKAVELANE,EP1 5º BAIRRO - A,030694-04B .,480,2,9,263,1,275,5,7,287,193
Gaza,CHOKWE,CHOKWE-SEDE,NKAVELANE,EP1 5º BAIRRO - B,030692-01 .,800,7,4,677,5,693,0,39,732,68
Gaza,CHOKWE,CHOKWE-SEDE,NKAVELANE,EP1 5º BAIRRO - B,030692-02 .,800,8,6,643,7,664,1,118,783,17
Gaza,CHOKWE,CHOKWE-SEDE,NKAVELANE,EP1 5º BAIRRO - B,030692-03A .,400,3,8,318,2,331,0,6,337,63
Gaza,CHOKWE,CHOKWE-SEDE,NKAVELANE,EP1 5º BAIRRO - B,030692-03B .,575,5,46,244,5,300,1,23,324,251
Gaza,CHOKWE,CHOKWE-SEDE,NKAVELANE,EP1 DO 6º BAIRRO,030696-01 .,800,0,5,491,0,496,15,40,551,249
Gaza,CHOKWE,CHOKWE-SEDE,NKAVELANE,EP1 DO 6º BAIRRO,030696-02 .,800,17,8,313,13,351,56,13,420,380
Gaza,CHOKWE,CHOKWE-SEDE,NKAVELANE,EP1 DO 6º BAIRRO,030696-03 .,340,7,4,247,2,260,1,0,261,79
Gaza,CHOKWE,CHOKWE-SEDE,NKAVELANE,EP2 HLUVUKANE,030695-01 .,800,23,0,488,14,525,14,43,582,218
Gaza,CHOKWE,CHOKWE-SEDE,NKAVELANE,EP2 HLUVUKANE,030695-02 .,800,1,8,535,15,559,7,23,589,211
Gaza,CHOKWE,CHOKWE-SEDE,NKAVELANE,EP2 HLUVUKANE,030695-03A .,600,10,5,361,10,386,6,23,415,185
Gaza,CHOKWE,CHOKWE-SEDE,NKAVELANE,EP2 HLUVUKANE,030695-03B .,483,22,1,386,15,424,1,8,433,50
Gaza,CHOKWE,CHOKWE-SEDE,NKAVELANE,ESCOLA AGRÁRIA,030707-01 .,800,29,31,495,14,569,11,19,599,201
Gaza,CHOKWE,CHOKWE-SEDE,NKAVELANE,ESCOLA AGRÁRIA,030707-02 .,602,5,32,409,3,449,3,4,456,146
Gaza,CHOKWE,CHOKWE-SEDE,NKAVELANE,ESCOLA SEC. DE CHÓKWE,030698-01 .,800,3,5,494,21,523,16,4,543,257
Gaza,CHOKWE,CHOKWE-SEDE,NKAVELANE,ESCOLA SEC. DE CHÓKWE,030698-02 .,800,18,1,463,38,520,2,19,541,259
Gaza,CHOKWE,CHOKWE-SEDE,NKAVELANE,ESCOLA SEC. DE CHÓKWE,030698-03 .,800,25,5,444,22,496,3,8,507,293
