Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,MDM,RENAMO,FRELIMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
Gaza,D. XAI-XAI,CHILAULENE,CHILAULENE,CENTRO DE ALDEIA DE ZIMILENE,030082-01 .,686,3,6,186,195,6,5,206,480
Gaza,D. XAI-XAI,CHILAULENE,CHILAULENE,EP1 DE MAHIELENE,030083-01A .,400,7,10,139,156,3,3,162,238
Gaza,D. XAI-XAI,CHILAULENE,CHILAULENE,EP1 DE MAHIELENE,030083-01B .,404,6,4,119,129,4,6,139,265
Gaza,D. XAI-XAI,CHILAULENE,CHILAULENE,EP1 NHANCUMINE,030081-01A .,400,3,8,106,117,1,5,123,277
Gaza,D. XAI-XAI,CHILAULENE,CHILAULENE,EP1 NHANCUMINE,030081-01B .,401,3,12,97,112,2,1,115,286
Gaza,D. XAI-XAI,CHILAULENE,CHILAULENE,EPC DE CUMBANE,030086-01 .,602,7,11,101,119,5,6,130,472
Gaza,D. XAI-XAI,CHILAULENE,CHILAULENE,EPC SALVADOR ALLENDE,030084-01 .,800,7,16,382,405,20,36,461,339
Gaza,D. XAI-XAI,CHILAULENE,CHILAULENE,EPC SALVADOR ALLENDE,030084-02 .,800,8,21,285,314,9,15,338,462
Gaza,D. XAI-XAI,CHILAULENE,CHILAULENE,EPC SALVADOR ALLENDE,030084-03 .,334,3,4,120,127,4,9,140,194
Gaza,D. XAI-XAI,INHAMISSA,B. M.N´GOABY A,E. PROFISSIONAL DE INHAMISSA,030016-01 .,800,23,57,365,445,7,11,463,337
Gaza,D. XAI-XAI,INHAMISSA,B. M.N´GOABY A,E. PROFISSIONAL DE INHAMISSA,030016-02 .,375,9,28,104,141,1,1,143,232
Gaza,D. XAI-XAI,INHAMISSA,B. M.N´GOABY A,E. SECUNDRIA DE INHAMISSA,030017-01 .,800,12,71,408,491,7,22,520,280
Gaza,D. XAI-XAI,INHAMISSA,B. M.N´GOABY A,E. SECUNDRIA DE INHAMISSA,030017-02 .,800,30,90,314,434,9,20,463,337
Gaza,D. XAI-XAI,INHAMISSA,B. M.N´GOABY A,E. SECUNDRIA DE INHAMISSA,030017-03 .,526,26,69,179,274,3,12,289,237
Gaza,D. XAI-XAI,INHAMISSA,B. M.N´GOABY A,EPC U.1 INHAMISSA,030019-01 .,800,31,53,369,453,8,25,486,314
Gaza,D. XAI-XAI,INHAMISSA,B. M.N´GOABY A,EPC U.1 INHAMISSA,030019-02 .,449,17,43,207,267,7,18,292,157
Gaza,D. XAI-XAI,INHAMISSA,B. M.N´GOABY A,ESCOLA SECUNDARIA M.N´GOABY,030018-01 .,800,30,43,399,472,8,24,504,296
Gaza,D. XAI-XAI,INHAMISSA,B. M.N´GOABY A,ESCOLA SECUNDARIA M.N´GOABY,030018-02 .,800,20,52,392,464,6,26,496,304
