Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,MDM,RENAMO,FRELIMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
Gaza,MANDLAKAZI,MANDLAKAZI-SEDE,MANDLAKAZI-SEDE,BAIRRO DE LIBERDADE,030400-01 .,800,4,6,500,510,12,36,558,242
Gaza,MANDLAKAZI,MANDLAKAZI-SEDE,MANDLAKAZI-SEDE,BAIRRO DE LIBERDADE,030400-02 .,545,5,3,315,323,5,15,343,202
Gaza,MANDLAKAZI,MANDLAKAZI-SEDE,MANDLAKAZI-SEDE,CAIP,030399-01 .,800,12,4,477,493,11,18,522,278
Gaza,MANDLAKAZI,MANDLAKAZI-SEDE,MANDLAKAZI-SEDE,CAIP,030399-03 .,379,39,27,130,196,3,5,204,175
Gaza,MANDLAKAZI,MANDLAKAZI-SEDE,MANDLAKAZI-SEDE,EPC EDUARDO MONDLANE,030403-01 .,800,49,70,434,553,7,13,573,227
Gaza,MANDLAKAZI,MANDLAKAZI-SEDE,MANDLAKAZI-SEDE,EPC EDUARDO MONDLANE,030403-02 .,800,5,6,469,480,7,12,499,301
Gaza,MANDLAKAZI,MANDLAKAZI-SEDE,MANDLAKAZI-SEDE,EPC EDUARDO MONDLANE,030403-03 .,800,4,8,457,469,4,14,487,313
Gaza,MANDLAKAZI,MANDLAKAZI-SEDE,MANDLAKAZI-SEDE,EPC EDUARDO MONDLANE,030403-04 .,544,3,9,277,289,0,12,301,243
Gaza,MANDLAKAZI,MANDLAKAZI-SEDE,MANDLAKAZI-SEDE,EPC MACAVE,030408-01 .,800,11,6,508,525,15,32,572,228
Gaza,MANDLAKAZI,MANDLAKAZI-SEDE,MANDLAKAZI-SEDE,EPC MACAVE,030408-02 .,727,5,24,65,94,1,3,98,629
Gaza,MANDLAKAZI,MANDLAKAZI-SEDE,MANDLAKAZI-SEDE,EPC MAGUIGUANE,030401-01 .,800,50,39,403,492,13,21,526,274
Gaza,MANDLAKAZI,MANDLAKAZI-SEDE,MANDLAKAZI-SEDE,EPC MAGUIGUANE,030401-02 .,800,26,26,417,469,5,15,489,311
Gaza,MANDLAKAZI,MANDLAKAZI-SEDE,MANDLAKAZI-SEDE,EPC MAGUIGUANE,030401-03A .,500,41,34,156,231,1,6,238,262
Gaza,MANDLAKAZI,MANDLAKAZI-SEDE,MANDLAKAZI-SEDE,EPC MAGUIGUANE,030401-03B .,432,31,36,372,439,2,3,444,-12
Gaza,MANDLAKAZI,MANDLAKAZI-SEDE,MAPANDANE,EP1 CHITSOMBELANE,030422-01 .,564,3,10,181,194,2,2,198,366
Gaza,MANDLAKAZI,MANDLAKAZI-SEDE,MAPANDANE,EP1 MUKHOMANE,030423-01 .,649,19,8,239,266,5,23,294,355
Gaza,MANDLAKAZI,MANDLAKAZI-SEDE,MAPANDANE,EPC MACASSELANE,030424-01 .,494,15,11,228,254,7,3,264,230
