Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,MDM,RENAMO,FRELIMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
Gaza,MASSINGIR,MASSINGIR-SEDE,MASSINGIR-SEDE,BAIRRO EDUARDO MONDLANE,030859-01 .,256,0,0,257,257,0,3,260,-4
Gaza,MASSINGIR,MASSINGIR-SEDE,MASSINGIR-SEDE,BAIRRO SAMORA MACHEL (B),030849-01 .,666,2,2,656,660,0,15,675,-9
Gaza,MASSINGIR,MASSINGIR-SEDE,MASSINGIR-SEDE,CENTRO DO BAIRRO 7 DE ABRIL,030866-01 .,526,1,2,510,513,0,21,534,-8
Gaza,MASSINGIR,MASSINGIR-SEDE,MASSINGIR-SEDE,EP 1 E 2 DO 6 BAIRRO,030864-01 .,783,3,3,773,779,0,10,789,-6
Gaza,MASSINGIR,MASSINGIR-SEDE,MASSINGIR-SEDE,EP1 E 2 DE CANHANE,030851-01A .,400,4,4,300,308,4,8,320,80
Gaza,MASSINGIR,MASSINGIR-SEDE,MASSINGIR-SEDE,EP1 E 2 DE CANHANE,030851-01B .,583,0,0,583,583,0,3,586,-3
Gaza,MASSINGIR,MASSINGIR-SEDE,MASSINGIR-SEDE,EP1 E 2 DE TIHOVENE /BAIRRO CIMENTO,030863-01 .,800,16,62,695,773,6,11,790,10
Gaza,MASSINGIR,MASSINGIR-SEDE,MASSINGIR-SEDE,EP1 E 2 DE TIHOVENE /BAIRRO CIMENTO,030863-02 .,669,1,2,666,669,0,4,673,-4
Gaza,MASSINGIR,MASSINGIR-SEDE,MASSINGIR-SEDE,EP1 E 2 DE TIHOVENE B,030855-01 .,800,6,10,538,554,1,96,651,149
Gaza,MASSINGIR,MASSINGIR-SEDE,MASSINGIR-SEDE,EP1 E 2 DE TIHOVENE B,030855-02A .,400,0,3,181,184,1,9,194,206
Gaza,MASSINGIR,MASSINGIR-SEDE,MASSINGIR-SEDE,EP1 E 2 DE TIHOVENE B,030855-02B .,470,3,18,129,150,3,2,155,315
Gaza,MASSINGIR,MASSINGIR-SEDE,MASSINGIR-SEDE,ESCOLA COMUNITÁRIA DE MASSINGIR,030857-01 .,208,1,1,201,203,0,6,209,-1
Gaza,MASSINGIR,MASSINGIR-SEDE,MASSINGIR-SEDE,ESCOLA SECUNDARIA GRAÇA MACHEL,030865-01A .,400,5,15,344,364,5,22,391,9
Gaza,MASSINGIR,MASSINGIR-SEDE,MASSINGIR-SEDE,ESCOLA SECUNDARIA GRAÇA MACHEL,030865-01B .,589,4,4,547,555,2,2,559,30
Gaza,MASSINGIR,MASSINGIR-SEDE,MASSINGIR-SEDE,ESCOLA TÉCNICA 25 DE JUNHO,030858-01 .,600,1,2,418,421,0,28,449,151
Gaza,MASSINGIR,MASSINGIR-SEDE,MASSINGIR-SEDE,ESCOLA TÉCNICA 25 DE JUNHO,030858-02 .,558,0,8,325,333,5,4,342,216
