Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,MDM,RENAMO,FRELIMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
Inhambane,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º Grau da Ilha de Inhambane,040197-01 .,388,15,6,268,289,4,4,297,91
Inhambane,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º Grau de Jogo,040195-01 .,461,11,19,226,256,14,19,289,172
Inhambane,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º Grau de Machavenga,040181-01A .,400,20,19,131,170,8,8,186,214
Inhambane,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º Grau de Machavenga,040181-01B .,496,25,22,143,190,7,23,220,276
Inhambane,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º Grau de Marrambone,040198-01 .,800,42,87,325,454,4,22,480,320
Inhambane,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º Grau de Marrambone,040198-02 .,800,37,130,219,386,7,18,411,389
Inhambane,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º Grau de Marrambone,040198-03A .,400,17,70,116,203,4,11,218,182
Inhambane,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º Grau de Marrambone,040198-03B .,510,25,72,134,231,7,6,244,266
Inhambane,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º Grau de Queleguele,040183-01 .,479,11,46,197,254,15,22,291,188
Inhambane,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º-2º Graus 1° de Maio,040177-01 .,800,34,104,364,502,11,20,533,267
Inhambane,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º-2º Graus 1° de Maio,040177-02 .,800,30,116,314,460,8,31,499,301
Inhambane,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º-2º Graus 1° de Maio,040177-03 .,800,44,133,293,470,5,26,501,299
Inhambane,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º-2º Graus 1° de Maio,040177-04 .,800,42,137,268,447,6,19,472,328
Inhambane,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º-2º Graus 1° de Maio,040177-05 .,637,27,112,170,309,7,16,332,305
Inhambane,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º-2º Graus 3º Congresso,040176-01 .,800,32,159,374,565,11,16,592,208
Inhambane,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º-2º Graus 3º Congresso,040176-02 .,800,36,161,292,489,10,19,518,282
Inhambane,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º-2º Graus 3º Congresso,040176-03 .,800,42,185,269,496,7,17,520,280
Inhambane,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º-2º Graus 3º Congresso,040176-04 .,430,27,99,117,243,1,3,247,183
Inhambane,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º-2º Graus Josina Machel,040190-01 .,800,9,70,264,343,13,13,369,431
Inhambane,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º-2º Graus Josina Machel,040190-02 .,800,10,105,169,284,6,6,296,504
Inhambane,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º-2º Graus Josina Machel,040190-03 .,496,9,44,117,170,1,7,178,318
Inhambane,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º-2º Graus SOS,040200-01A .,400,23,59,138,220,6,4,230,170
Inhambane,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º-2º Graus SOS,040200-01B .,605,34,91,200,325,10,26,361,244
Inhambane,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º-2º Graus de 25 de Setembro,040174-01 .,800,27,99,297,423,10,17,450,350
Inhambane,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º-2º Graus de 25 de Setembro,040174-02 .,800,37,104,293,434,6,15,455,345
Inhambane,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º-2º Graus de 25 de Setembro,040174-03 .,800,26,130,275,431,7,16,454,346
Inhambane,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º-2º Graus de 25 de Setembro,040174-04 .,800,44,133,253,430,6,14,450,350
Inhambane,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º-2º Graus de 25 de Setembro,040174-05 .,800,42,153,249,444,3,16,463,337
Inhambane,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º-2º Graus de 25 de Setembro,040174-06 .,800,28,125,176,329,3,14,346,454
Inhambane,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º-2º Graus de 25 de Setembro,040174-07A .,400,15,60,122,197,2,6,205,195
Inhambane,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º-2º Graus de 25 de Setembro,040174-07B .,562,27,70,127,224,3,10,237,325
Inhambane,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º-2º Graus de Chamane,040191-01 .,800,36,107,303,446,16,19,481,319
Inhambane,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º-2º Graus de Chamane,040191-02A .,400,22,52,121,195,1,9,205,195
Inhambane,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º-2º Graus de Chamane,040191-02B .,656,21,88,196,305,6,14,325,331
Inhambane,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º-2º Graus de Chihenguene,040199-01 .,800,38,104,318,460,12,29,501,299
Inhambane,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º-2º Graus de Chihenguene,040199-02 .,800,31,105,286,422,10,19,451,349
Inhambane,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º-2º Graus de Chihenguene,040199-03A .,400,24,73,122,219,2,5,226,174
Inhambane,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º-2º Graus de Chihenguene,040199-03B .,558,27,89,153,269,3,7,279,279
Inhambane,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º-2º Graus de Conguiana,040188-01 .,800,13,71,290,374,15,31,420,380
Inhambane,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º-2º Graus de Conguiana,040188-02A .,400,7,30,136,173,0,4,177,223
Inhambane,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º-2º Graus de Conguiana,040188-02B .,518,13,45,123,181,5,6,192,326
Inhambane,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º-2º Graus de Guiúa,040224-01A .,400,11,21,161,193,6,10,209,191
Inhambane,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º-2º Graus de Guiúa,040224-01B .,500,17,35,200,252,5,8,265,235
Inhambane,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º-2º Graus de Macharre,040226-01 .,418,14,45,151,210,4,12,226,192
Inhambane,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º-2º Graus de Mahila,040225-01 .,596,18,22,300,340,15,18,373,223
Inhambane,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º-2º Graus de Manhandza,040185-01A .,400,7,26,143,176,6,9,191,209
Inhambane,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º-2º Graus de Manhandza,040185-01B .,411,13,32,148,193,4,6,203,208
Inhambane,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º-2º Graus de Mucucune,040196-01A .,400,26,55,186,267,11,13,291,109
Inhambane,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º-2º Graus de Mucucune,040196-01B .,509,29,62,216,307,3,22,332,177
Inhambane,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,EP 1º-2º Graus de Nhaguíua,040201-01 .,800,19,62,190,271,16,14,301,499
