Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,MDM,RENAMO,FRELIMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
Inhambane,MASSINGA,MASSINGA SEDE,SEDE,EP 1º-2º Graus 21 de Abril,040434-01 .,800,15,167,233,415,5,12,432,368
Inhambane,MASSINGA,MASSINGA SEDE,SEDE,EP 1º-2º Graus 21 de Abril,040434-02 .,800,20,174,250,444,3,22,469,331
Inhambane,MASSINGA,MASSINGA SEDE,SEDE,EP 1º-2º Graus 21 de Abril,040434-03 .,800,20,224,196,440,4,7,451,349
Inhambane,MASSINGA,MASSINGA SEDE,SEDE,EP 1º-2º Graus 21 de Abril,040434-04A .,400,10,87,111,208,1,6,215,185
Inhambane,MASSINGA,MASSINGA SEDE,SEDE,EP 1º-2º Graus 21 de Abril,040434-04B .,528,7,101,93,201,4,5,210,318
Inhambane,MASSINGA,MASSINGA SEDE,SEDE,EP 1º-2º Graus Eduardo Mondlane,040444-01 .,800,20,166,249,435,20,17,472,328
Inhambane,MASSINGA,MASSINGA SEDE,SEDE,EP 1º-2º Graus Eduardo Mondlane,040444-02 .,800,15,178,182,375,6,19,400,400
Inhambane,MASSINGA,MASSINGA SEDE,SEDE,EP 1º-2º Graus Eduardo Mondlane,040444-03 .,580,11,131,102,244,0,4,248,332
Inhambane,MASSINGA,MASSINGA SEDE,SEDE,EP 1º-2º Graus de Cape-Cape,040449-01 .,746,15,82,305,402,10,9,421,325
Inhambane,MASSINGA,MASSINGA SEDE,SEDE,EP 1º-2º Graus de Conze,040439-01 .,800,17,194,231,442,21,11,474,326
Inhambane,MASSINGA,MASSINGA SEDE,SEDE,EP 1º-2º Graus de Conze,040439-02 .,800,13,180,205,398,7,8,413,387
Inhambane,MASSINGA,MASSINGA SEDE,SEDE,EP 1º-2º Graus de Conze,040439-03 .,800,11,210,173,394,3,7,404,396
Inhambane,MASSINGA,MASSINGA SEDE,SEDE,EP 1º-2º Graus de Conze,040439-04 .,800,8,146,145,299,6,6,311,489
Inhambane,MASSINGA,MASSINGA SEDE,SEDE,EP 1º-2º Graus de Conze,040439-05 .,499,4,72,101,177,4,6,187,312
Inhambane,MASSINGA,MASSINGA SEDE,SEDE,EP 1º-2º Graus de Guizugo,040440-01 .,800,17,76,182,275,14,12,301,499
Inhambane,MASSINGA,MASSINGA SEDE,SEDE,EP 1º-2º Graus de Guizugo,040440-02 .,581,12,64,106,182,3,3,188,393
Inhambane,MASSINGA,MASSINGA SEDE,SEDE,EP 1º-2º Graus de Matingane,040445-01 .,800,15,155,254,424,17,20,461,339
Inhambane,MASSINGA,MASSINGA SEDE,SEDE,EP 1º-2º Graus de Matingane,040445-02 .,800,19,143,243,405,8,8,421,379
Inhambane,MASSINGA,MASSINGA SEDE,SEDE,EP 1º-2º Graus de Matingane,040445-03 .,800,12,179,225,416,3,13,432,368
Inhambane,MASSINGA,MASSINGA SEDE,SEDE,EP 1º-2º Graus de Matingane,040445-04 .,732,11,131,163,305,4,4,313,419
Inhambane,MASSINGA,MASSINGA SEDE,SEDE,EP 1º-2º Graus de Mudauca,040446-01 .,800,23,123,234,380,14,19,413,387
Inhambane,MASSINGA,MASSINGA SEDE,SEDE,EP 1º-2º Graus de Mudauca,040446-02 .,800,9,135,187,331,8,11,350,450
Inhambane,MASSINGA,MASSINGA SEDE,SEDE,EP 1º-2º Graus de Mudauca,040446-03 .,800,20,134,191,345,4,14,363,437
Inhambane,MASSINGA,MASSINGA SEDE,SEDE,EP 1º-2º Graus de Mudauca,040446-04 .,800,13,121,142,276,5,7,288,512
Inhambane,MASSINGA,MASSINGA SEDE,SEDE,EP 1º-2º Graus de Mudauca,040446-05 .,714,11,106,116,233,3,3,239,475
Inhambane,MASSINGA,MASSINGA SEDE,SEDE,EP 1º-2º Graus de Ngongane,040443-01A .,400,13,60,156,229,4,3,236,164
Inhambane,MASSINGA,MASSINGA SEDE,SEDE,EP 1º-2º Graus de Ngongane,040443-01B .,471,9,65,160,234,6,11,251,220
Inhambane,MASSINGA,MASSINGA SEDE,SEDE,Escola Profiss. de Massinga,040441-01 .,800,35,160,215,410,6,23,439,361
Inhambane,MASSINGA,MASSINGA SEDE,SEDE,Escola Profiss. de Massinga,040441-02 .,800,15,170,187,372,9,13,394,406
Inhambane,MASSINGA,MASSINGA SEDE,SEDE,Escola Profiss. de Massinga,040441-03 .,800,15,200,228,443,5,6,454,346
Inhambane,MASSINGA,MASSINGA SEDE,SEDE,Escola Profiss. de Massinga,040441-04 .,800,16,150,171,337,5,11,353,447
Inhambane,MASSINGA,MASSINGA SEDE,SEDE,Escola Profiss. de Massinga,040441-05A .,400,1,84,80,165,2,2,169,231
Inhambane,MASSINGA,MASSINGA SEDE,SEDE,Escola Profiss. de Massinga,040441-05B .,660,18,130,105,253,2,3,258,402
Inhambane,MASSINGA,MASSINGA SEDE,SEDE,Escola Sec. 3 de Fev. Malovecua,040442-01 .,800,16,121,151,288,5,12,305,495
Inhambane,MASSINGA,MASSINGA SEDE,SEDE,Escola Sec. 3 de Fev. Malovecua,040442-03 .,800,11,87,118,216,0,3,219,581
Inhambane,MASSINGA,MASSINGA SEDE,SEDE,Escola Sec. 3 de Fev. Malovecua,040442-04 .,519,5,46,98,149,4,3,156,363
Inhambane,MASSINGA,MASSINGA SEDE,SEDE,Escola Sec. de Massinga,040447-01 .,800,8,171,328,507,5,9,521,279
Inhambane,MASSINGA,MASSINGA SEDE,SEDE,Escola Sec. de Massinga,040447-02 .,800,13,189,267,469,6,8,483,317
Inhambane,MASSINGA,MASSINGA SEDE,SEDE,Escola Sec. de Massinga,040447-03 .,800,22,219,251,492,2,11,505,295
