Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,MDM,RENAMO,FRELIMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
Inhambane,MAXIXE,CIDADE DA MAXIXE,CHAMBONE,Campus 2 Unissave,040256-01 .,800,36,172,214,422,11,20,453,347
Inhambane,MAXIXE,CIDADE DA MAXIXE,CHAMBONE,Campus 2 Unissave,040256-02 .,800,38,174,172,384,8,16,408,392
Inhambane,MAXIXE,CIDADE DA MAXIXE,CHAMBONE,Campus 2 Unissave,040256-03A .,400,19,107,84,210,3,8,221,179
Inhambane,MAXIXE,CIDADE DA MAXIXE,CHAMBONE,Campus 2 Unissave,040256-03B .,656,34,145,123,302,1,15,318,338
Inhambane,MAXIXE,CIDADE DA MAXIXE,CHAMBONE,EP 1º-2º Graus 1 de Junho,040251-01 .,800,42,96,220,358,18,31,407,393
Inhambane,MAXIXE,CIDADE DA MAXIXE,CHAMBONE,EP 1º-2º Graus 1 de Junho,040251-02 .,800,36,109,148,293,4,23,320,480
Inhambane,MAXIXE,CIDADE DA MAXIXE,CHAMBONE,EP 1º-2º Graus 1 de Junho,040251-03A .,400,22,56,95,173,4,10,187,213
Inhambane,MAXIXE,CIDADE DA MAXIXE,CHAMBONE,EP 1º-2º Graus 1 de Junho,040251-03B .,578,23,76,122,221,2,9,232,346
Inhambane,MAXIXE,CIDADE DA MAXIXE,CHAMBONE,EP 1º-2º Graus de Josina Machel,040269-01 .,800,45,106,241,392,16,17,425,375
Inhambane,MAXIXE,CIDADE DA MAXIXE,CHAMBONE,EP 1º-2º Graus de Josina Machel,040269-02 .,800,37,125,185,347,5,13,365,435
Inhambane,MAXIXE,CIDADE DA MAXIXE,CHAMBONE,EP 1º-2º Graus de Josina Machel,040269-03 .,800,39,124,184,347,9,11,367,433
Inhambane,MAXIXE,CIDADE DA MAXIXE,CHAMBONE,EP 1º-2º Graus de Josina Machel,040269-04 .,800,50,128,165,343,4,22,369,431
Inhambane,MAXIXE,CIDADE DA MAXIXE,CHAMBONE,EP 1º-2º Graus de Josina Machel,040269-05 .,478,20,67,104,191,2,11,204,274
Inhambane,MAXIXE,CIDADE DA MAXIXE,CHAMBONE,EP 1º-2º Graus de Maxixe-Sede,040257-01 .,800,34,126,245,405,6,19,430,370
Inhambane,MAXIXE,CIDADE DA MAXIXE,CHAMBONE,EP 1º-2º Graus de Maxixe-Sede,040257-02 .,800,46,165,212,423,4,17,444,356
Inhambane,MAXIXE,CIDADE DA MAXIXE,CHAMBONE,EP 1º-2º Graus de Maxixe-Sede,040257-03 .,800,54,146,227,427,3,13,443,357
Inhambane,MAXIXE,CIDADE DA MAXIXE,CHAMBONE,EP 1º-2º Graus de Maxixe-Sede,040257-04 .,800,39,157,218,414,1,13,428,372
Inhambane,MAXIXE,CIDADE DA MAXIXE,CHAMBONE,EP 1º-2º Graus de Maxixe-Sede,040257-05A .,400,19,72,98,189,2,6,197,203
Inhambane,MAXIXE,CIDADE DA MAXIXE,CHAMBONE,EP 1º-2º Graus de Maxixe-Sede,040257-05B .,644,26,118,138,282,2,14,298,346
Inhambane,MAXIXE,CIDADE DA MAXIXE,CHAMBONE,EP 1º-2º Graus de Nhambiho,040254-01 .,800,34,111,258,403,15,25,443,357
Inhambane,MAXIXE,CIDADE DA MAXIXE,CHAMBONE,EP 1º-2º Graus de Nhambiho,040254-02 .,800,45,117,255,417,9,18,444,356
Inhambane,MAXIXE,CIDADE DA MAXIXE,CHAMBONE,EP 1º-2º Graus de Nhambiho,040254-03 .,800,52,153,238,443,2,10,455,345
Inhambane,MAXIXE,CIDADE DA MAXIXE,CHAMBONE,EP 1º-2º Graus de Nhambiho,040254-04 .,800,43,152,198,393,3,24,420,380
Inhambane,MAXIXE,CIDADE DA MAXIXE,CHAMBONE,EP 1º-2º Graus de Nhambiho,040254-05 .,800,48,152,198,398,2,18,418,382
Inhambane,MAXIXE,CIDADE DA MAXIXE,CHAMBONE,EP 1º-2º Graus de Nhambiho,040254-06 .,353,18,62,97,177,4,3,184,169
Inhambane,MAXIXE,CIDADE DA MAXIXE,CHAMBONE,EP 1º-2º Graus de Nhatitima,040271-01 .,800,45,94,278,417,15,26,458,342
Inhambane,MAXIXE,CIDADE DA MAXIXE,CHAMBONE,EP 1º-2º Graus de Nhatitima,040271-02 .,800,50,111,231,392,10,27,429,371
Inhambane,MAXIXE,CIDADE DA MAXIXE,CHAMBONE,EP 1º-2º Graus de Nhatitima,040271-03 .,793,66,143,165,374,5,15,394,399
Inhambane,MAXIXE,CIDADE DA MAXIXE,CHAMBONE,EP 1º-2º Graus de Rumbana,040255-01 .,800,31,86,289,406,19,31,456,344
Inhambane,MAXIXE,CIDADE DA MAXIXE,CHAMBONE,EP 1º-2º Graus de Rumbana,040255-02 .,800,26,100,233,359,13,24,396,404
Inhambane,MAXIXE,CIDADE DA MAXIXE,CHAMBONE,EP 1º-2º Graus de Rumbana,040255-03 .,800,30,100,236,366,4,20,390,410
Inhambane,MAXIXE,CIDADE DA MAXIXE,CHAMBONE,EP 1º-2º Graus de Rumbana,040255-04 .,800,43,117,213,373,5,14,392,408
Inhambane,MAXIXE,CIDADE DA MAXIXE,CHAMBONE,EP 1º-2º Graus de Rumbana,040255-05 .,723,29,33,228,290,0,74,364,359
Inhambane,MAXIXE,CIDADE DA MAXIXE,CHAMBONE,Esc. Sec. 1° de Maio,040252-01 .,800,28,102,305,435,5,17,457,343
Inhambane,MAXIXE,CIDADE DA MAXIXE,CHAMBONE,Esc. Sec. 1° de Maio,040252-02 .,800,34,97,217,348,3,15,366,434
Inhambane,MAXIXE,CIDADE DA MAXIXE,CHAMBONE,Esc. Sec. 1° de Maio,040252-03 .,630,19,99,120,238,0,7,245,385
Inhambane,MAXIXE,CIDADE DA MAXIXE,CHAMBONE,Esc. Sec. Marcelino dos Santos,040267-01A .,400,7,60,137,204,1,13,218,182
Inhambane,MAXIXE,CIDADE DA MAXIXE,CHAMBONE,Esc. Sec. Marcelino dos Santos,040267-01B .,646,26,70,502,598,6,15,619,27
Inhambane,MAXIXE,CIDADE DA MAXIXE,CHAMBONE,Esc. Sec. de Chambone,040258-01 .,800,45,98,263,406,21,12,439,361
Inhambane,MAXIXE,CIDADE DA MAXIXE,CHAMBONE,Esc. Sec. de Chambone,040258-02 .,800,42,101,212,355,8,34,397,403
Inhambane,MAXIXE,CIDADE DA MAXIXE,CHAMBONE,Esc. Sec. de Chambone,040258-03 .,800,67,145,188,400,6,17,423,377
Inhambane,MAXIXE,CIDADE DA MAXIXE,CHAMBONE,Esc. Sec. de Chambone,040258-04A .,400,30,75,91,196,1,9,206,194
Inhambane,MAXIXE,CIDADE DA MAXIXE,CHAMBONE,Esc. Sec. de Chambone,040258-04B .,520,35,90,97,222,9,9,240,280
Inhambane,MAXIXE,CIDADE DA MAXIXE,CHAMBONE,Escola Secundaria 29 de Setembro,040270-01 .,800,41,148,280,469,8,18,495,305
Inhambane,MAXIXE,CIDADE DA MAXIXE,CHAMBONE,Escola Secundaria 29 de Setembro,040270-02 .,800,36,156,235,427,7,20,454,346
Inhambane,MAXIXE,CIDADE DA MAXIXE,CHAMBONE,Escola Secundaria 29 de Setembro,040270-03 .,800,36,157,222,415,1,9,425,375
Inhambane,MAXIXE,CIDADE DA MAXIXE,CHAMBONE,Escola Secundaria 29 de Setembro,040270-04 .,800,44,157,201,402,2,12,416,384
Inhambane,MAXIXE,CIDADE DA MAXIXE,CHAMBONE,Escola Secundaria 29 de Setembro,040270-05 .,800,38,174,203,415,4,22,441,359
Inhambane,MAXIXE,CIDADE DA MAXIXE,CHAMBONE,Escola Secundaria 29 de Setembro,040270-06A .,400,28,77,97,202,2,3,207,193
Inhambane,MAXIXE,CIDADE DA MAXIXE,CHAMBONE,Escola Secundaria 29 de Setembro,040270-06B .,681,29,115,150,294,6,7,307,374
Inhambane,MAXIXE,CIDADE DA MAXIXE,MABIL,EP 1º Grau de Cuguana (B),040281-01 .,762,18,88,168,274,11,14,299,463
Inhambane,MAXIXE,CIDADE DA MAXIXE,MABIL,EP 1º Grau de Nhampata de Palha,040279-01 .,800,27,44,258,329,15,19,363,437
Inhambane,MAXIXE,CIDADE DA MAXIXE,MABIL,EP 1º Grau de Nhampata de Palha,040279-02 .,336,15,19,71,105,1,6,112,224
Inhambane,MAXIXE,CIDADE DA MAXIXE,MABIL,EP 1º-2º Graus de Gigune,040277-01 .,800,30,63,250,343,9,20,372,428
Inhambane,MAXIXE,CIDADE DA MAXIXE,MABIL,EP 1º-2º Graus de Gigune,040277-02 .,800,35,52,181,268,13,14,295,505
Inhambane,MAXIXE,CIDADE DA MAXIXE,MABIL,EP 1º-2º Graus de Gigune,040277-03A .,400,22,33,91,146,2,3,151,249
Inhambane,MAXIXE,CIDADE DA MAXIXE,MABIL,EP 1º-2º Graus de Gigune,040277-03B .,502,26,39,100,165,2,11,178,324
Inhambane,MAXIXE,CIDADE DA MAXIXE,MABIL,EP 1º-2º Graus de Mabil,040280-01 .,800,113,47,219,379,6,23,408,392
Inhambane,MAXIXE,CIDADE DA MAXIXE,MABIL,EP 1º-2º Graus de Mabil,040280-02 .,703,97,66,120,283,4,11,298,405
Inhambane,MAXIXE,CIDADE DA MAXIXE,MABIL,EP 1º-2º Graus de Macuamene,040278-01 .,800,46,84,256,386,4,20,410,390
Inhambane,MAXIXE,CIDADE DA MAXIXE,MABIL,EP 1º-2º Graus de Macuamene,040278-02 .,760,46,99,169,314,9,21,344,416
Inhambane,MAXIXE,CIDADE DA MAXIXE,MABIL,EP 1º-2º Graus de Muchirre,040274-01 .,800,17,60,286,363,16,27,406,394
Inhambane,MAXIXE,CIDADE DA MAXIXE,MABIL,EP 1º-2º Graus de Muchirre,040274-02 .,800,17,64,186,267,13,13,293,507
Inhambane,MAXIXE,CIDADE DA MAXIXE,MABIL,EP 1º-2º Graus do Professor C. Marques,040287-01 .,800,43,103,276,422,11,36,469,331
Inhambane,MAXIXE,CIDADE DA MAXIXE,MABIL,EP 1º-2º Graus do Professor C. Marques,040287-02 .,704,51,116,189,356,5,15,376,328
Inhambane,MAXIXE,CIDADE DA MAXIXE,MABIL,Escola Secundaria Tomás Nduda,040276-01 .,800,64,33,217,314,18,18,350,450
Inhambane,MAXIXE,CIDADE DA MAXIXE,MABIL,Escola Secundaria Tomás Nduda,040276-02 .,800,59,32,172,263,9,5,277,523
Inhambane,MAXIXE,CIDADE DA MAXIXE,MABIL,Escola Secundaria Tomás Nduda,040276-03 .,313,30,20,61,111,2,2,115,198
Inhambane,MAXIXE,CIDADE DA MAXIXE,NHABANDA,EP 1º-2º Graus de Barrane,040227-01 .,800,25,78,185,288,13,22,323,477
Inhambane,MAXIXE,CIDADE DA MAXIXE,NHABANDA,EP 1º-2º Graus de Barrane,040227-02 .,800,23,71,163,257,5,9,271,529
Inhambane,MAXIXE,CIDADE DA MAXIXE,NHABANDA,EP 1º-2º Graus de Barrane,040227-03 .,800,19,69,151,239,8,9,256,544
Inhambane,MAXIXE,CIDADE DA MAXIXE,NHABANDA,EP 1º-2º Graus de Barrane,040227-04 .,458,18,41,68,127,0,3,130,328
Inhambane,MAXIXE,CIDADE DA MAXIXE,NHABANDA,EP 1º-2º Graus de Bato,040249-01 .,800,24,74,224,322,5,25,352,448
Inhambane,MAXIXE,CIDADE DA MAXIXE,NHABANDA,EP 1º-2º Graus de Bato,040249-02 .,800,28,86,176,290,6,14,310,490
Inhambane,MAXIXE,CIDADE DA MAXIXE,NHABANDA,EP 1º-2º Graus de Bato,040249-03 .,800,30,112,165,307,4,17,328,472
Inhambane,MAXIXE,CIDADE DA MAXIXE,NHABANDA,EP 1º-2º Graus de Bato,040249-04A .,400,16,67,72,155,2,7,164,236
Inhambane,MAXIXE,CIDADE DA MAXIXE,NHABANDA,EP 1º-2º Graus de Bato,040249-04B .,451,22,82,76,180,2,12,194,257
Inhambane,MAXIXE,CIDADE DA MAXIXE,NHABANDA,EP 1º-2º Graus de Beúla,040233-01 .,781,17,49,561,627,0,14,641,140
Inhambane,MAXIXE,CIDADE DA MAXIXE,NHABANDA,EP 1º-2º Graus de Gugo (B),040250-01 .,280,8,27,182,217,10,7,234,46
Inhambane,MAXIXE,CIDADE DA MAXIXE,NHABANDA,EP 1º-2º Graus de Habana,040230-01 .,800,25,61,189,275,17,22,314,486
Inhambane,MAXIXE,CIDADE DA MAXIXE,NHABANDA,EP 1º-2º Graus de Habana,040230-02 .,800,9,70,185,264,8,5,277,523
Inhambane,MAXIXE,CIDADE DA MAXIXE,NHABANDA,EP 1º-2º Graus de Habana,040230-03 .,754,24,66,119,209,7,11,227,527
Inhambane,MAXIXE,CIDADE DA MAXIXE,NHABANDA,EP 1º-2º Graus de Mandiane,040241-01 .,408,9,55,113,177,6,12,195,213
Inhambane,MAXIXE,CIDADE DA MAXIXE,NHABANDA,EP 1º-2º Graus de Maquetela,040248-01 .,800,28,72,230,330,15,25,370,430
Inhambane,MAXIXE,CIDADE DA MAXIXE,NHABANDA,EP 1º-2º Graus de Maquetela,040248-02A .,400,12,57,103,172,3,6,181,219
Inhambane,MAXIXE,CIDADE DA MAXIXE,NHABANDA,EP 1º-2º Graus de Maquetela,040248-02B .,636,30,76,131,237,5,10,252,384
