Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,MDM,RENAMO,FRELIMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
Inhambane,VILANKULO,VILANKULO SEDE,VILANKULO SEDE,Delegação Maritima (Alpendre),040631-01 .,800,12,199,300,511,11,20,542,258
Inhambane,VILANKULO,VILANKULO SEDE,VILANKULO SEDE,Delegação Maritima (Alpendre),040631-02 .,800,12,201,279,492,9,17,518,282
Inhambane,VILANKULO,VILANKULO SEDE,VILANKULO SEDE,Delegação Maritima (Alpendre),040631-03 .,800,10,234,275,519,12,12,543,257
Inhambane,VILANKULO,VILANKULO SEDE,VILANKULO SEDE,Delegação Maritima (Alpendre),040631-04A .,400,8,115,117,240,3,1,244,156
Inhambane,VILANKULO,VILANKULO SEDE,VILANKULO SEDE,Delegação Maritima (Alpendre),040631-04B .,664,12,196,188,396,2,7,405,259
Inhambane,VILANKULO,VILANKULO SEDE,VILANKULO SEDE,EP 1º Grau 16 de Junho,040637-01 .,800,13,220,179,412,12,7,431,369
Inhambane,VILANKULO,VILANKULO SEDE,VILANKULO SEDE,EP 1º Grau 16 de Junho,040637-02 .,800,18,261,143,422,4,12,438,362
Inhambane,VILANKULO,VILANKULO SEDE,VILANKULO SEDE,EP 1º Grau 16 de Junho,040637-03 .,800,17,250,350,617,6,8,631,169
Inhambane,VILANKULO,VILANKULO SEDE,VILANKULO SEDE,EP 1º Grau 16 de Junho,040637-04A .,400,9,119,70,198,1,1,200,200
Inhambane,VILANKULO,VILANKULO SEDE,VILANKULO SEDE,EP 1º Grau 16 de Junho,040637-04B .,660,8,183,118,309,0,6,315,345
Inhambane,VILANKULO,VILANKULO SEDE,VILANKULO SEDE,EP 1º-2º Graus 18 de Abril,040638-01 .,800,19,239,174,432,6,5,443,357
Inhambane,VILANKULO,VILANKULO SEDE,VILANKULO SEDE,EP 1º-2º Graus 18 de Abril,040638-02 .,693,8,199,123,330,4,14,348,345
Inhambane,VILANKULO,VILANKULO SEDE,VILANKULO SEDE,EP 1º-2º Graus 19 de Outubro,040620-01 .,800,17,109,551,677,25,27,729,71
Inhambane,VILANKULO,VILANKULO SEDE,VILANKULO SEDE,EP 1º-2º Graus 19 de Outubro,040620-02 .,800,10,151,158,319,7,20,346,454
Inhambane,VILANKULO,VILANKULO SEDE,VILANKULO SEDE,EP 1º-2º Graus 19 de Outubro,040620-03 .,322,7,56,247,310,1,2,313,9
Inhambane,VILANKULO,VILANKULO SEDE,VILANKULO SEDE,EP 1º-2º Graus de Aeroporto,040633-01 .,800,18,164,248,430,18,21,469,331
Inhambane,VILANKULO,VILANKULO SEDE,VILANKULO SEDE,EP 1º-2º Graus de Aeroporto,040633-02 .,800,15,212,226,453,4,10,467,333
Inhambane,VILANKULO,VILANKULO SEDE,VILANKULO SEDE,EP 1º-2º Graus de Aeroporto,040633-03 .,800,10,249,222,481,3,9,493,307
Inhambane,VILANKULO,VILANKULO SEDE,VILANKULO SEDE,EP 1º-2º Graus de Aeroporto,040633-04 .,800,14,240,180,434,11,6,451,349
Inhambane,VILANKULO,VILANKULO SEDE,VILANKULO SEDE,EP 1º-2º Graus de Aeroporto,040633-05A .,400,6,129,83,218,1,4,223,177
Inhambane,VILANKULO,VILANKULO SEDE,VILANKULO SEDE,EP 1º-2º Graus de Aeroporto,040633-05B .,490,7,137,100,244,5,6,255,235
Inhambane,VILANKULO,VILANKULO SEDE,VILANKULO SEDE,EP 1º-2º Graus de Caxane,040635-01 .,800,11,135,216,362,14,19,395,405
Inhambane,VILANKULO,VILANKULO SEDE,VILANKULO SEDE,EP 1º-2º Graus de Caxane,040635-02 .,800,15,130,178,323,15,18,356,444
Inhambane,VILANKULO,VILANKULO SEDE,VILANKULO SEDE,EP 1º-2º Graus de Caxane,040635-03 .,800,22,172,218,412,5,16,433,367
Inhambane,VILANKULO,VILANKULO SEDE,VILANKULO SEDE,EP 1º-2º Graus de Caxane,040635-04 .,359,9,65,64,138,2,6,146,213
Inhambane,VILANKULO,VILANKULO SEDE,VILANKULO SEDE,EP 1º-2º Graus de Gamela,040636-01 .,800,12,209,243,464,16,12,492,308
Inhambane,VILANKULO,VILANKULO SEDE,VILANKULO SEDE,EP 1º-2º Graus de Gamela,040636-02 .,800,15,240,203,458,6,14,478,322
Inhambane,VILANKULO,VILANKULO SEDE,VILANKULO SEDE,EP 1º-2º Graus de Gamela,040636-03 .,800,11,232,201,444,4,10,458,342
Inhambane,VILANKULO,VILANKULO SEDE,VILANKULO SEDE,EP 1º-2º Graus de Gamela,040636-04 .,800,12,283,171,466,2,12,480,320
Inhambane,VILANKULO,VILANKULO SEDE,VILANKULO SEDE,EP 1º-2º Graus de Gamela,040636-05 .,800,10,173,261,444,7,11,462,338
Inhambane,VILANKULO,VILANKULO SEDE,VILANKULO SEDE,EP 1º-2º Graus de Gamela,040636-06A .,400,6,126,78,210,1,5,216,184
Inhambane,VILANKULO,VILANKULO SEDE,VILANKULO SEDE,EP 1º-2º Graus de Gamela,040636-06B .,608,8,119,199,326,2,2,330,278
Inhambane,VILANKULO,VILANKULO SEDE,VILANKULO SEDE,EP 1º-2º Graus de Mahaque,040642-01 .,800,9,168,238,415,20,21,456,344
Inhambane,VILANKULO,VILANKULO SEDE,VILANKULO SEDE,EP 1º-2º Graus de Mahaque,040642-02 .,800,16,189,216,421,12,12,445,355
Inhambane,VILANKULO,VILANKULO SEDE,VILANKULO SEDE,EP 1º-2º Graus de Mahaque,040642-03A .,400,6,101,113,220,0,8,228,172
Inhambane,VILANKULO,VILANKULO SEDE,VILANKULO SEDE,EP 1º-2º Graus de Mahaque,040642-03B .,621,8,134,136,278,8,10,296,325
Inhambane,VILANKULO,VILANKULO SEDE,VILANKULO SEDE,EP 1º-2º Graus de Vilanculo Sede,040628-01 .,800,16,200,279,495,6,16,517,283
Inhambane,VILANKULO,VILANKULO SEDE,VILANKULO SEDE,EP 1º-2º Graus de Vilanculo Sede,040628-02 .,800,15,195,274,484,8,10,502,298
Inhambane,VILANKULO,VILANKULO SEDE,VILANKULO SEDE,EP 1º-2º Graus de Vilanculo Sede,040628-03 .,800,15,239,296,550,2,8,560,240
Inhambane,VILANKULO,VILANKULO SEDE,VILANKULO SEDE,EP 1º-2º Graus de Vilanculo Sede,040628-04 .,800,16,226,245,487,8,9,504,296
Inhambane,VILANKULO,VILANKULO SEDE,VILANKULO SEDE,EP 1º-2º Graus de Vilanculo Sede,040628-05 .,800,12,270,216,498,3,8,509,291
Inhambane,VILANKULO,VILANKULO SEDE,VILANKULO SEDE,EP 1º-2º Graus de Vilanculo Sede,040628-06 .,737,5,91,601,697,2,0,699,38
Inhambane,VILANKULO,VILANKULO SEDE,VILANKULO SEDE,Esc. Sec. de Mucoque (Bairro Central),040623-01 .,800,12,195,316,523,7,15,545,255
Inhambane,VILANKULO,VILANKULO SEDE,VILANKULO SEDE,Esc. Sec. de Mucoque (Bairro Central),040623-02 .,800,16,255,258,529,1,9,539,261
Inhambane,VILANKULO,VILANKULO SEDE,VILANKULO SEDE,Esc. Sec. de Mucoque (Bairro Central),040623-03 .,800,19,230,236,485,8,17,510,290
Inhambane,VILANKULO,VILANKULO SEDE,VILANKULO SEDE,Esc. Sec. de Mucoque (Bairro Central),040623-04A .,400,4,119,111,234,3,3,240,160
Inhambane,VILANKULO,VILANKULO SEDE,VILANKULO SEDE,Esc. Sec. de Mucoque (Bairro Central),040623-04B .,434,9,131,166,306,1,5,312,122
Inhambane,VILANKULO,VILANKULO SEDE,VILANKULO SEDE,Escola Sec. Graca Machel,040639-01 .,800,9,207,504,720,0,10,730,70
Inhambane,VILANKULO,VILANKULO SEDE,VILANKULO SEDE,Povoado de Nhajusse,040634-01 .,800,17,245,164,426,21,13,460,340
