"sep=,"
Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,MDM,RENAMO,FRELIMO,ND,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,Barraca Chissui,060207-01 .,800,15,69,229,5,318,9,5,332,468
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,Barraca Chissui,060207-02 .,800,9,46,227,3,285,2,12,299,501
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,Barraca Chissui,060207-03 .,800,11,53,197,4,265,4,1,270,530
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,Barraca Chissui,060207-04 .,800,7,57,193,1,258,5,4,267,533
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,Barraca Chissui,060207-05 .,800,9,38,185,1,233,4,4,241,559
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,Barraca Chissui,060207-06A .,500,5,26,96,1,128,3,3,134,366
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,Barraca Chissui,060207-06B .,304,2,18,63,0,83,1,1,85,219
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,EP1 e 2 Formiga de Futuro,060210-01 .,800,15,58,353,4,430,7,5,442,358
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,EP1 e 2 Formiga de Futuro,060210-02 .,800,12,60,317,2,391,5,8,404,396
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,EP1 e 2 Formiga de Futuro,060210-03 .,800,12,53,310,4,379,6,9,394,406
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,EP1 e 2 Formiga de Futuro,060210-04 .,800,15,44,300,0,359,11,3,373,427
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,EP1 e 2 Formiga de Futuro,060210-05 .,800,13,62,282,4,361,7,11,379,421
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,EP1 e 2 Formiga de Futuro,060210-06 .,793,10,39,249,4,302,6,2,310,483
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,EP1 e 2 Formiga de Futuro (B),060199-01 .,689,9,40,228,3,280,6,6,292,397
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,EP1e 2 - 25 de Junho,060214-01 .,800,9,58,372,6,445,17,13,475,325
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,EP1e 2 - 25 de Junho,060214-02 .,800,9,64,391,3,467,13,10,490,310
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,EP1e 2 - 25 de Junho,060214-03 .,800,14,57,338,2,411,11,13,435,365
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,EP1e 2 - 25 de Junho,060214-04 .,800,19,60,337,1,417,4,12,433,367
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,EP1e 2 - 25 de Junho,060214-05 .,800,15,76,293,3,387,6,6,399,401
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,EP1e 2 - 25 de Junho,060214-06 .,603,9,35,208,2,254,6,4,264,339
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,EP1e 2 Centro Hípico,060216-01 .,800,13,43,392,3,451,7,11,469,331
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,EP1e 2 Centro Hípico,060216-02 .,800,13,86,382,3,484,9,7,500,300
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,EP1e 2 Centro Hípico,060216-03 .,800,13,65,343,4,425,8,12,445,355
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,EP1e 2 Centro Hípico,060216-04 .,800,16,63,384,1,464,5,9,478,322
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,EP1e 2 Centro Hípico,060216-05 .,800,22,63,354,1,440,2,6,448,352
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,EP1e 2 Centro Hípico,060216-06 .,800,9,54,329,1,393,4,9,406,394
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,EP1e 2 Centro Hípico,060216-07 .,800,9,57,206,2,274,4,5,283,517
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,EP1e 2 Centro Hípico,060216-08 .,318,3,17,86,0,106,1,1,108,210
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,EP1e 2 Centro Hípico (B),060218-01 .,800,16,63,302,0,381,3,12,396,404
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,EP1e 2 Centro Hípico (B),060218-02 .,800,16,53,235,3,307,3,10,320,480
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,EP1e 2 Heróis Moçambicanos,060219-01 .,800,14,69,338,6,427,7,11,445,355
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,EP1e 2 Heróis Moçambicanos,060219-02 .,800,15,68,340,3,426,5,6,437,363
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,EP1e 2 Heróis Moçambicanos,060219-03 .,800,9,74,299,2,384,5,7,396,404
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,EP1e 2 Heróis Moçambicanos,060219-04 .,800,13,49,274,3,339,3,4,346,454
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,EP1e 2 Heróis Moçambicanos,060219-05 .,800,15,61,241,1,318,2,9,329,471
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,EP1e 2 Heróis Moçambicanos,060219-06A .,500,10,41,153,3,207,3,4,214,286
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,EP1e 2 Heróis Moçambicanos,060219-06B .,497,11,39,172,1,223,4,1,228,269
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,EP1e 2 Hombua,060208-01 .,800,14,74,304,3,395,13,17,425,375
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,EP1e 2 Hombua,060208-02 .,799,13,44,202,3,262,2,13,277,522
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,EP1e 2 Hombua,060208-03 .,445,7,16,101,0,124,2,6,132,313
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,EP1e 2 IV Congresso (Agostinho Neto),060212-01 .,800,8,74,382,2,466,18,29,513,287
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,EP1e 2 IV Congresso (Agostinho Neto),060212-02 .,800,10,37,360,4,411,11,9,431,369
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,EP1e 2 IV Congresso (Agostinho Neto),060212-03 .,548,9,25,172,2,208,5,0,213,335
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,EP1e 2 Josina Machel,060222-01 .,800,15,66,379,7,467,11,18,496,304
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,EP1e 2 Josina Machel,060222-02 .,800,15,59,326,4,404,2,7,413,387
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,EP1e 2 Josina Machel,060222-03 .,800,11,56,315,3,385,7,14,406,394
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,EP1e 2 Josina Machel,060222-04 .,800,14,56,321,4,395,10,8,413,387
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,EP1e 2 Josina Machel,060222-05 .,800,11,50,293,1,355,2,6,363,437
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,EP1e 2 Josina Machel,060222-06 .,800,9,56,265,4,334,4,7,345,455
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,EP1e 2 Josina Machel,060222-07 .,800,8,45,252,2,307,4,6,317,483
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,EP1e 2 Josina Machel,060222-08 .,483,5,32,136,1,174,1,3,178,305
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,EP1e 2 Josina Machel (B),060202-01 .,800,13,64,321,3,401,3,7,411,389
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,EP1e 2 Josina Machel (B),060202-02 .,800,11,50,306,0,367,1,5,373,427
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,EP1e 2 Josina Machel (B),060202-03 .,800,6,40,267,1,314,3,5,322,478
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,EP1e 2 Josina Machel (B),060202-04 .,402,6,24,121,0,151,1,3,155,247
Manica,CHIMOIO,POSTO ADM. Nº 1,NÃO APLICÁVEL,EP1e 2 Nhamadjessa,060213-01 .,800,14,57,363,8,442,12,9,463,337
