"sep=,"
Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,MDM,RENAMO,FRELIMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
Manica,GONDOLA,GONDOLA (Sede),GONDOLA (Sede),EP1 e 2 Mazicuera,060169-01 .,800,31,87,272,390,14,13,417,383
Manica,GONDOLA,GONDOLA (Sede),GONDOLA (Sede),EP1 e 2 Mazicuera,060169-02 .,800,31,75,248,354,5,9,368,432
Manica,GONDOLA,GONDOLA (Sede),GONDOLA (Sede),EP1 e 2 Mazicuera,060169-03 .,800,23,86,218,327,3,4,334,466
Manica,GONDOLA,GONDOLA (Sede),GONDOLA (Sede),EP1 e 2 Mazicuera,060169-04 .,800,23,103,181,307,15,5,327,473
Manica,GONDOLA,GONDOLA (Sede),GONDOLA (Sede),EP1 e 2 Mazicuera,060169-05A .,500,17,55,107,179,3,13,195,305
Manica,GONDOLA,GONDOLA (Sede),GONDOLA (Sede),EP1 e 2 Mazicuera,060169-05B .,498,8,49,112,169,3,2,174,324
Manica,GONDOLA,GONDOLA (Sede),GONDOLA (Sede),EP1 e 2 Mucessua,060166-01 .,800,24,137,263,424,5,8,437,363
Manica,GONDOLA,GONDOLA (Sede),GONDOLA (Sede),EP1 e 2 Mucessua,060166-02 .,800,20,116,255,391,5,5,401,399
Manica,GONDOLA,GONDOLA (Sede),GONDOLA (Sede),EP1 e 2 Mucessua,060166-03 .,800,18,143,241,402,4,5,411,389
Manica,GONDOLA,GONDOLA (Sede),GONDOLA (Sede),EP1 e 2 Mucessua,060166-04 .,800,17,110,244,371,7,5,383,417
Manica,GONDOLA,GONDOLA (Sede),GONDOLA (Sede),EP1 e 2 Mucessua,060166-05 .,800,26,147,196,369,9,7,385,415
Manica,GONDOLA,GONDOLA (Sede),GONDOLA (Sede),EP1 e 2 Mucessua,060166-06 .,425,13,70,125,208,2,1,211,214
Manica,GONDOLA,GONDOLA (Sede),GONDOLA (Sede),EP1 e 2 Muda Gondola,060165-01 .,800,25,86,300,411,21,15,447,353
Manica,GONDOLA,GONDOLA (Sede),GONDOLA (Sede),EP1 e 2 Muda Gondola,060165-02 .,800,36,84,208,328,5,4,337,463
Manica,GONDOLA,GONDOLA (Sede),GONDOLA (Sede),EP1 e 2 Muda Gondola,060165-03A .,500,15,47,126,188,1,0,189,311
Manica,GONDOLA,GONDOLA (Sede),GONDOLA (Sede),EP1 e 2 Muda Gondola,060165-03B .,500,12,40,105,157,9,0,166,334
Manica,GONDOLA,GONDOLA (Sede),GONDOLA (Sede),EP1 e 2 Nhachoco,060167-01 .,800,20,83,294,397,11,7,415,385
Manica,GONDOLA,GONDOLA (Sede),GONDOLA (Sede),EP1 e 2 Nhachoco,060167-02 .,800,23,82,279,384,13,7,404,396
Manica,GONDOLA,GONDOLA (Sede),GONDOLA (Sede),EP1 e 2 Nhachoco,060167-03 .,800,22,90,246,358,8,3,369,431
Manica,GONDOLA,GONDOLA (Sede),GONDOLA (Sede),EP1 e 2 Nhachoco,060167-04 .,800,25,106,216,347,3,11,361,439
Manica,GONDOLA,GONDOLA (Sede),GONDOLA (Sede),EP1 e 2 Nhachoco,060167-05 .,664,24,77,139,240,5,4,249,415
Manica,GONDOLA,GONDOLA (Sede),GONDOLA (Sede),ESG Bengo,060170-01 .,800,26,83,306,415,10,7,432,368
Manica,GONDOLA,GONDOLA (Sede),GONDOLA (Sede),ESG Bengo,060170-02 .,800,21,86,259,366,10,10,386,414
Manica,GONDOLA,GONDOLA (Sede),GONDOLA (Sede),ESG Bengo,060170-03 .,800,18,108,277,403,3,9,415,385
Manica,GONDOLA,GONDOLA (Sede),GONDOLA (Sede),ESG Bengo,060170-04 .,800,29,120,251,400,3,5,408,392
Manica,GONDOLA,GONDOLA (Sede),GONDOLA (Sede),ESG Bengo,060170-05A .,500,12,64,125,201,3,6,210,290
Manica,GONDOLA,GONDOLA (Sede),GONDOLA (Sede),ESG Bengo,060170-05B .,303,4,40,76,120,1,1,122,181
Manica,GONDOLA,GONDOLA (Sede),GONDOLA (Sede),ESG Josina Machel,060172-01 .,800,27,98,306,431,11,8,450,350
Manica,GONDOLA,GONDOLA (Sede),GONDOLA (Sede),ESG Josina Machel,060172-02 .,800,25,100,302,427,9,17,453,347
Manica,GONDOLA,GONDOLA (Sede),GONDOLA (Sede),ESG Josina Machel,060172-03 .,800,22,115,310,447,10,13,470,330
Manica,GONDOLA,GONDOLA (Sede),GONDOLA (Sede),ESG Josina Machel,060172-04 .,800,28,116,280,424,7,8,439,361
Manica,GONDOLA,GONDOLA (Sede),GONDOLA (Sede),ESG Josina Machel,060172-05 .,800,18,108,280,406,9,11,426,374
Manica,GONDOLA,GONDOLA (Sede),GONDOLA (Sede),ESG Josina Machel,060172-06 .,800,17,131,241,389,1,6,396,404
Manica,GONDOLA,GONDOLA (Sede),GONDOLA (Sede),ESG Josina Machel,060172-07 .,796,20,111,199,330,4,6,340,456
Manica,GONDOLA,GONDOLA (Sede),GONDOLA (Sede),ESG Macombe,060161-01 .,800,25,104,362,491,3,12,506,294
Manica,GONDOLA,GONDOLA (Sede),GONDOLA (Sede),ESG Macombe,060161-02 .,800,21,99,322,442,10,12,464,336
Manica,GONDOLA,GONDOLA (Sede),GONDOLA (Sede),ESG Macombe,060161-03 .,800,24,108,343,475,3,4,482,318
Manica,GONDOLA,GONDOLA (Sede),GONDOLA (Sede),ESG Macombe,060161-04 .,800,28,101,328,457,8,4,469,331
Manica,GONDOLA,GONDOLA (Sede),GONDOLA (Sede),ESG Macombe,060161-05 .,800,26,108,333,467,13,12,492,308
Manica,GONDOLA,GONDOLA (Sede),GONDOLA (Sede),ESG Macombe,060161-06 .,800,23,104,264,391,10,4,405,395
Manica,GONDOLA,GONDOLA (Sede),GONDOLA (Sede),ESG Macombe,060161-07 .,643,16,99,174,289,0,3,292,351
Manica,GONDOLA,GONDOLA (Sede),GONDOLA (Sede),ESG Mazicuera,060171-01 .,800,34,92,230,356,0,9,365,435
Manica,GONDOLA,GONDOLA (Sede),GONDOLA (Sede),ESG Mazicuera,060171-02 .,800,31,106,219,356,10,7,373,427
Manica,GONDOLA,GONDOLA (Sede),GONDOLA (Sede),ESG Mazicuera,060171-03 .,800,30,93,246,369,9,0,378,422
Manica,GONDOLA,GONDOLA (Sede),GONDOLA (Sede),ESG Mazicuera,060171-04 .,800,38,94,225,357,2,6,365,435
Manica,GONDOLA,GONDOLA (Sede),GONDOLA (Sede),ESG Mazicuera,060171-05 .,666,15,74,160,249,9,1,259,407
