"sep=,"
Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,MDM,RENAMO,FRELIMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
Manica,GURO,GURO (Sede),SANGA,Barraca de Cruzamento Nhansana,060466-01 .,442,8,42,201,251,7,5,263,179
Manica,GURO,GURO (Sede),SANGA,EP1 e 2 12 de Outubro,060459-01 .,800,33,67,406,506,9,9,524,276
Manica,GURO,GURO (Sede),SANGA,EP1 e 2 12 de Outubro,060459-02 .,800,28,62,384,474,7,12,493,307
Manica,GURO,GURO (Sede),SANGA,EP1 e 2 12 de Outubro,060459-03 .,800,37,57,347,441,17,12,470,330
Manica,GURO,GURO (Sede),SANGA,EP1 e 2 12 de Outubro,060459-04 .,800,37,53,319,409,7,9,425,375
Manica,GURO,GURO (Sede),SANGA,EP1 e 2 12 de Outubro,060459-05 .,614,15,39,190,244,3,4,251,363
Manica,GURO,GURO (Sede),SANGA,EP1 e 2 Cateté,060479-01 .,800,29,70,353,452,15,8,475,325
Manica,GURO,GURO (Sede),SANGA,EP1 e 2 Cateté,060479-02 .,800,32,60,327,419,9,13,441,359
Manica,GURO,GURO (Sede),SANGA,EP1 e 2 Cateté,060479-03A .,500,16,29,199,244,5,12,261,239
Manica,GURO,GURO (Sede),SANGA,EP1 e 2 Cateté,060479-03B .,343,15,27,107,149,1,1,151,192
Manica,GURO,GURO (Sede),SANGA,EP1 e 2 Guro Sede,060458-01 .,800,15,71,503,589,1,20,610,190
Manica,GURO,GURO (Sede),SANGA,EP1 e 2 Guro Sede,060458-02 .,800,25,67,400,492,14,14,520,280
Manica,GURO,GURO (Sede),SANGA,EP1 e 2 Guro Sede,060458-03 .,800,19,59,417,495,12,5,512,288
Manica,GURO,GURO (Sede),SANGA,EP1 e 2 Guro Sede,060458-04 .,800,16,47,401,464,13,15,492,308
Manica,GURO,GURO (Sede),SANGA,EP1 e 2 Guro Sede,060458-05 .,712,13,39,296,348,8,1,357,355
Manica,GURO,GURO (Sede),SANGA,EP1 e 2 Nhanfula,060464-01 .,800,28,57,435,520,15,15,550,250
Manica,GURO,GURO (Sede),SANGA,EP1 e 2 Nhanfula,060464-02 .,800,22,52,330,404,32,5,441,359
Manica,GURO,GURO (Sede),SANGA,EP1 e 2 Nhanfula,060464-03 .,735,18,40,226,284,11,7,302,433
Manica,GURO,GURO (Sede),SANGA,EP1 e 2 Tongogara,060462-01 .,800,10,72,365,447,15,12,474,326
Manica,GURO,GURO (Sede),SANGA,EP1 e 2 Tongogara,060462-02 .,800,12,61,291,364,10,5,379,421
Manica,GURO,GURO (Sede),SANGA,EP1 e 2 Tongogara,060462-03A .,500,9,52,131,192,13,3,208,292
Manica,GURO,GURO (Sede),SANGA,EP1 e 2 Tongogara,060462-03B .,491,5,38,131,174,9,1,184,307
Manica,GURO,GURO (Sede),SANGA,ESG Guro,060463-01 .,800,42,63,357,462,10,14,486,314
Manica,GURO,GURO (Sede),SANGA,ESG Guro,060463-02 .,800,39,57,330,426,8,7,441,359
Manica,GURO,GURO (Sede),SANGA,ESG Guro,060463-03 .,757,23,50,294,367,8,7,382,375
