"sep=,"
Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,MDM,RENAMO,FRELIMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1 e 2 - 5 de Dezembro,060283-01 .,800,15,74,447,536,10,11,557,243
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1 e 2 - 5 de Dezembro,060283-02 .,800,21,86,412,519,6,8,533,267
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1 e 2 - 5 de Dezembro,060283-03 .,800,17,93,351,461,13,14,488,312
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1 e 2 - 5 de Dezembro,060283-04 .,800,14,79,324,417,7,10,434,366
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1 e 2 - 5 de Dezembro,060283-05 .,539,9,32,235,276,2,8,286,253
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1 e 2 7 de Abril,060272-01 .,800,17,82,434,533,9,12,554,246
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1 e 2 7 de Abril,060272-02 .,800,15,76,396,487,20,5,512,288
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1 e 2 7 de Abril,060272-03 .,800,20,94,347,461,11,8,480,320
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1 e 2 7 de Abril,060272-04 .,800,16,79,326,421,4,7,432,368
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1 e 2 7 de Abril,060272-05 .,800,18,75,275,368,10,12,390,410
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1 e 2 7 de Abril,060272-06 .,787,6,65,226,297,4,4,305,482
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1 e 2 7 de Abril (B),060286-01 .,800,14,71,219,304,6,3,313,487
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1 e 2 Cacárue,060281-01 .,800,7,67,479,553,13,6,572,228
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1 e 2 Cacárue,060281-02 .,800,14,58,407,479,6,8,493,307
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1 e 2 Cacárue,060281-03 .,445,9,34,120,163,4,1,168,277
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1 e 2 Macorreia,060285-01 .,800,23,95,393,511,8,17,536,264
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1 e 2 Macorreia,060285-02 .,800,29,122,326,477,10,16,503,297
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1 e 2 Macorreia,060285-03 .,800,15,82,326,423,10,8,441,359
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1 e 2 Macorreia,060285-04 .,800,21,99,287,407,8,23,438,362
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1 e 2 Macorreia,060285-05 .,800,18,93,273,384,10,7,401,399
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1 e 2 Macorreia,060285-06 .,468,6,46,134,186,2,5,193,275
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1 e 2 Macorreia (B),060275-01 .,759,18,105,225,348,3,10,361,398
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1e 2 Eduardo Mondlane,060274-01 .,800,20,117,338,475,7,10,492,308
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1e 2 Eduardo Mondlane,060274-02 .,800,22,97,390,509,2,14,525,275
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1e 2 Eduardo Mondlane,060274-03 .,800,19,110,359,488,6,7,501,299
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1e 2 Eduardo Mondlane,060274-04 .,800,17,104,347,468,6,5,479,321
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1e 2 Eduardo Mondlane,060274-05 .,800,20,101,313,434,5,9,448,352
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1e 2 Eduardo Mondlane,060274-06 .,721,18,98,180,296,8,3,307,414
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1e 2 Eduardo Mondlane (B),060282-01 .,800,15,122,265,402,4,8,414,386
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1e 2 Eduardo Mondlane (B),060282-02 .,323,8,39,86,133,2,3,138,185
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1e 2 IV Congresso,060271-01 .,800,14,88,454,556,11,13,580,220
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1e 2 IV Congresso,060271-02 .,800,24,84,447,555,13,16,584,216
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1e 2 IV Congresso,060271-03 .,800,26,90,381,497,9,10,516,284
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1e 2 IV Congresso,060271-04 .,800,18,77,403,498,6,15,519,281
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1e 2 IV Congresso,060271-05 .,800,17,93,325,435,6,9,450,350
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1e 2 IV Congresso,060271-06 .,721,15,63,236,314,2,10,326,395
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1e 2 IV Congresso (B),060278-01 .,707,10,56,252,318,5,11,334,373
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1e 2 Manica,060273-01 .,800,21,80,409,510,9,13,532,268
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1e 2 Manica,060273-02 .,800,21,71,405,497,6,14,517,283
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1e 2 Manica,060273-03 .,800,20,75,371,466,10,12,488,312
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1e 2 Manica,060273-04 .,800,18,82,318,418,12,7,437,363
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1e 2 Manica,060273-05 .,800,17,83,325,425,4,10,439,361
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1e 2 Manica,060273-06 .,800,13,74,255,342,5,5,352,448
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1e 2 Manica,060273-07 .,410,6,25,114,145,0,2,147,263
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1e 2 Manica (B),060280-01 .,800,14,65,266,345,5,3,353,447
