"sep=,"
Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,MDM,RENAMO,FRELIMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
Manica,SUSSUNDENGA,SUSSUNDENGA,SUSSUNDENGA (Sede),EP1 - 1 de Junho,060073-01 .,800,41,52,478,571,14,5,590,210
Manica,SUSSUNDENGA,SUSSUNDENGA,SUSSUNDENGA (Sede),EP1 - 1 de Junho,060073-02 .,800,42,55,435,532,14,11,557,243
Manica,SUSSUNDENGA,SUSSUNDENGA,SUSSUNDENGA (Sede),EP1 - 1 de Junho,060073-03 .,800,48,37,478,563,12,9,584,216
Manica,SUSSUNDENGA,SUSSUNDENGA,SUSSUNDENGA (Sede),EP1 - 1 de Junho,060073-04 .,800,51,41,470,562,10,15,587,213
Manica,SUSSUNDENGA,SUSSUNDENGA,SUSSUNDENGA (Sede),EP1 - 1 de Junho,060073-05 .,800,0,1,442,443,0,107,550,250
Manica,SUSSUNDENGA,SUSSUNDENGA,SUSSUNDENGA (Sede),EP1 - 1 de Junho,060073-06 .,631,29,40,237,306,6,6,318,313
Manica,SUSSUNDENGA,SUSSUNDENGA,SUSSUNDENGA (Sede),EP1 Samora Machel,060076-01A .,500,17,21,275,313,7,5,325,175
Manica,SUSSUNDENGA,SUSSUNDENGA,SUSSUNDENGA (Sede),EP1 Samora Machel,060076-01B .,326,12,18,179,209,3,7,219,107
Manica,SUSSUNDENGA,SUSSUNDENGA,SUSSUNDENGA (Sede),EP1 e 2 Bairro da Unidade (B),060075-01 .,800,65,31,431,527,6,23,556,244
Manica,SUSSUNDENGA,SUSSUNDENGA,SUSSUNDENGA (Sede),EP1 e 2 Bairro da Unidade (B),060075-02 .,800,61,43,412,516,12,9,537,263
Manica,SUSSUNDENGA,SUSSUNDENGA,SUSSUNDENGA (Sede),EP1 e 2 Bairro da Unidade (B),060075-03 .,800,48,36,425,509,11,8,528,272
Manica,SUSSUNDENGA,SUSSUNDENGA,SUSSUNDENGA (Sede),EP1 e 2 Bairro da Unidade (B),060075-04 .,800,58,36,391,485,10,3,498,302
Manica,SUSSUNDENGA,SUSSUNDENGA,SUSSUNDENGA (Sede),EP1 e 2 Bairro da Unidade (B),060075-05 .,602,36,24,228,288,6,4,298,304
Manica,SUSSUNDENGA,SUSSUNDENGA,SUSSUNDENGA (Sede),EP1 e 2 Muzória,060069-01 .,800,42,76,442,560,14,8,582,218
Manica,SUSSUNDENGA,SUSSUNDENGA,SUSSUNDENGA (Sede),EP1 e 2 Muzória,060069-02 .,800,35,62,386,483,12,4,499,301
Manica,SUSSUNDENGA,SUSSUNDENGA,SUSSUNDENGA (Sede),EP1 e 2 Muzória,060069-03A .,500,26,38,222,286,7,9,302,198
Manica,SUSSUNDENGA,SUSSUNDENGA,SUSSUNDENGA (Sede),EP1 e 2 Muzória,060069-03B .,427,21,27,173,221,4,3,228,199
Manica,SUSSUNDENGA,SUSSUNDENGA,SUSSUNDENGA (Sede),EP1 e 2 Nhamatiquiti,060078-01 .,767,58,28,394,480,0,50,530,237
Manica,SUSSUNDENGA,SUSSUNDENGA,SUSSUNDENGA (Sede),EP1 e 2 Nhanguzwe,060074-01 .,800,16,41,564,621,24,7,652,148
Manica,SUSSUNDENGA,SUSSUNDENGA,SUSSUNDENGA (Sede),EP1 e 2 Nhanguzwe,060074-02 .,266,13,12,132,157,2,1,160,106
Manica,SUSSUNDENGA,SUSSUNDENGA,SUSSUNDENGA (Sede),ESG  Sussundenga,060082-01 .,800,98,36,433,567,8,13,588,212
Manica,SUSSUNDENGA,SUSSUNDENGA,SUSSUNDENGA (Sede),ESG  Sussundenga,060082-02 .,800,97,38,370,505,8,61,574,226
Manica,SUSSUNDENGA,SUSSUNDENGA,SUSSUNDENGA (Sede),ESG  Sussundenga,060082-03 .,800,135,36,347,518,12,6,536,264
Manica,SUSSUNDENGA,SUSSUNDENGA,SUSSUNDENGA (Sede),ESG  Sussundenga,060082-04 .,800,110,45,366,521,8,11,540,260
Manica,SUSSUNDENGA,SUSSUNDENGA,SUSSUNDENGA (Sede),ESG  Sussundenga,060082-05 .,800,140,42,360,542,3,10,555,245
Manica,SUSSUNDENGA,SUSSUNDENGA,SUSSUNDENGA (Sede),ESG  Sussundenga,060082-06 .,800,122,44,327,493,9,8,510,290
Manica,SUSSUNDENGA,SUSSUNDENGA,SUSSUNDENGA (Sede),ESG  Sussundenga,060082-07 .,395,60,17,150,227,4,4,235,160
