"sep=,"
Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,MDM,RENAMO,FRELIMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
Tete,ANGÓNIA,ULONGUÉ,Vila De Ulónguè,Chizeze,070090-01 .,800,5,48,625,678,0,100,778,22
Tete,ANGÓNIA,ULONGUÉ,Vila De Ulónguè,Chizeze,070090-02 .,568,2,21,176,199,2,3,204,364
Tete,ANGÓNIA,ULONGUÉ,Vila De Ulónguè,EP1 Campiru,070081-01A .,400,3,5,273,281,23,5,309,91
Tete,ANGÓNIA,ULONGUÉ,Vila De Ulónguè,EP1 Campiru,070081-01B .,418,1,3,237,241,1,12,254,164
Tete,ANGÓNIA,ULONGUÉ,Vila De Ulónguè,EP1 Namalinde,070091-01A .,400,7,19,127,153,5,4,162,238
Tete,ANGÓNIA,ULONGUÉ,Vila De Ulónguè,EP1 Namalinde,070091-01B .,692,1,36,166,203,0,7,210,482
Tete,ANGÓNIA,ULONGUÉ,Vila De Ulónguè,EP1 Nantcholi,070083-01 .,800,0,1,414,415,4,33,452,348
Tete,ANGÓNIA,ULONGUÉ,Vila De Ulónguè,EP1 Nantcholi,070083-02A .,400,8,9,180,197,8,4,209,191
Tete,ANGÓNIA,ULONGUÉ,Vila De Ulónguè,EP1 Nantcholi,070083-02B .,501,2,5,237,244,7,16,267,234
Tete,ANGÓNIA,ULONGUÉ,Vila De Ulónguè,EP1 Wilson,070082-01 .,800,2,30,243,275,14,12,301,499
Tete,ANGÓNIA,ULONGUÉ,Vila De Ulónguè,EP1 Wilson,070082-02 .,800,2,29,239,270,9,7,286,514
Tete,ANGÓNIA,ULONGUÉ,Vila De Ulónguè,EP1 Wilson,070082-03 .,800,1,44,201,246,5,5,256,544
Tete,ANGÓNIA,ULONGUÉ,Vila De Ulónguè,EP1 Wilson,070082-04A .,400,0,2,190,192,1,14,207,193
Tete,ANGÓNIA,ULONGUÉ,Vila De Ulónguè,EP1 Wilson,070082-04B .,606,0,19,153,172,1,2,175,431
Tete,ANGÓNIA,ULONGUÉ,Vila De Ulónguè,EPC  Matewere,070101-01 .,800,2,31,327,360,0,38,398,402
Tete,ANGÓNIA,ULONGUÉ,Vila De Ulónguè,EPC  Matewere,070101-02 .,800,6,35,260,301,3,21,325,475
Tete,ANGÓNIA,ULONGUÉ,Vila De Ulónguè,EPC  Matewere,070101-03A .,400,0,1,335,336,0,28,364,36
Tete,ANGÓNIA,ULONGUÉ,Vila De Ulónguè,EPC  Matewere,070101-03B .,624,6,20,192,218,0,5,223,401
Tete,ANGÓNIA,ULONGUÉ,Vila De Ulónguè,EPC (Massilia) N'sendedza,070093-01 .,800,3,44,673,720,6,58,784,16
Tete,ANGÓNIA,ULONGUÉ,Vila De Ulónguè,EPC (Massilia) N'sendedza,070093-02A .,400,0,33,214,247,0,17,264,136
Tete,ANGÓNIA,ULONGUÉ,Vila De Ulónguè,EPC (Massilia) N'sendedza,070093-02B .,520,1,15,218,234,1,7,242,278
Tete,ANGÓNIA,ULONGUÉ,Vila De Ulónguè,EPC Unidade Ulóngue,070104-01 .,800,1,5,614,620,0,53,673,127
Tete,ANGÓNIA,ULONGUÉ,Vila De Ulónguè,EPC Unidade Ulóngue,070104-02 .,800,1,11,423,435,7,50,492,308
Tete,ANGÓNIA,ULONGUÉ,Vila De Ulónguè,EPC Unidade Ulóngue,070104-03 .,800,0,31,331,362,8,18,388,412
Tete,ANGÓNIA,ULONGUÉ,Vila De Ulónguè,EPC Unidade Ulóngue,070104-04 .,800,4,30,406,440,3,15,458,342
Tete,ANGÓNIA,ULONGUÉ,Vila De Ulónguè,EPC Unidade Ulóngue,070104-05 .,364,3,13,292,308,10,1,319,45
Tete,ANGÓNIA,ULONGUÉ,Vila De Ulónguè,EPC Unidade Ulóngue  (B),070094-01A .,400,2,13,364,379,20,5,404,-4
Tete,ANGÓNIA,ULONGUÉ,Vila De Ulónguè,EPC Unidade Ulóngue  (B),070094-01B .,455,2,34,419,455,5,4,464,-9
Tete,ANGÓNIA,ULONGUÉ,Vila De Ulónguè,EPC de Chindeque,070103-01 .,800,7,126,271,404,9,36,449,351
Tete,ANGÓNIA,ULONGUÉ,Vila De Ulónguè,EPC de Chindeque,070103-02 .,377,2,46,180,228,3,9,240,137
Tete,ANGÓNIA,ULONGUÉ,Vila De Ulónguè,EPC de N'seula-Velha,070087-01 .,800,4,45,337,386,0,31,417,383
Tete,ANGÓNIA,ULONGUÉ,Vila De Ulónguè,EPC de N'seula-Velha,070087-02 .,545,4,11,274,289,2,18,309,236
Tete,ANGÓNIA,ULONGUÉ,Vila De Ulónguè,EPC de Ulóngue,070105-01 .,800,3,12,700,715,0,49,764,36
Tete,ANGÓNIA,ULONGUÉ,Vila De Ulónguè,EPC de Ulóngue,070105-02 .,800,7,36,594,637,6,27,670,130
Tete,ANGÓNIA,ULONGUÉ,Vila De Ulónguè,EPC de Ulóngue,070105-03 .,800,5,47,727,779,16,11,806,-6
Tete,ANGÓNIA,ULONGUÉ,Vila De Ulónguè,EPC de Ulóngue,070105-04 .,800,3,18,547,568,1,41,610,190
Tete,ANGÓNIA,ULONGUÉ,Vila De Ulónguè,EPC de Ulóngue,070105-05A .,400,2,9,388,399,0,31,430,-30
Tete,ANGÓNIA,ULONGUÉ,Vila De Ulónguè,EPC de Ulóngue,070105-05B .,624,0,8,435,443,0,50,493,131
Tete,ANGÓNIA,ULONGUÉ,Vila De Ulónguè,EPC de Ulóngue (B),070088-01 .,360,1,16,200,217,1,10,228,132
Tete,ANGÓNIA,ULONGUÉ,Vila De Ulónguè,Escola Secundaria de Ulóngue,070106-01 .,800,7,43,496,546,5,9,560,240
Tete,ANGÓNIA,ULONGUÉ,Vila De Ulónguè,Escola Secundaria de Ulóngue,070106-02 .,800,6,29,669,704,11,20,735,65
Tete,ANGÓNIA,ULONGUÉ,Vila De Ulónguè,Escola Secundaria de Ulóngue,070106-03 .,800,4,39,466,509,6,15,530,270
Tete,ANGÓNIA,ULONGUÉ,Vila De Ulónguè,Escola Secundaria de Ulóngue,070106-04 .,800,1,12,534,547,0,33,580,220
Tete,ANGÓNIA,ULONGUÉ,Vila De Ulónguè,Escola Secundaria de Ulóngue,070106-05A .,400,3,19,188,210,2,3,215,185
Tete,ANGÓNIA,ULONGUÉ,Vila De Ulónguè,Escola Secundaria de Ulóngue,070106-05B .,660,2,28,244,274,12,8,294,366
Tete,ANGÓNIA,ULONGUÉ,Vila De Ulónguè,Escola Secundaria de Ulóngue (B),070089-01A .,400,1,4,394,399,0,8,407,-7
